"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",1,"2020/04/16",0,NA,0,0,0,0,0,0.000238421732834333,NA,NA
"2",2,"2020/04/17",0,NA,0,0,0,0,0,0.000275123638103257,NA,NA
"3",3,"2020/04/18",0,NA,0,0,0,0,0,0.000317475321328058,NA,NA
"4",4,"2020/04/19",0,NA,0,0,0,0,0,0.000366346491879864,NA,NA
"5",5,"2020/04/20",0,NA,0,0,0,0,0,0.000422740739504599,NA,NA
"6",6,"2020/04/21",0,NA,0,0,0,0,0,0.000487816143454429,NA,NA
"7",7,"2020/04/22",0,NA,0,0,0,0,0,0.000562909054125275,NA,NA
"8",8,"2020/04/23",0,NA,0,0,0,0,0,0.00064956153556614,NA,NA
"9",9,"2020/04/24",0,NA,0,0,0,0,0,0.000749553032403599,NA,NA
"10",10,"2020/04/25",0,NA,0,0,0,0,0,0.00086493691147484,NA,NA
"11",11,"2020/04/26",0,NA,0,0,0,0,0,0.000998082628566845,NA,NA
"12",12,"2020/04/27",0,NA,0,0,0,0,0,0.0011517243861732,NA,NA
"13",13,"2020/04/28",0,NA,0,0,0,0,0,0.0013290172814757,NA,NA
"14",14,"2020/04/29",0,NA,0,0,0,0,0,0.0015336020975729,NA,NA
"15",15,"2020/04/30",0,NA,0,0,0,0,0,0.00176968006847018,NA,NA
"16",16,"2020/05/01",0,NA,0,0,0,0,0,0.00204209915316171,NA,NA
"17",17,"2020/05/02",0,NA,0,0,0,0,0,0.00235645359047792,NA,NA
"18",18,"2020/05/03",0,NA,0,0,0,0,0,0.00271919877909893,NA,NA
"19",19,"2020/05/04",0,NA,0,0,0,0,0,0.0031377838418424,NA,NA
"20",20,"2020/05/05",0,NA,0,0,0,0,0,0.00362080459648846,NA,NA
"21",21,"2020/05/06",0,NA,0,0,0,0,0,0.00417818007446112,NA,NA
"22",22,"2020/05/07",0,NA,0,0,0,0,0,0.00482135621225027,NA,NA
"23",23,"2020/05/08",0,NA,0,0,0,0,0,0.00556354089846219,NA,NA
"24",24,"2020/05/09",0,NA,0,0,0,0,0,0.0064199752032872,NA,NA
"25",25,"2020/05/10",0,NA,0,0,0,0,0,0.00740824636019393,NA,NA
"26",26,"2020/05/11",0,NA,0,0,0,0,0,0.00854864892705901,NA,NA
"27",27,"2020/05/12",0,NA,0,0,0,0,0,0.00986460154332586,NA,NA
"28",28,"2020/05/13",0,NA,0,0,0,0,0,0.0113831278414734,NA,NA
"29",29,"2020/05/14",0,NA,0,0,0,0,0,0.013135411388511,NA,NA
"30",30,"2020/05/15",0.0010170813769529,0.00187424210123463,0,0.000508540688476452,0.000508540688476452,7.26486697823503e-05,0.000254270344238226,0.0151574360534541,0.0132831939522195,0.0170316781546887
"31",31,"2020/05/16",0.00525988433178255,0.00608401901332189,0,0.0274233652171512,0.000578032519224122,8.25760741748746e-05,0.000460560583070785,0.0173430403799093,0.0112590213665874,0.0234270593932312
"32",32,"2020/05/17",0.0200733987735949,0.00488596903284659,0,0.0285675766811008,0.000666696298534857,9.52423283621224e-05,0.000463121104179127,0.01952723500138,0.0146412659685334,0.0244132040342266
"33",33,"2020/05/18",0.0200241261060736,0.0051097526314005,0,0.0262624055036188,0.000669152722124893,9.55932460178418e-05,0.000669152722124893,0.0216642701792559,0.0165545175478554,0.0267740228106564
"34",34,"2020/05/19",0.0201762667329942,0.00511534286693698,0,0.0263700147171434,0.000748787569156058,0.00010696965273658,0.000748787569156058,0.0237141155791824,0.0185987727122454,0.0288294584461194
"35",35,"2020/05/20",0.0255329478485978,0.00638418573104688,0,0.0255770603333398,0.00244710718866019,0.00034958674123717,0.0020640936171044,0.025644906837125,0.0192607211060782,0.0320290925681719
"36",36,"2020/05/21",0.0323834009096368,0.00674276414795847,0,0.168414389212202,0.00333176910083278,0.000475967014404682,0.00284760016118568,0.0274345859093711,0.0206918217614126,0.0341773500573296
"37",37,"2020/05/22",0.0409748077025976,0.00692587070957364,0,0.175884098706945,0.00357649888469435,0.000510928412099193,0.00309442389589891,0.0290717080956195,0.0221458373860458,0.0359975788051931
"38",38,"2020/05/23",0.0410593168456347,0.00686743984632709,0,0.176565962896273,0.00364003140415712,0.00052000448630816,0.00317752448546886,0.0305554941121036,0.0236880542657765,0.0374229339584307
"39",39,"2020/05/24",0.0410562965343902,0.00684777738204606,0,0.176559991140816,0.00363544026871495,0.000519348609816421,0.00317293335002669,0.0318952830504313,0.0250475056683852,0.0387430604324773
"40",40,"2020/05/25",0.0410810375106614,0.00673421580742562,0,0.176518924432733,0.00359265490081507,0.000513236414402153,0.00314836805881581,0.0331095870117676,0.026375371204342,0.0398438028191933
"41",41,"2020/05/26",0.0379916949891497,0.00667692783047125,0,0.174171374270877,0.00337573958472363,0.000482248512103376,0.00291323266603538,0.0342219539079218,0.0275450260774505,0.040898881738393
"42",42,"2020/05/27",0.0379531362152041,0.00660553714246832,0,0.174126837392444,0.00336129249887839,0.000480184642696913,0.00289878558019013,0.0352408896736914,0.0286353525312231,0.0418464268161597
"43",43,"2020/05/28",0.0379015360677934,0.00651953873177255,0,0.174068375246788,0.00334470933645243,0.000477815619493205,0.00288220241776418,0.0361687781220824,0.0296492393903098,0.0426883168538549
"44",44,"2020/05/29",0.0379006636961077,0.00648525088740903,0,0.174064826280158,0.00333824089866943,0.000476891556952775,0.00287573397998117,0.0370100090922138,0.0305247582048048,0.0434952599796228
"45",45,"2020/05/30",0.0379006636961077,0.00648525088740903,0,0.174064826280158,0.00333824089866943,0.000476891556952775,0.00287573397998117,0.0377708185086236,0.0312855676212146,0.0442560693960327
"46",46,"2020/05/31",0.0379006636961077,0.00648525088740903,0,0.174064826280158,0.00333824089866943,0.000476891556952775,0.00287573397998117,0.0384590825643754,0.0319738316769664,0.0449443334517844
"47",47,"2020/06/01",0.0378961545859724,0.0064515963319856,0,0.174057426714807,0.00333125563190002,0.000475893661700002,0.00286874871321176,0.0390841104738024,0.0326325141418168,0.045535706805788
