"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",1,"2020/03/23",0,0,0,0,0,0,0,0.0134130447899179,0.0134130447899179,0.0134130447899179
"2",2,"2020/03/24",0.00419168650629551,0.0228163941698985,0,0,0,0,0,0.0134267276426435,-0.00938966652725504,0.036243121812542
"3",3,"2020/03/25",0.00761944461227187,0.0241110290918608,0,0,0,0,0,0.0134404228990048,-0.010670606192856,0.0375514519908656
"4",4,"2020/03/26",0.0186049613353713,0.0214359470934189,0,0,0,0,0,0.0134541328975764,-0.00798181419584248,0.0348900799909953
"5",5,"2020/03/27",0.0184331563716104,0.0210492657759257,0,0,0,0,0,0.0134678634886144,-0.00758140228731127,0.0345171292645401
"6",6,"2020/03/28",0.0184331563716104,0.0210492657759257,0,0,0,0,0,0.0134816205462147,-0.00756764522971098,0.0345308863221404
"7",7,"2020/03/29",0.0184331563716104,0.0210492657759257,0,0,0,0,0,0.0134954099684154,-0.00755385580751034,0.0345446757443411
"8",8,"2020/03/30",0.0183104918033002,0.0206806524303404,0,0,0,0,0,0.0135092376773243,-0.0071714147530161,0.0341898901076647
"9",9,"2020/03/31",0.0183104918033002,0.0206806524303404,0,0,0,0,0,0.0135231096192734,-0.00715754281106704,0.0342037620496138
"10",10,"2020/04/01",0.0186293470309945,0.0205568239087444,0,0,0,0,0,0.0135370317649979,-0.00701979214374647,0.0340938556737423
"11",11,"2020/04/02",0.0192721337938163,0.0185520371063014,0,0,0,0,0,0.0135510101098432,-0.00500102699645816,0.0321030472161446
"12",12,"2020/04/03",0.0191346846844997,0.0177152842308005,0,0,0,0,0,0.0135650506739969,-0.00415023355680362,0.0312803349047974
"13",13,"2020/04/04",0.0190427246566618,0.0174530059602585,0,0,0,0,0,0.0135791595027482,-0.00387384645751032,0.0310321654630067
"14",14,"2020/04/05",0.0190427246566618,0.0174530059602585,0,0,0,0,0,0.0135933428050336,-0.00385966315522486,0.0310463487652921
"15",15,"2020/04/06",0.0132714969228172,0.0179910998601999,0,0,0,0,0,0.013607613561125,-0.00438348629907494,0.0315987134213249
"16",16,"2020/04/07",0.0135285810204549,0.0156016809202079,0,0,0,0,0,0.0136219944616502,-0.00197968645855774,0.0292236753818581
"17",17,"2020/04/08",0.0131606942942495,0.0154314345515031,0,0,0,0,0,0.0136365090376778,-0.00179492551382529,0.0290679435891809
"18",18,"2020/04/09",0.013139709270728,0.0147110227732224,0,0,0,0,0,0.0136511809225966,-0.00105984185062583,0.028362203695819
