"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",1,"2020/03/23",0,0,0,0,0,0,0,4.5352249917555e-07,4.5352249917555e-07,4.5352249917555e-07
"2",2,"2020/03/24",0.00601395865066002,0.0200913691849615,0,0,0,0,0,7.15754721348281e-07,-0.0200906534302401,0.0200920849396828
"3",3,"2020/03/25",0.00601395865066002,0.0200913691849615,0,0,0,0,0,1.12979685935217e-06,-0.0200902393881021,0.0200924989818209
"4",4,"2020/03/26",0.0037749155837989,0.0111345701715473,0,0,0,0,0,1.7845047821382e-06,-0.0111327856667652,0.0111363546763294
"5",5,"2020/03/27",0.00233685250425646,0.00769787293552112,0,0,0,0,0,2.82179737433506e-06,-0.00769505113814679,0.00770069473289546
"6",6,"2020/03/28",0.00233685250425646,0.00769787293552112,0,0,0,0,0,4.46924573585506e-06,-0.00769340368978527,0.00770234218125698
"7",7,"2020/03/29",0.00233685250425646,0.00769787293552112,0,0,0,0,0,7.09336796145084e-06,-0.00769077956755967,0.00770496630348257
"8",8,"2020/03/30",0.00233685250425646,0.00769787293552112,0,0,0,0,0,1.12873016959881e-05,-0.00768658563382513,0.00770916023721711
"9",9,"2020/03/31",0.00158302911578664,0.00623716641925307,0,0,0,0,0,1.80159310926493e-05,-0.00621915048816042,0.00625518235034572
"10",10,"2020/04/01",0.00158302911578664,0.00623716641925307,0,0,0,0,0,2.88577036910315e-05,-0.00620830871556204,0.0062660241229441
"11",11,"2020/04/02",0.00158302911578664,0.00623716641925307,0,0,0,0,0,4.64103507994539e-05,-0.00619075606845362,0.00628357677005252
"12",12,"2020/04/03",0.00158302911578664,0.00623716641925307,0,0,0,0,0,7.49765582694529e-05,-0.00616218986098362,0.00631214297752252
"13",13,"2020/04/04",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.000121731581150887,-0.00611543483810218,0.00635889800040396
"14",14,"2020/04/05",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.000198554618204777,-0.00603861180104829,0.00643572103745785
"15",15,"2020/04/06",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.000324098323433559,-0.00591306809581951,0.00656126474268663
"16",16,"2020/04/07",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.000526910729472352,-0.00571025568978072,0.00676407714872542
"17",17,"2020/04/08",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.000849188629659561,-0.00538797778959351,0.00708635504891263
"18",18,"2020/04/09",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.00135027296901398,-0.00488689345023909,0.00758743938826705
"19",19,"2020/04/10",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.00210830120044623,-0.00412886521880684,0.0083454676196993
"20",20,"2020/04/11",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.00321722046056979,-0.00301994595868328,0.00945438687982286
"21",21,"2020/04/12",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.00477539693067019,-0.00146176948858289,0.0110125633499233
"22",22,"2020/04/13",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.00686217867966275,0.000625012260409685,0.0130993450989158
"23",23,"2020/04/14",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.00950127449189815,0.00326410807264508,0.0157384409111512
"24",24,"2020/04/15",0.00158302911578664,0.00623716641925307,0,0,0,0,0,0.0126157306742906,0.00637856425503753,0.0188528970935437
"25",25,"2020/04/16",0.024154264524646,0.0201181826199549,0,0,0,0,0,0.016011999947772,-0.00410618267218293,0.0361301825677269
"26",26,"2020/04/17",0.0275910369943077,0.0168899383714833,0,0,0,0,0,0.0194790329351488,0.00258909456366553,0.0363689713066321
"27",27,"2020/04/18",0.0268123541236933,0.0160243713718282,0,0,0,0,0,0.022809322199518,0.00678495082768976,0.0388336935713462
"28",28,"2020/04/19",0.0268123541236933,0.0160243713718282,0,0,0,0,0,0.0258175531488857,0.00979318177705754,0.0418419245207139
"29",29,"2020/04/20",0.0376326314800254,0.0287044201461857,0,0,0,0,0,0.0283667790903014,-0.000337641055884318,0.0570711992364871
"30",30,"2020/04/21",0.0376326314800254,0.0287044201461857,0,0,0,0,0,0.0303830771139647,0.001678656967779,0.0590874972601504
"31",31,"2020/04/22",0.0376326314800254,0.0287044201461857,0,0,0,0,0,0.0318577282346382,0.00315330808845253,0.0605621483808239
"32",32,"2020/04/23",0.0376326314800254,0.0287044201461857,0,0,0,0,0,0.0328392858308558,0.00413486568467006,0.0615437059770415
"33",33,"2020/04/24",0.0376326314800254,0.0287044201461857,0,0,0,0,0,0.0334197343322646,0.00471531418607886,0.0621241544784503
"34",34,"2020/04/25",0.0376326314800254,0.0287044201461857,0,0,0,0,0,0.0337191956921326,0.00501477554594693,0.0624236158383183
"35",35,"2020/04/26",0.0376326314800254,0.0287044201461857,0,0,0,0,0,0.0338727830127599,0.00516836286657421,0.0625772031589456
"36",36,"2020/04/27",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0339992364862415,0.0100963281047911,0.0579021448676919
"37",37,"2020/04/28",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0341286943830861,0.0102257860016357,0.0580316027645365
"38",38,"2020/04/29",0.0301477564128741,0.0239029083814504,0,0,0,0,0,0.0342689376257536,0.0103660292443032,0.058171846007204
