"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",1,"2020/03/23",0,NA,0,0,0,0,0,0.027402098543943,NA,NA
"2",2,"2020/03/24",0,NA,0,0,0,0,0,0.0274215439317427,NA,NA
"3",3,"2020/03/25",0.0132079487538473,0.0128604487649496,0,0,0,0,0,0.027441003118599,0.0145805543536494,0.0403014518835486
"4",4,"2020/03/26",0.0131990474658016,0.0127623254299088,0,0,0,0,0,0.0274604751679731,0.0146981497380643,0.0402228005978819
"5",5,"2020/03/27",0.0145021104918183,0.0112624679827901,0,0,0,0,0,0.0274799582891449,0.0162174903063548,0.038742426271935
"6",6,"2020/03/28",0.0144821347235456,0.0110772612884869,0,0,0,0,0,0.0274994512079155,0.0164221899194286,0.0385767124964024
"7",7,"2020/03/29",0.0131036675106655,0.00850023912125874,0,0,0,0,0,0.0275189526464593,0.0190187135252005,0.036019191767718
"8",8,"2020/03/30",0.0130072482678416,0.0080073830150086,0,0,0,0,0,0.02753846132332,0.0195310783083114,0.0355458443383286
"9",9,"2020/03/31",0.0130072482678416,0.0080073830150086,0,0,0,0,0,0.027557975953407,0.0195505929383984,0.0355653589684156
"10",10,"2020/04/01",0.0130049405790192,0.00795262579797952,0,0,0,0,0,0.0275774952479918,0.0196248694500123,0.0355301210459714
"11",11,"2020/04/02",0.0130130919482791,0.00791360601000212,0,0,0,0,0,0.0275970179147064,0.0196834119047043,0.0355106239247085
"12",12,"2020/04/03",0.0130130919482791,0.00791360601000212,0,0,0,0,0,0.0276165426575405,0.0197029366475384,0.0355301486675426
"13",13,"2020/04/04",0.0130130919482791,0.00791360601000212,0,0,0,0,0,0.027636068176841,0.0197224621668389,0.0355496741868431
"14",14,"2020/04/05",0.0130130919482791,0.00791360601000212,0,0,0,0,0,0.0276555931693109,0.0197419871593087,0.035569199179313
"15",15,"2020/04/06",0.01252613739591,0.00770093751759279,0,0,0,0,0,0.0276751163280094,0.0199741788104166,0.0353760538456022
"16",16,"2020/04/07",0.0134661758864118,0.00657087848915568,0,0,0,0,0,0.0276946363421099,0.0211237578529542,0.0342655148312656
"17",17,"2020/04/08",0.0170511943750407,0.00855860790075375,0,0,0,0,0,0.0277141517575044,0.0191555438567506,0.0362727596582581
"18",18,"2020/04/09",0.0261569645578558,0.00802946929570235,0,0,0,0,0,0.0277336607424614,0.0197041914467591,0.0357631300381638
"19",19,"2020/04/10",0.0259090394626743,0.00781139860822905,0,0,0,0,0,0.0277531613983562,0.0199417627901272,0.0355645600065853
"20",20,"2020/04/11",0.044220645639923,0.015087939855224,0,0,0,0,0,0.0277726518213131,0.0126847119660891,0.0428605916765371
"21",21,"2020/04/12",0.0439245610122163,0.0149584240310001,0,0,0,0,0,0.0277921301022122,0.0128337060712121,0.0427505541332123
"22",22,"2020/04/13",0.044005207752211,0.0149300673088838,0,0,0,0,0,0.0278115943266966,0.0128815270178128,0.0427416616355804
"23",23,"2020/04/14",0.044005207752211,0.0149300673088838,0,0,0,0,0,0.0278310425751821,0.0129009752662983,0.0427611098840659
"24",24,"2020/04/15",0.0437676500815576,0.0147938908375323,0,0,0,0,0,0.0278504729228667,0.0130565820853344,0.042644363760399
"25",25,"2020/04/16",0.044343697822782,0.0144437115687354,0,0,0,0,0,0.0278698834397429,0.0134261718710075,0.0423135950084783
"26",26,"2020/04/17",0.044343697822782,0.0144155856118451,0,0,0,0,0,0.0278892721906103,0.0134736865787652,0.0423048578024554
"27",27,"2020/04/18",0.0275897243422394,0.0145054364439055,0,0,0,0,0,0.02790863723509,0.0134032007911845,0.0424140736789955
"28",28,"2020/04/19",0.0282347156227161,0.0145341127575054,0,0,0,0,0,0.0279279766276403,0.0133938638701349,0.0424620893851457
"29",29,"2020/04/20",0.0288456908027401,0.0144230688781864,0,0,0,0,0,0.0279472884207461,0.0135242195425597,0.0423703572989325
"30",30,"2020/04/21",0.0288456908027401,0.0144230688781864,0,0,0,0,0,0.0279665709717098,0.0135435020935234,0.0423896398498962
"31",31,"2020/04/22",0.0288456908027401,0.0144230688781864,0,0,0,0,0,0.0279858231996457,0.0135627543214593,0.0424088920778321
"32",32,"2020/04/23",0.0310704217052317,0.0144601333922389,0,0,0,0,0,0.0280050440812783,0.0135449106890394,0.0424651774735172
"33",33,"2020/04/24",0.0310704217052317,0.0144601333922389,0,0,0,0,0,0.0280242325908353,0.0135640991985964,0.0424843659830742
"34",34,"2020/04/25",0.0310704217052317,0.0144601333922389,0,0,0,0,0,0.0280433877000598,0.0135832543078209,0.0425035210922987
"35",35,"2020/04/26",0.0310704217052317,0.0144601333922389,0,0,0,0,0,0.0280625083782212,0.0136023749859823,0.0425226417704601
"36",36,"2020/04/27",0.0313630091171216,0.0143067053439775,0,0,0,0,0,0.0280815935921281,0.0137748882481506,0.0423882989361056
"37",37,"2020/04/28",0.0313630091171216,0.0143067053439775,0,0,0,0,0,0.0281006423061399,0.0137939369621624,0.0424073476501174
"38",38,"2020/04/29",0.0313180793675501,0.014278516922903,0,0,0,0,0,0.0281196534821803,0.0138411365592773,0.0423981704050833
"39",39,"2020/04/30",0.0313180793675501,0.014278516922903,0,0,0,0,0,0.0281386260797503,0.0138601091568473,0.0424171430026533
