"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",1,"2020/03/22",0.00455797474959816,0.00190155343432992,0,0,0,0,0,0.0110373644948126,0.00913581106048266,0.0129389179291425
"2",2,"2020/03/23",0.00438745896747699,0.00248814267375781,0,0,0,0,0,0.01104673435011,0.00855859167635221,0.0135348770238678
"3",3,"2020/03/24",0.00474305345657276,0.00241083615207014,0,0,0,0,0,0.0110561118378318,0.0086452756857617,0.013466947989902
"4",4,"2020/03/25",0.0047034046952061,0.00225251063340028,0,0,0,0,0,0.0110654968361002,0.00881298620269997,0.0133180074695005
"5",5,"2020/03/26",0.0047034046952061,0.00225251063340028,0,0,0,0,0,0.0110748892226079,0.00882237858920764,0.0133273998560082
"6",6,"2020/03/27",0.0047034046952061,0.00225251063340028,0,0,0,0,0,0.0110842888746171,0.00883177824121683,0.0133367995080174
"7",7,"2020/03/28",0.00610505175984078,0.00300734252800934,0,0,0,0,0,0.0110936956689587,0.0080863531409494,0.0141010381969681
"8",8,"2020/03/29",0.00837029353307843,0.00300974056843734,0,0,0,0,0,0.0111031094820316,0.0080933689135943,0.014112850050469
"9",9,"2020/03/30",0.00814236238856824,0.00289616501903478,0,0,0,0,0,0.0111125301898017,0.00821636517076693,0.0140086952088365
"10",10,"2020/03/31",0.00897356396024237,0.00299832265504855,0,0,0,0,0,0.0111219576678011,0.00812363501275255,0.0141202803228497
"11",11,"2020/04/01",0.00899502951858389,0.00297931994408456,0,0,0,0,0,0.0111313917911274,0.00815207184704288,0.014110711735212
"12",12,"2020/04/02",0.00899087245106039,0.00296867788740044,0,0,0,0,0,0.011140832434443,0.00817215454704259,0.0141095103218435
"13",13,"2020/04/03",0.00899087245106039,0.00296867788740044,0,0,0,0,0,0.0111502794719742,0.00818160158457371,0.0141189573593746
"14",14,"2020/04/04",0.00899087245106039,0.00296867788740044,0,0,0,0,0,0.0111597327775102,0.00819105489010981,0.0141284106649107
"15",15,"2020/04/05",0.00858763469447951,0.00263927780894867,0,0,0,0,0,0.0111691922243948,0.00852991441544616,0.0138084700333435
"16",16,"2020/04/06",0.00858394297488098,0.00263072701890907,0,0,0,0,0,0.0111786576710919,0.00854793065218278,0.0138093846900009
"17",17,"2020/04/07",0.00887856843732412,0.00240976883815887,0,0,0,0,0,0.0111881289314705,0.0087783600933116,0.0135978977696293
"18",18,"2020/04/08",0.00829607580390261,0.00330959966322567,0,0,0,0,0,0.0111976058103709,0.00788800614714523,0.0145072054735966
"19",19,"2020/04/09",0.0140971259614879,0.00334647998289098,0,0,0,0,0,0.0112070881119658,0.00786060812907483,0.0145535680948568
"20",20,"2020/04/10",0.0136556234538095,0.00273498499658137,0,0,0,0,0,0.0112165756397594,0.00848159064317802,0.0139515606363408
