"","X","date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"1",1,"2020/03/22",0.00270038543436319,0.00199720094405248,0,0,0,0,0,0.0163678640895004,0.014370663145448,0.0183650650335529
"2",2,"2020/03/23",0.0167467620889569,0.0137143783425516,0,0,0,0,0,0.0163697949848757,0.00265541664232409,0.0300841733274273
"3",3,"2020/03/24",0.019146214633354,0.0129713481590026,0,0,0,0,0,0.0163717254771952,0.00340037731819263,0.0293430736361978
"4",4,"2020/03/25",0.023171680731658,0.0112875145591943,0,0,0,0,0,0.016373656905258,0.00508614234606372,0.0276611714644523
"5",5,"2020/03/26",0.022132113328871,0.0108384949655698,0,0,0,0,0,0.0163755906084948,0.00553709564292505,0.0272140855740646
"6",6,"2020/03/27",0.0215474948389558,0.0107932516867074,0,0,0,0,0,0.0163775279269697,0.00558427624026226,0.0271707796136771
"7",7,"2020/03/28",0.0215474948389558,0.0107932516867074,0,0,0,0,0,0.0163794702013822,0.00558621851467477,0.0271727218880896
"8",8,"2020/03/29",0.0187116783801706,0.00992269629147224,0,0,0,0,0,0.0163814187730711,0.00645872248159882,0.0263041150645433
"9",9,"2020/03/30",0.0172530378998471,0.00902417786778161,0,0,0,0,0,0.0163833749840189,0.00735919711623727,0.0254075528518005
"10",10,"2020/03/31",0.0172763030646473,0.00893330679572092,0,0,0,0,0,0.0163853401768575,0.0074520333811366,0.0253186469725784
"11",11,"2020/04/01",0.0174168026269126,0.00902225296003181,0,0,0,0,0,0.0163873156948752,0.00736506273484337,0.025409568654907
"12",12,"2020/04/02",0.0148527626573204,0.00831631860191429,0,0,0,0,0,0.0163893028820241,0.00807298428010986,0.0247056214839384
"13",13,"2020/04/03",0.0157756887574272,0.00811693778445136,0,0,0,0,0,0.0163913030829299,0.00827436529847854,0.0245082408673813
"14",14,"2020/04/04",0.0156320739974843,0.00800323463863997,0,0,0,0,0,0.0163933176429012,0.00839008300426119,0.0243965522815411
"15",15,"2020/04/05",0.0156132591167541,0.00785087466609964,0,0,0,0,0,0.016395348250691,0.00854447358459139,0.0242462229167907
"16",16,"2020/04/06",0.015508668640984,0.00770597633007969,0,0,0,0,0,0.0163973979671016,0.00869142163702188,0.0241033742971813
"17",17,"2020/04/07",0.0155179455259526,0.00702778756534206,0,0,0,0,0,0.0163994701973586,0.00937168263201655,0.0234272577627007
"18",18,"2020/04/08",0.0154786411647398,0.00685857570172476,0,0,0,0,0,0.0164015683484897,0.00954299264676494,0.0232601440502145
