"","date","p_w_country","p_m_country"
"1","2020/03/23",0.0126270908494588,0.0150280112044818
"2","2020/03/24",0.0147083126755908,0.0152136752136752
"3","2020/03/25",0.0140663874805364,0.0169099395315334
"4","2020/03/26",0.0141459281976786,0.0167955814110186
"5","2020/03/27",0.0165448247626502,0.0198516994252694
"6","2020/03/28",0.0164513365403381,0.0196733254536409
"7","2020/03/29",0.0146043708977642,0.016666892216353
"8","2020/03/30",0.0141630551440699,0.015331492220074
"9","2020/04/01",0.0141541756721295,0.0151629815626668
"10","2020/04/02",0.0142232839695893,0.0152979309937552
"11","2020/04/06",0.0142232839695893,0.0152979309937552
"12","2020/04/07",0.0183929241670256,0.0211126346186367
"13","2020/04/08",0.0193475321177426,0.021875825902304
"14","2020/04/09",0.0238990563166426,0.0251309888976656
"15","2020/04/10",0.0238393709376421,0.0254517112496496
"16","2020/04/11",0.0214958832634018,0.0245399608079444
"17","2020/04/12",0.0224039781042126,0.0250631194917477
"18","2020/04/13",0.0229704453906421,0.0255976165991882
"19","2020/04/15",0.02280278749314,0.0255151313060423
"20","2020/04/16",0.0237922057426428,0.0266026540749274
"21","2020/04/17",0.0237922057426428,0.0266026540749274
"22","2020/04/18",0.0234063071744092,0.0255775807193083
"23","2020/04/19",0.0242793630192278,0.0272908473478845
"24","2020/04/20",0.0242717896847578,0.0277757432570187
"25","2020/04/23",NA,NA
"26","2020/04/27",NA,NA
"27","2020/04/29",NA,NA
"28","2020/04/30",NA,NA
"29","2020/05/02",NA,NA
"30","2020/05/10",NA,NA
"31","2020/05/14",NA,NA
"32","2020/05/15",NA,NA
"33","2020/05/26",NA,NA
"34","2020/05/31",NA,NA
"35","2020/06/01",NA,NA
"36","2020/06/02",NA,NA
"37","2020/06/05",NA,NA
"38","2020/06/06",NA,NA
"39","2020/06/07",NA,NA
"40","2020/06/08",NA,NA
"41","2020/06/09",NA,NA
"42","2020/06/10",NA,NA
"43","2020/06/11",NA,NA
"44","2020/06/12",NA,NA
"45","2020/06/13",NA,NA
"46","2020/06/14",NA,NA
"47","2020/06/15",NA,NA
"48","2020/06/20",NA,NA
"49","2020/06/23",NA,NA
"50","2020/06/26",NA,NA
"51","2020/07/03",NA,NA
"52","2020/07/04",NA,NA
"53","2020/07/05",NA,NA
"54","2020/07/06",NA,NA
"55","2020/07/11",NA,NA
"56","2020/07/17",NA,NA
"57","2020/07/30",NA,NA
"58","2020/07/31",NA,NA
"59","2020/08/17",NA,NA
"60","2020/08/24",NA,NA
"61","2020/09/10",NA,NA
"62","2020/09/14",NA,NA
"63","2020/09/15",NA,NA
"64","2020/09/18",NA,NA
"65","2020/10/07",NA,NA
"66","2020/11/10",NA,NA
"67","2020/11/20",NA,NA
"68","2020/12/07",NA,NA
