"","date","p_w_country","p_m_country"
"1","2020/03/22",NA,NA
"2","2020/03/23",NA,NA
"3","2020/03/24",0.00282712640766653,0.0045067976052381
"4","2020/03/25",0.00181932871818363,0.00181932871818363
"5","2020/03/28",0.00627296518114404,0.008715567111919
"6","2020/03/29",0.00600210204395117,0.00678674261017963
"7","2020/03/30",0.0061903877455407,0.00737332434969964
"8","2020/03/31",0.00777745151443984,0.00826530595486825
"9","2020/04/01",0.0083021564781072,0.00879001091853561
"10","2020/04/02",0.00791027326705836,0.00830683869413545
"11","2020/04/05",0.00562021875562838,0.00607191630025144
"12","2020/04/06",0.00564569143041487,0.00607500555891426
"13","2020/04/07",0.00577571661144236,0.00603130681413384
"14","2020/04/08",0.00554377485439124,0.0104789613198351
"15","2020/04/09",0.0111682862941014,0.0153725371110792
"16","2020/04/10",0.00843628608837875,0.00812237529629728
"17","2020/04/11",0.00417881288596254,0.00370932519920358
"18","2020/04/12",0.00762241353038564,0.00719251190267657
"19","2020/04/13",0.00642339396281496,0.0067858530106242
"20","2020/04/14",0.00947433328153391,0.00742254296684729
"21","2020/04/15",0.0102084340935237,0.00842865438768308
"22","2020/04/16",0.0100236327869033,0.0080197504389597
"23","2020/04/17",0.00869572837593588,0.00667550848251355
"24","2020/04/18",0.00867708104871054,0.00666848398014366
"25","2020/04/19",0.00664206432931887,0.00532393308947668
"26","2020/04/21",0.00721796790607567,0.00598622220274701
"27","2020/04/23",0.00797739653060334,0.00674565082727467
"28","2020/04/24",0.00757775505196396,0.00697233121542442
"29","2020/04/25",0.00571502424712308,0.00589101823206863
"30","2020/04/26",0.00538508609289145,0.00554624969444655
"31","2020/04/27",0.00538508609289145,0.00554624969444655
"32","2020/04/28",0.00538508609289145,0.00554624969444655
"33","2020/04/29",0.00538508609289145,0.00554624969444655
"34","2020/04/30",0.00883718732211738,0.00907825302692059
"35","2020/05/01",0.00865969382909441,0.00875745033453748
"36","2020/05/02",0.00865364659005717,0.0087509439284
"37","2020/05/06",0.00810379583065897,0.00801159886419674
"38","2020/05/07",0.00780793841681765,0.00765934840481582
"39","2020/05/08",0.00779536100248004,0.00764827517736718
"40","2020/05/10",0.00778919912638019,0.00764285022644067
"41","2020/05/11",0.00811230247334664,0.00795210519856943
"42","2020/05/13",0.00688564470229803,0.00671755051537411
"43","2020/05/14",0.00913917916010606,0.00973199874353048
"44","2020/05/15",0.00914751225138648,0.009713876067838
"45","2020/05/18",0.00951662498768742,0.00984197936883243
"46","2020/05/21",NA,NA
"47","2020/05/25",NA,NA
"48","2020/05/26",NA,NA
"49","2020/06/01",NA,NA
"50","2020/06/02",NA,NA
"51","2020/06/04",NA,NA
"52","2020/06/05",NA,NA
"53","2020/06/06",NA,NA
"54","2020/06/08",NA,NA
"55","2020/06/09",NA,NA
"56","2020/06/12",NA,NA
"57","2020/06/13",NA,NA
"58","2020/06/15",NA,NA
"59","2020/06/16",NA,NA
"60","2020/06/18",NA,NA
"61","2020/06/19",NA,NA
"62","2020/06/22",NA,NA
"63","2020/06/23",NA,NA
"64","2020/06/26",NA,NA
"65","2020/06/28",NA,NA
"66","2020/07/02",NA,NA
"67","2020/07/03",NA,NA
"68","2020/07/04",NA,NA
"69","2020/07/05",NA,NA
"70","2020/07/06",NA,NA
"71","2020/07/07",NA,NA
"72","2020/07/09",NA,NA
"73","2020/07/12",NA,NA
"74","2020/07/13",NA,NA
"75","2020/07/15",NA,NA
"76","2020/07/20",NA,NA
"77","2020/07/24",NA,NA
"78","2020/07/28",NA,NA
"79","2020/07/29",NA,NA
"80","2020/07/30",NA,NA
"81","2020/08/01",NA,NA
"82","2020/08/03",NA,NA
"83","2020/08/10",NA,NA
"84","2020/08/13",NA,NA
"85","2020/09/08",NA,NA
"86","2020/09/09",NA,NA
"87","2020/09/13",NA,NA
"88","2020/09/16",NA,NA
"89","2020/09/18",NA,NA
"90","2020/10/02",NA,NA
"91","2020/10/05",NA,NA
"92","2020/10/12",NA,NA
"93","2020/10/13",NA,NA
"94","2020/10/14",NA,NA
"95","2020/10/16",NA,NA
"96","2020/10/18",NA,NA
"97","2020/10/22",NA,NA
"98","2020/10/27",NA,NA
"99","2020/10/29",NA,NA
"100","2020/10/30",NA,NA
"101","2020/11/02",NA,NA
"102","2020/11/09",NA,NA
"103","2020/11/27",NA,NA
"104","2020/11/30",NA,NA
"105","2021/01/04",NA,NA
"106","2021/01/14",NA,NA
