"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRARA",7773595,0.106796116504854,0.0910493827160494,0,0,0.00813008130081301,0.00555555555555556,206,9,0.106796116504854,0.0910493827160494,0,0,0.00813008130081301,0.00555555555555556
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRBFC",2902010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRBRE",3301802,0.0276243093922652,0.02,0,0,0,0,181,3,0.0276243093922652,0.02,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRCOR",314867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRCVL",2619613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRGES",5661319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRHDF",6069298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRIDF",11938714,0.0235294117647059,0.0266666666666667,0.09,0.09,0,0,170,6,0.0235294117647059,0.0266666666666667,0.09,0.09,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRNAQ",5910360,0.06,0.06,0,0,0,0,100,2,0.06,0.06,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRNOR",3397249,0.0222222222222222,0.025,0,0,0,0,45,2,0.0222222222222222,0.025,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FROCC",5657583,0.0538461538461538,0.04625,0,0,0,0,260,4,0.0538461538461538,0.04625,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRPAC",4984058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR",2020-09-15,64207050,0.0481927710843374,0,0,83,4,0.030169051245404,962,0.0167346772667487,0.000984314952167924,962,0.0316006002852428,0.0154055115125476,0.0154055115125476,"FRPDL",3676582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
