"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRA",606170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRB",1874590,0.0235294117647059,0.0916361416361416,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692,255,6,0.0235294117647059,0.0916361416361416,0.0192307692307692,0.0192307692307692,0.0192307692307692,0.0192307692307692
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRC",282120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRD",336650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRE",730730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRF",206470,0,0,0,0,0,0,40,2,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRG",680190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRH",546870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRI",3812330,0.0173572228443449,0.0165952380952381,0,0,0,0,1786,30,0.0173572228443449,0.0165952380952381,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRJ",581980,0,0,0,0,0,0,50,1,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRK",197810,0,0,0,0,0,0,100,1,0,0,0,0,0,0
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRL",308610,0,0,NA,NA,NA,NA,60,1,0,0,NA,NA,NA,NA
"GR",2020-09-13,10785860,0.2,0,0,20,1,0.0105256113356254,2251,0.00344077002002507,0.00344077002002507,2251,0.0121942541243914,0.00341046821447664,0.00341046821447664,"GRM",621340,0,0,0,0,0,0,20,1,0,0,0,0,0,0
