"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-04-16,0,0,0,0,6.47875225885255e-05,-9.54092186069913e-05,0.000224984263784042,2.02877562247394e-05,-7.72401982274043e-05,0.000117815710676883,7.14504580654269e-05,-0.000422182665716189,0.000565083581847043
"2",2020-04-17,0,0,0,0,7.76049838529403e-05,-0.000108713927072326,0.000263923894778207,2.33622010488069e-05,-8.55790371354462e-05,0.00013230343923306,7.86807429830668e-05,-0.000448967048124057,0.000606328534090191
"3",2020-04-18,0,0,0,0,9.29582314339299e-05,-0.000123548975410271,0.000309465438278131,2.69025530373498e-05,-9.46719398976431e-05,0.000148477045972343,8.66426819923066e-05,-0.000476854432713544,0.000650139796698157
"4",2020-04-19,0,0,0,0,0.000111348941296077,-0.000139999229084367,0.000362697111676522,3.09794166403844e-05,-0.000104556086400783,0.000166514919681552,9.54103133524748e-05,-0.000505794894189013,0.000696615520893963
"5",2020-04-20,0,0,0,0,0.000133378040185388,-0.000158123265537005,0.000424879345907781,3.56740958393841e-05,-0.00011526264679454,0.000186610838473308,0.000105065167475145,-0.000535717362176799,0.000745847697127089
"6",2020-04-21,0,0,0,0,0.000159765341247314,-0.000177939661478005,0.000497470343972633,4.10802155744457e-05,-0.000126814118036236,0.000208974549185128,0.000115697025077363,-0.00056652591701691,0.000797919967171636
"7",2020-04-22,0,0,0,0,0.000191373064324475,-0.000199408887158387,0.000582155015807338,4.73055888855866e-05,-0.000139220995134891,0.000233832172906064,0.000127404752054658,-0.000598095570413581,0.000852905074522897
"8",2020-04-23,0,0,0,0,0.000229234009472974,-0.000222409607665886,0.000680877626611834,5.44743670041548e-05,-0.000152477638052992,0.000261426372061301,0.000140297218837347,-0.000630267470298155,0.000910861907972849
"9",2020-04-24,0,0,0,0,0.000274585304282736,-0.000246707889080648,0.000795878497646121,6.27295152731415e-05,-0.000166557168937689,0.000292016199483972,0.000154494312779245,-0.000662843464270463,0.000971832089828952
"10",2020-04-25,0,0,0,0,0.000328908827714467,-0.00027191743283099,0.000929735088259924,7.22356642731277e-05,-0.00018140520354847,0.000325876532094726,0.000170128052993003,-0.00069557995140939,0.0010358360573954
"11",2020-04-26,0,0,0,0,0.000393979631324742,-0.000297448498165819,0.0010854077608153,8.31823930132322e-05,-0.000196932184786581,0.000363296970813045,0.000187343817998966,-0.000728180948571412,0.00110286858456934
"12",2020-04-27,0,0,0,0,0.00047192394006989,-0.000322442600027172,0.00126629048016695,9.57880096630039e-05,-0.000213004044452789,0.000404580063778797,0.000206301697603469,-0.000760290295293112,0.00117289369050005
"13",2020-04-28,0,0,0,0,0.000565288627897405,-0.00034568936307227,0.00147626661886708,0.000110303905223551,-0.000229430871135365,0.000450038681582467,0.000227177981577744,-0.000791482922268829,0.00124583888542432
"14",2020-04-29,0,0,0,0,0.000677124438278777,-0.000365521042203202,0.00171976991876076,0.000127019566962203,-0.00024595320695625,0.000499992340880655,0.000250166798980668,-0.000821255113939987,0.00132158871190132
"15",2020-04-30,0,0,0,0,0.000811085668961242,-0.000379679149528401,0.00200185048745088,0.000146268351592512,-0.000262225533578646,0.000554762236763671,0.000275481923369485,-0.000849013708910918,0.00139997755564989
"16",2020-05-01,0,0,0,0,0.000971549578193571,-0.000385146313763166,0.00232824547015031,0.000168434133332837,-0.000277796438819996,0.00061466470548567,0.000303358760685166,-0.000874064207289661,0.00148078172865999
"17",2020-05-02,0,0,0,0,0.0011637594140912,-0.000377934889000773,0.00270545371718318,0.000193958959424249,-0.000292084881028033,0.00068000279987653,0.000334056538297835,-0.000895597798995718,0.00156371087559139
"18",2020-05-03,0,0,0,0,0.00139399574070533,-0.000352821864941399,0.00314081334635206,0.000223351865780066,-0.000304351892912646,0.000751055624472777,0.00036786071556822,-0.000912677403529321,0.00164839883466576
"19",2020-05-04,0,0,0,0,0.00166978165897124,-0.000303017240597226,0.0036425805585397,0.000257199028575524,-0.000313666997821202,0.000828065054972251,0.000405085638340998,-0.000924222939404886,0.00173439421608688
"20",2020-05-05,0,0,0,0,0.0020001286282453,-0.000219750131826969,0.00422000738831756,0.000296175454228498,-0.000318868565434053,0.000911219473891048,0.000446077462054254,-0.000928996253673147,0.00182115117778165
"21",2020-05-06,0,0,0,0,0.00239583092078706,-9.17534125056195e-05,0.00488341525407975,0.000341058440901921,-0.000318517341596366,0.00100063422340021,0.000491217370647096,-0.000925586495905767,0.00190802123719996
"22",2020-05-07,0,0,0,0,0.0028698183306516,9.53764236255633e-05,0.00564426023767764,0.000392743079987676,-0.000310842509217142,0.00109632866919249,0.000540925121198116,-0.000912397317430173,0.00199424755982641
"23",2020-05-08,0,0,0,0,0.00343757866195263,0.000359972263365329,0.00651518506053992,0.000452260106714566,-0.0002936799945967,0.00119820020802583,0.000595662947256416,-0.000887638297347854,0.00207896419186069
"24",2020-05-09,0,0,0,0,0.00411766380153721,0.000725275635198084,0.00751005196787633,0.000520796455871071,-0.000264403572896193,0.00130599648463834,0.000655939857162317,-0.000849324779153756,0.00216120449347839
"25",2020-05-10,0,0,0,0,0.00493229591227998,0.00122064107116216,0.00864395075339781,0.000599718932581088,-0.000219851170457738,0.00141928903561991,0.000722316367327958,-0.000795293488335218,0.00223992622299113
"26",2020-05-11,0,0,0,0,0.00590809355470252,0.00188300881503515,0.00993317829436988,0.000690601470193643,-0.000156252768420431,0.00153745570880772,0.000795409714492696,-0.000723247151249663,0.00231406658023505
