"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-03-23,0.0114620478858889,0,0,0,0.0147312624724785,0.0099029717749896,0.0195595531699675,1.10149499448033e-08,-6.44921973430446e-07,6.66951873320053e-07,1.56562687141234e-07,-7.72310313657727e-06,8.03622851085974e-06
"2",2020-03-24,0.0170682730923695,0,0,0,0.0151376823441209,0.0107574811378276,0.0195178835504142,1.20270577351199e-08,-6.99351872689625e-07,7.23405988159865e-07,1.67887830669963e-07,-8.2247789582978e-06,8.56055461963772e-06
"3",2020-03-25,0.0162523900573614,0,0,0,0.0155551668858555,0.0115637253524141,0.0195466084192968,1.31321629683986e-08,-7.58339375702912e-07,7.8460370163971e-07,1.80032191588789e-07,-8.75862211395212e-06,9.11868649712969e-06
"4",2020-03-26,0.0162523900573614,0,0,0,0.0159832336853541,0.0123192690055169,0.0196471983651913,1.43388107072105e-08,-8.22262489956623e-07,8.50940111371044e-07,1.9305502893761e-07,-9.32666129954766e-06,9.71277135742288e-06
"5",2020-03-27,0.0175284837861525,0,0,0,0.0164213224960141,0.0130232613850404,0.0198193836069877,1.56563311765154e-08,-8.91530210225809e-07,9.2284287257884e-07,2.07019888327698e-07,-9.9310503912202e-06,1.03450901678756e-05
"6",2020-03-28,0.0175284837861525,0,0,0,0.0168687902338432,0.0136772201111564,0.0200603603565299,1.70949119082423e-08,-9.6658502165014e-07,1.00077484546662e-06,2.21994912015797e-07,-1.0574075940159e-05,1.10180657641906e-05
"7",2020-03-29,0.0186234817813765,0,0,0,0.0173249061797847,0.0142855303988185,0.0203642819607508,1.86656765148734e-08,-1.04790560117949e-06,1.08523695420924e-06,2.38053171407822e-07,-1.12581650968356e-05,1.17342714396513e-05
"8",2020-03-30,0.0186234817813765,0,0,0,0.0177888474600863,0.0148553499881604,0.0207223449320122,2.03807707011296e-08,-1.13600973271035e-06,1.17677127411261e-06,2.55273023614567e-07,-1.19858939874258e-05,1.2496440034655e-05
"9",2020-03-31,0.0186234817813765,0,0,0,0.0182596948838131,0.0153958328617012,0.021123556905925,2.22534561788339e-08,-1.23145745237521e-06,1.27596436473288e-06,2.73738493799297e-07,-1.27599965663812e-05,1.33074735539798e-05
"10",2020-04-01,0.0186234817813765,0,0,0,0.0187364292227183,0.0159169162980436,0.021555942147393,2.4298213211134e-08,-1.33485444166821e-06,1.38345086809048e-06,2.93539685182902e-07,-1.35833739702081e-05,1.41704533405739e-05
"11",2020-04-02,0.0186234817813765,0,0,0,0.0192179280242533,0.0164280926937057,0.0220077633548009,2.65308525789932e-08,-1.44685568739669e-06,1.49991739255467e-06,3.14773218707245e-07,-1.44591043986418e-05,1.50886508360563e-05
"12",2020-04-03,0.0186234817813765,0,0,0,0.0197029630533358,0.0169374957225638,0.0224684303841078,2.89686378357124e-08,-1.56816942884563e-06,1.62610670451706e-06,3.37542704502053e-07,-1.53904535505728e-05,1.60655389595769e-05
"13",2020-04-04,0.0186234817813765,0,0,0,0.0201901984624007,0.0174514039302912,0.0229289929945103,3.1630418794801e-08,-1.699561414036e-06,1.7628222516256e-06,3.6195924745595e-07,-1.63808856432796e-05,1.71048041381915e-05
"14",2020-04-05,0.0186234817813765,0,0,0,0.0206781897920258,0.0179740889033604,0.0233822906806912,3.45367772833661e-08,-1.84185948855339e-06,1.91093304312012e-06,3.88141989358504e-07,-1.74340750447497e-05,1.82103590234667e-05
"15",2020-04-06,0.0186234817813765,0,0,0,0.0211653839058358,0.018507874767111,0.0238228930445606,3.77101862880453e-08,-1.99595854212936e-06,2.07137891470545e-06,4.16218690258803e-07,-1.85539185501283e-05,1.93863559306459e-05
"16",2020-04-07,0.0212927756653992,0,0,0,0.0216501199632168,0.0190532941420932,0.0242469457843404,4.11751837240465e-08,-2.16282583997622e-06,2.24517620742431e-06,4.46326351877235e-07,-1.97445483346166e-05,2.06372010383711e-05
"17",2020-04-08,0.0213058419243986,0,0,0,0.022130631531399,0.019609268927006,0.0246519941357919,4.49585621709447e-08,-2.34350676781876e-06,2.43342389216065e-06,4.78611886112502e-07,-2.10103456164453e-05,2.19675693886703e-05
"18",2020-04-09,0.0213166144200627,0,0,0,0.0226050499344768,0.0201732825853164,0.0250368172836372,4.90895760423351e-08,-2.53913102163634e-06,2.63731017372101e-06,5.13232831905864e-07,-2.23559550648777e-05,2.33824207286894e-05
"19",2020-04-10,0.0218289085545723,0,0,0,0.0230714089307209,0.02074153672427,0.0254012811371719,5.36001677912548e-08,-2.75091927533545e-06,2.85811961091796e-06,5.50358123960585e-07,-2.3786299989536e-05,2.48870162374572e-05
"20",2020-04-11,0.0218049666868565,0,0,0,0.0235276508009247,0.0213091016289848,0.0257461999728646,5.85252149004711e-08,-2.98019036192324e-06,3.09724079172418e-06,5.90168917067587e-07,-2.53065983486955e-05,2.64869361828306e-05
"21",2020-04-12,0.0265742345465049,0,0,0,0.023971633919354,0.0218700830070227,0.0260731848316852,6.39027995674509e-08,-3.22836900625395e-06,3.35617460538885e-06,6.32859470059664e-07,-2.69223796155525e-05,2.81880985556719e-05
"22",2020-04-13,0.0265742345465049,0,0,0,0.0244011418650302,0.0224178386796431,0.0263844450504173,6.97745031693161e-08,-3.49699415008185e-06,3.63654315642048e-06,6.78638093707556e-07,-2.86395025428295e-05,2.99967787302446e-05
"23",2020-04-14,0.0265742345465049,0,0,0,0.0248138941144878,0.0229452880947996,0.026682500134176,7.61857277846822e-08,-3.78772791298196e-06,3.94009936855133e-06,7.27728167183157e-07,-3.04641738674246e-05,3.19196302017909e-05
"24",2020-04-15,0.0265742345465049,0,0,0,0.0252075583378047,0.0234453552517122,0.0269697614238973,8.31860472585084e-08,-4.10236523570597e-06,4.26873733022299e-06,7.80369228049814e-07,-3.24029679981587e-05,3.39637064542583e-05
"25",2020-04-16,0.0265742345465049,0,0,0,0.0255797661628648,0.0239115570152983,0.0272479753104313,9.0829590524514e-08,-4.44284425572847e-06,4.6245034367775e-06,8.36818141098264e-07,-3.44628477309679e-05,3.61364840131644e-05
"26",2020-04-17,0.0265742345465049,0,0,0,0.0259287678157185,0.0243399750655552,0.0275175605658819,9.91754601491422e-08,-4.81125746812131e-06,5.00960838841959e-06,8.97350351731774e-07,-3.66511860371765e-05,3.84458867406401e-05
"27",2020-04-18,0.0265742345465049,0,0,0,0.0262544309504658,0.0247311388628875,0.0277777230380441,1.08288189333405e-07,-5.20986372847715e-06,5.42644010714396e-06,9.62261230016275e-07,-3.89757889716987e-05,4.09003114317312e-05
"28",2020-04-19,0.0265742345465049,0,0,0,0.0265569761636201,0.0250866833725999,0.0280272689546402,1.18238240906298e-07,-5.64110115839585e-06,5.87757764020845e-06,1.03186751195391e-06,-4.14449197491857e-05,4.35086547730935e-05
"29",2020-04-20,0.0265742345465049,0,0,0,0.0268367414552767,0.025408690244744,0.0282647926658094,1.291025521682e-07,-6.10760101806087e-06,6.36580612239727e-06,1.10650884501283e-06,-4.40673240372281e-05,4.62803417272537e-05
"30",2020-04-21,0.0265742345465049,0,0,0,0.0270941759023421,0.0256995379708964,0.0284888138337879,1.40965129797149e-07,-6.61220261466715e-06,6.89413287426145e-06,1.18654944545472e-06,-4.68522565167035e-05,4.92253554076129e-05
"31",2020-04-22,0.0265742345465049,0,0,0,0.0273298328961526,0.0259617430427013,0.0286979227496039,1.53917699418041e-07,-7.15796931993748e-06,7.46580471877356e-06,1.27237987554683e-06,-4.98095087602455e-05,5.23542685113392e-05
"32",2020-04-23,0.0265742345465049,0,0,0,0.0275443630529534,0.0261978174758241,0.0288909086300827,1.68060414857444e-07,-7.74820577467451e-06,8.0843266043894e-06,1.36441894933096e-06,-5.29494384805631e-05,5.5678276379225e-05
"33",2020-04-24,0.0265742345465049,0,0,0,0.0277385069022895,0.0264101594947246,0.0290668543098544,1.83502632568233e-07,-8.38647636325802e-06,8.75348162839449e-06,1.46311577624829e-06,-5.6283000200905e-05,5.92092317534016e-05
"34",2020-04-25,0.0265742345465049,0,0,0,0.0279130874537862,0.0266009830843717,0.0292251918232007,2.00363757212159e-07,-9.07662504621015e-06,9.47735256063446e-06,1.56895195259223e-06,-5.98217774003847e-05,6.29596813055691e-05
"35",2020-04-26,0.0265742345465049,0,0,0,0.0280690027372675,0.0267722832282145,0.0293657222463205,2.18774164938726e-07,-9.8227966444254e-06,1.02603449743029e-05,1.68244391148252e-06,-6.35780161870537e-05,6.69429040100187e-05
"36",2020-04-27,0.0303390838786437,0,0,0,0.0282072184048653,0.0269258289549613,0.0294886078547694,2.38876211499455e-07,-1.0629459674395e-05,1.11072120973939e-05,1.80414544282753e-06,-6.75646605515466e-05,7.11729514372017e-05
"37",2020-04-28,0.0303390838786437,0,0,0,0.0283287604769048,0.0270631753508395,0.0295943456029702,2.60825332992649e-07,-1.15014308397539e-05,1.20230815057392e-05,1.93465039557079e-06,-7.17953892537748e-05,7.56646900449163e-05
"38",2020-04-29,0.0303390838786437,0,0,0,0.0284347083060935,0.0271856869563093,0.0296837296558777,2.84791247750016e-07,-1.24439012907407e-05,1.30134837862408e-05,2.07459557540784e-06,-7.62846543944637e-05,8.04338455452794e-05
"39",2020-04-30,0.0314430095451993,0,0,0,0.028526187827068,0.0272945670416424,0.0297578086124935,3.10959268658527e-07,-1.34624647696825e-05,1.40843833069996e-05,2.22466385211264e-06,-8.10477217222785e-05,8.54970494265038e-05
"40",2020-05-01,0.0314430095451993,0,0,0,0.0286043651508193,0.0273908892571074,0.0298178410445312,3.39531736064879e-07,-1.45631477673976e-05,1.52422112395273e-05,2.38558749163618e-06,-8.610071272581e-05,9.08718877090823e-05
"41",2020-05-02,0.0314430095451993,0,0,0,0.0286704405560748,0.0274756296893639,0.0298652514227857,3.70729582342262e-07,-1.5752441822436e-05,1.64939009871206e-05,2.5581517292361e-06,-9.14606485577364e-05,9.65769520162086e-05
"42",2020-05-03,0.0314430095451993,0,0,0,0.0287256429224887,0.0275496983418898,0.0299015875030877,4.04794040217215e-07,-1.70373381023456e-05,1.78469261827801e-05,2.743198601073e-06,-9.71454958359908e-05,0.000102631893038137
"43",2020-05-04,0.0314430095451993,0,0,0,0.0287712246436028,0.0276139695498234,0.0299284797373822,4.41988508065971e-07,-1.84253644136348e-05,1.93093414297667e-05,2.94163105296963e-06,-0.000103174214363656,0.000109057476469595
"44",2020-05-05,0.0314430095451993,0,0,0,0.0288084570510783,0.0276693109391536,0.0299476031630029,4.82600586603385e-07,-1.99246247947941e-05,2.08898259680009e-05,3.1544173463819e-06,-0.000109566806805524,0.000115875641498288
"45",2020-05-06,0.0314430095451993,0,0,0,0.0288386263757563,0.0277166103565353,0.0299606423949773,5.26944302712884e-07,-2.15438418546009e-05,2.25977304600267e-05,3.38259578308094e-06,-0.000116344370354719,0.000123109561920881
"46",2020-05-07,0.0314430095451993,0,0,0,0.0288630302657454,0.027756799845802,0.0299692606856889,5.75362537612841e-07,-2.32924020259317e-05,2.44431271011574e-05,3.62727977160057e-06,-0.000123529150417359,0.00013078370996056
"47",2020-05-08,0.0314430095451993,0,0,0,0.0288829748770134,0.0277908753600479,0.0299750743939789,6.28229678134813e-07,-2.51804039134174e-05,2.6436863269687e-05,3.88966326017196e-06,-0.000131144596336878,0.000138923922857221
"48",2020-05-09,0.0314430095451993,0,0,0,0.0288997725479251,0.0278199106122778,0.0299796344835723,6.85954511614277e-07,-2.72187099214293e-05,2.85906189446578e-05,4.17102656265627e-06,-0.000139215419172211,0.000147557472297524
"49",2020-05-10,0.0314430095451993,0,0,0,0.0289147321278317,0.0278450578039157,0.0299844064517476,7.48983386778186e-07,-2.94190013570411e-05,3.09169681305974e-05,4.47274260590232e-06,-0.000147767651535398,0.000156713136747203
"50",2020-05-11,0.0314430095451993,0,0,0,0.0289286892489161,0.0278672052437223,0.02999017325411,8.17803665070385e-07,-3.17938372106784e-05,3.34294445408192e-05,4.79628362901475e-06,-0.000156828709484251,0.000166421276742281
"51",2020-05-12,0.0314430095451993,0,0,0,0.0289417424140477,0.0278867310489192,0.0299967537791761,8.92947489101813e-07,-3.43567168250925e-05,3.61426118032961e-05,5.14322836722102e-06,-0.000166427456454316,0.000176713913188758
"52",2020-05-13,0.0314430095451993,0,0,0,0.0289539268075076,0.0279039442292066,0.0300039093858087,9.74995897364457e-07,-3.71221466709474e-05,3.90721384656764e-05,5.51526975539207e-06,-0.000176594269201321,0.000187624808712105
"53",2020-05-14,0.0314430095451993,0,0,0,0.0289652777553336,0.0279191267289779,0.0300114287816893,1.0645833170254e-06,-4.01057114545986e-05,4.22348780886493e-05,5.91422318880575e-06,-0.000187361105710468,0.00019918955208808
"54",2020-05-15,0.0314430095451993,0,0,0,0.0289758307147751,0.0279325329232358,0.0300191285063143,1.16240246954101e-06,-4.33241497904331e-05,4.56489547295151e-05,6.34203538146275e-06,-0.000198761575012126,0.000211445645775052
"55",2020-05-16,0.0314430095451993,0,0,0,0.0289856212641715,0.0279443899896643,0.0300268525386788,1.26920972702302e-06,-4.67954346762565e-05,4.93338541303025e-05,6.80079386517831e-06,-0.000210831008824379,0.000224432596554736
"56",2020-05-17,0.0314430095451993,0,0,0,0.0289946850932561,0.0279548989627321,0.0300344712237801,1.38583096077378e-06,-5.05388590155132e-05,5.33105209370608e-05,7.29273717580231e-06,-0.000223606534921497,0.000238192009273102
"57",2020-05-18,0.0314430095451993,0,0,0,0.0290030579938896,0.0279642362847999,0.0300418797029794,1.51316792721392e-06,-5.45751264343803e-05,5.76014622888081e-05,7.82026577627118e-06,-0.000237127152103162,0.000252767683655704
"58",2020-05-19,0.0314430095451993,0,0,0,0.0290107758512283,0.0279725556903709,0.0300489960120858,1.6522052405803e-06,-5.89264476447386e-05,6.22308581258992e-05,8.3859537697915e-06,-0.000251433806612191,0.000268205714151775
"59",2020-05-20,0.0314430095451993,0,0,0,0.0290178746353282,0.0279799902864454,0.0300557589842109,1.80401798630978e-06,-6.36166426054618e-05,6.72246785780814e-05,8.9925614603104e-06,-0.000266569469818093,0.000284554592738714
"60",2020-05-21,0.0314430095451993,0,0,0,0.0290243903931897,0.0279866547196536,0.0300621260667258,1.9697800339782e-06,-6.86712487340367e-05,7.26108088019931e-05,9.64304882156184e-06,-0.000282579216949771,0.000301865314592894
"61",2020-05-22,0.0314430095451993,0,0,0,0.0290303592412448,0.0279926473465495,0.0300680711359401,2.15077311407297e-06,-7.41176354178794e-05,7.84191816460254e-05,1.03405899404123e-05,-0.000299510306622773,0.000320191486503598
"62",2020-05-23,0.0314430095451993,0,0,0,0.0290358173582889,0.0279980523455552,0.0300735823710226,2.34839672878436e-06,-7.99851250694797e-05,8.46819185270484e-05,1.10885885049825e-05,-0.000317412260864127,0.000339589437874092
"63",2020-05-24,0.0314430095451993,0,0,0,0.0290408009788606,0.0280029417270196,0.0300786602307016,2.56417897344889e-06,-8.63051209611681e-05,9.14334789080658e-05,1.18906944131205e-05,-0.000336336945290699,0.00036011833411694
"64",2020-05-25,0.0314430095451993,0,0,0,0.0290453463870696,0.0280073772117833,0.030083315562356,2.79978835232022e-06,-9.31112420634054e-05,9.87108187680459e-05,1.27508215822676e-05,-0.00035633864904467,0.000381840292209205
"65",2020-05-26,0.0314430095451993,0,0,0,0.0290494899108768,0.0280114119589761,0.0300875678627775,3.05704668003131e-06,-0.000100439465094409,0.000106553558454471,1.36731670476219e-05,-0.000377474164031575,0.000404820498126819
"66",2020-05-27,0.0314430095451993,0,0,0,0.0290532679168254,0.0280150921311175,0.0300914437025334,3.33794316850617e-06,-0.000108328273967984,0.000115004160304996,1.46622314417895e-05,-0.000399802862941839,0.000429127325825418
"67",2020-05-28,0.0314430095451993,0,0,0,0.0290567168052267,0.0280184582895661,0.0300949753208874,3.6446498082466e-06,-0.000116818816799926,0.000124108116416419,1.57228409558554e-05,-0.000423386775465387,0.000454832457377098
"68",2020-05-29,0.0314430095451993,0,0,0,0.0290598730058001,0.0280215466165729,0.0300981993950273,3.97953816292704e-06,-0.00012595507060034,0.000133914146926194,1.6860170889033e-05,-0.000448290662029797,0.000482011003807863
"69",2020-05-30,0.0314430095451993,0,0,0,0.0290627729737691,0.0280243899621064,0.0301011559854317,4.34519770715962e-06,-0.000135784013738879,0.000144474409153198,1.80797709018058e-05,-0.000474582084305153,0.000510741626108765
