"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-03-22,0,0,0,0,0.00209544612269372,0.000268607642616828,0.00392228460277062,4.22453835103089e-11,-4.45400761842403e-10,5.29891528863021e-10,1.0892849544005e-06,-1.17933209186231e-05,1.39718908274241e-05
"2",2020-03-23,0,0,0,0,0.00214940570379935,0.000371798022763019,0.00392701338483567,5.02582270880751e-11,-5.2415840701616e-10,6.2467486119231e-10,1.16673190551964e-06,-1.25005413543572e-05,1.48340051653965e-05
"3",2020-03-24,0.00181818181818182,0,0,0,0.0022047547915888,0.000477070973162979,0.00393243861001462,5.97908973750974e-11,-6.16768787508139e-10,7.36350582258334e-10,1.24968524889492e-06,-1.3248714328553e-05,1.57480848263429e-05
"4",2020-03-25,0.00181818181818182,0,0,0,0.00226168535334431,0.000583219176115447,0.00394015153057318,7.11316657202113e-11,-7.25653512052199e-10,8.67916843492622e-10,1.33853648290351e-06,-1.4040088494813e-05,1.671716146062e-05
"5",2020-03-26,0.00181818181818182,0,0,0,0.00232036724598875,0.000689608634306185,0.00395112585767132,8.46234810022983e-11,-8.53654453605874e-10,1.02290141561047e-09,1.43370494102259e-06,-1.48770252779922e-05,1.77444351600374e-05
"6",2020-03-27,0.00181818181818182,0,0,0,0.00238080001348995,0.000796524392636048,0.00396507563434385,1.00674340526676e-10,-1.00410605561144e-09,1.20545473666479e-09,1.53563977087412e-06,-1.57620035467912e-05,1.88332830885395e-05
"7",2020-03-28,0.00350877192982456,0,0,0,0.00244297911401998,0.000904210896592378,0.00398174733144758,1.1976962800911e-10,-1.18091994802056e-09,1.42045920403878e-09,1.64482205397739e-06,-1.66976243811531e-05,1.99872684891079e-05
"8",2020-03-29,0.00350877192982456,0,0,0,0.00250689554297518,0.00101286257822519,0.00400092850772517,1.42486791752458e-10,-1.38868394147143e-09,1.67365752497635e-09,1.76176707621372e-06,-1.76866159243805e-05,2.12101500768079e-05
"9",2020-03-30,0.00350877192982456,0,0,0,0.00257253544632851,0.00112261425606958,0.00402245663658744,1.69512806889273e-10,-1.63277780979085e-09,1.97180342356939e-09,1.88702675971859e-06,-1.87318383079744e-05,2.25058918274115e-05
"10",2020-03-31,0.00350877192982456,0,0,0,0.00263987972571835,0.001233531500204,0.00404622795123271,2.01664949754784e-10,-1.91950866801896e-09,2.32283856752852e-09,2.02119226767869e-06,-1.98362886350787e-05,2.38786731704361e-05
"11",2020-04-01,0.0032258064516129,0,0,0,0.00270890363692249,0.00134560117041777,0.00407220610342721,2.3991551261472e-10,-2.25626921408323e-09,2.73610023931267e-09,2.16489679432703e-06,-2.10031060060391e-05,2.53328995946932e-05
"12",2020-04-02,0.00297397769516729,0,0,0,0.0027795763836223,0.00145872244735051,0.00410043031989409,2.85421206130134e-10,-2.65172263703707e-09,3.22256504929734e-09,2.31881855330377e-06,-2.22355765669596e-05,2.68732136735671e-05
"13",2020-04-03,0.00297397769516729,0,0,0,0.00285186070862986,0.00157269886555622,0.0041310225517035,3.39558138700291e-10,-3.11601861486622e-09,3.7951348922668e-09,2.48368397848602e-06,-2.35371385592157e-05,2.85045065161877e-05
"14",2020-04-04,0.00297397769516729,0,0,0,0.00292571248502729,0.00168723214592556,0.00416419282412902,4.03963430471376e-10,-3.66104554336823e-09,4.46897240431098e-09,2.66027115239319e-06,-2.49113873446468e-05,3.02319296494332e-05
"15",2020-04-05,0.00297397769516729,0,0,0,0.00300108030995153,0.00180191902668844,0.00420024159321463,4.80584720433511e-10,-4.30072496955488e-09,5.26189441042191e-09,2.84941347834815e-06,-2.63620803775641e-05,3.20609073342604e-05
"16",2020-04-06,0.00297397769516729,0,0,0,0.00307790510404692,0.00191625279503683,0.00423955741305702,5.71739063718341e-10,-5.0513551655988e-09,6.19483329303548e-09,3.05200361372488e-06,-2.78931420907438e-05,3.39971493181936e-05
"17",2020-04-07,0.00267558528428094,0,0,0,0.0031561197198986,0.00202963175550103,0.00428260768429617,6.80183000172501e-10,-5.93201189216715e-09,7.29237789251215e-09,3.26899768284582e-06,-2.95086686581977e-05,3.60466640238893e-05
"18",2020-04-08,0.00250783699059561,0,0,0,0.00323564856305034,0.00214137726668849,0.0043299198594122,8.09195913105521e-10,-6.9650156854242e-09,8.58340751163524e-09,3.50141978941137e-06,-3.12129325926706e-05,3.82157721714933e-05
"19",2020-04-09,0.00312744331508991,0,0,0,0.00331640722949553,0.00225076392911766,0.0043820505298734,9.62679199010589e-10,-8.17647648549381e-09,1.0101834883515e-08,3.75036684975828e-06,-3.30103871304871e-05,4.05111208300037e-05
"20",2020-04-10,0.00364963503649635,0,0,0,0.00339830216380745,0.00235706359118583,0.00443954073642907,1.14527424718571e-09,-9.59692813463547e-09,1.18874766290069e-08,4.0170137697572e-06,-3.49056703504923e-05,4.29396978900067e-05
"21",2020-04-11,0.00277117973079968,0,0,0,0.00348123034233891,0.00245960266679822,0.0045028580178796,1.36250279700117e-09,-1.12620672435418e-08,1.39870728375442e-08,4.30261898978203e-06,-3.6903608967362e-05,4.5508846946926e-05
"22",2020-04-12,0.00343380389164441,0,0,0,0.00356507898616769,0.00255782879098463,0.00457232918135076,1.62093391726725e-09,-1.32136131909806e-08,1.64554810255151e-08,4.60853042392032e-06,-3.9009221732447e-05,4.82262825802876e-05
"23",2020-04-13,0.00381533765738268,0,0,0,0.00364972530868812,0.00265137879343207,0.00464807182394418,1.92838265721746e-09,-1.55003086271398e-08,1.93570739415748e-08,4.93619182145503e-06,-4.12277223674958e-05,5.11001060104059e-05
"24",2020-04-14,0.00388953714507974,0,0,0,0.0037350363029438,0.00274013692734318,0.00472993567854442,2.2941463763843e-09,-1.81790828413017e-08,2.27673755940702e-08,5.28714958064055e-06,-4.35645219480127e-05,5.41388211092938e-05
"25",2020-04-15,0.00388953714507974,0,0,0,0.00382086857395799,0.00282427212410015,0.00481746502381583,2.72928590006692e-09,-2.13164037822181e-08,2.6774975582352e-08,5.6630600469306e-06,-4.60252306435865e-05,5.73513507374477e-05
"26",2020-04-16,0.00388953714507974,0,0,0,0.00390706822143853,0.00290424667521194,0.00490988976766512,3.24696000263251e-09,-2.49898484432068e-08,3.14837684484718e-08,6.06569733010209e-06,-4.86156587121872e-05,6.07470533723914e-05
"27",2020-04-17,0.00388953714507974,0,0,0,0.00399347077830868,0.00298079512489813,0.00500614643171923,3.86282333354554e-09,-2.92899258083036e-08,3.70155724753947e-08,6.49696167716765e-06,-5.13418166341014e-05,6.43357399884367e-05
"28",2020-04-18,0.00388953714507974,0,0,0,0.00407990121053682,0.00305487857323658,0.00510492384783705,4.59549981955002e-09,-3.43221916723683e-08,4.35131913114683e-08,6.95888844059335e-06,-5.42099142587721e-05,6.81276911399588e-05
"29",2020-04-19,0.00343380389164441,0,0,0,0.00416617410052904,0.00312762306478911,0.00520472513626896,5.46714585885559e-09,-4.02097004753359e-08,5.11439921930471e-08,7.45365768414612e-06,-5.72263588242171e-05,7.21336741925094e-05
"30",2020-04-20,0.00343380389164441,0,0,0,0.00425213410056582,0.0032001570297937,0.00530411117133795,6.50412033852037e-09,-4.70958459144096e-08,6.01040865914503e-08,7.98360447170689e-06,-6.03977516938552e-05,7.6364960637269e-05
"31",2020-04-21,0.00343380389164441,0,0,0,0.00433772005599044,0.00327332419275699,0.00540211591922389,7.73778173659506e-09,-5.51476496103458e-08,7.0623213083536e-08,8.55122988760656e-06,-6.37308836393084e-05,8.08333434145215e-05
"32",2020-04-22,0.00343380389164441,0,0,0,0.00442288758038494,0.00334775140260915,0.00549802375816074,9.20543641368185e-09,-6.45595656039641e-08,8.29704384313278e-08,9.15921284049552e-06,-6.72327284800018e-05,8.55511541609929e-05
"33",2020-04-23,0.00343380389164441,0,0,0,0.00450759486540387,0.00342388484704156,0.00559130488376618,1.09514667705823e-08,-7.55578780510213e-08,9.7460811592186e-08,9.81042270645575e-06,-7.09104348709956e-05,9.05312802839071e-05
"34",2020-04-24,0.00343380389164441,0,0,0,0.00459180278291594,0.00350200567140334,0.00568159989442855,1.30286733879247e-08,-8.84057802761481e-08,1.14463127051998e-07,1.05079328710234e-05,-7.47713160093041e-05,9.57871817513508e-05
"35",2020-04-25,0.00343380389164441,0,0,0,0.00467547497823458,0.00358224601172741,0.00576870394474175,1.54998717345505e-08,-1.03409235449997e-07,1.34408978919097e-07,1.12550352340347e-05,-7.88228370058842e-05,0.000101332907473954
"36",2020-04-26,0.0033112582781457,0,0,0,0.00475857795445645,0.00366460430130429,0.00585255160760861,1.84397917296922e-08,-1.20923732677195e-07,1.57803316136579e-07,1.20552557457503e-05,-8.30725996452804e-05,0.000107183111136781
"37",2020-04-27,0.0033112582781457,0,0,0,0.00484108114797801,0.00374895956591139,0.00593320273004463,2.19373376023802e-08,-1.41362067329411e-07,1.85236742534171e-07,1.29123710475803e-05,-8.75283242274808e-05,0.000113353066322641
"38",2020-04-28,0.0033112582781457,0,0,0,0.00492295699530768,0.00383508495608782,0.00601082903452753,2.60982763870315e-08,-1.65203291119233e-07,2.17399843893296e-07,1.38304262959468e-05,-9.21978281566508e-05,0.000119858680748544
"39",2020-04-29,0.0033112582781457,0,0,0,0.00500418099133688,0.00392266109044124,0.00608570089223251,3.10484363562874e-08,-1.93002995758002e-07,2.55099868470577e-07,1.48137542534036e-05,-9.70890009088673e-05,0.000126716509415674
"40",2020-04-30,0.00691411935953421,0,0,0,0.00508473173927702,0.0040112899787892,0.00615817349976484,3.69375121128476e-08,-2.25405114114435e-07,2.99280138340131e-07,1.58669957371122e-05,-0.000102209774975577,0.000133943766449802
