"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USAK",731545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USAL",4903185,0.25,0.25,0,0,0,0,12,1,0.25,0.25,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USAR",3017825,0.02,0.02,0,0,0,0,100,1,0.02,0.02,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USAZ",7278717,0.102564102564103,0.0826923076923077,0.0256410256410256,0.025,0.102564102564103,0.0826923076923077,39,4,0.102564102564103,0.0826923076923077,0.0256410256410256,0.025,0.102564102564103,0.0826923076923077
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USCA",39512223,0.010507880910683,0.0103030303030303,0,0,0,0,571,22,0.010507880910683,0.0103030303030303,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USCO",5758736,0.0697674418604651,0.05,0,0,0,0,43,2,0.0697674418604651,0.05,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USCT",3565287,0,0,NA,NA,NA,NA,10,1,0,0,NA,NA,NA,NA
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USDC",705749,0,0,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USDE",973764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USFL",21477737,0.0463917525773196,0.075297619047619,0.0121951219512195,0.0138888888888889,0.0182926829268293,0.025,194,4,0.0463917525773196,0.075297619047619,0.0121951219512195,0.0138888888888889,0.0182926829268293,0.025
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USGA",10617423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USHI",1415872,0,0,0,0,0,0,6,1,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USIA",3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USID",1787065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USIL",12671821,0.00418410041841004,0.00666666666666667,0,0,0,0,239,6,0.00418410041841004,0.00666666666666667,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USIN",6732219,0.166666666666667,0.166666666666667,0,0,0.133333333333333,0.133333333333333,30,1,0.166666666666667,0.166666666666667,0,0,0.133333333333333,0.133333333333333
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USKS",2913314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USKY",4467673,0,0,NA,NA,NA,NA,40,1,0,0,NA,NA,NA,NA
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USLA",4648794,0.25,0.25,0.25,0.25,0.25,0.25,4,1,0.25,0.25,0.25,0.25,0.25,0.25
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USMA",6949503,0.0354430379746835,0.0468686868686869,0,0,0,0,395,9,0.0354430379746835,0.0468686868686869,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USMD",6045680,0,0,NA,NA,NA,NA,33,2,0,0,NA,NA,NA,NA
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USME",1344212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USMI",9986857,0.04,0.04,0.04,0.04,0,0,50,1,0.04,0.04,0.04,0.04,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USMN",5639632,0.0266666666666667,0.0361111111111111,0.0117647058823529,0.0166666666666667,0.0117647058823529,0.0166666666666667,150,6,0.0266666666666667,0.0361111111111111,0.0117647058823529,0.0166666666666667,0.0117647058823529,0.0166666666666667
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USMO",6137428,0,0,0,0,0,0,9,2,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USMS",2976149,0.021978021978022,0.0142857142857143,0,0,0,0,91,4,0.021978021978022,0.0142857142857143,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USMT",1068778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USNC",10488084,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USND",762062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USNE",1934408,0,0,0,0,0,0,71,4,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USNH",1359711,0,0,NA,NA,NA,NA,3,1,0,0,NA,NA,NA,NA
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USNJ",8882190,0,0,0,0,0,0,23,4,0,0,0,0,0,0
"US","2020/11/07",328300544,0.125,0.125,0.125,8,2,0.0392410321674689,0,0.00857355169398162,0.0144166114558559,0,0.125,0.125,0.125,"USNM",2096829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
