"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"1",2020-01-01,"Madrid","ESMD",6663394,3,0,3,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2",2020-01-02,"Madrid","ESMD",6663394,3,0,6,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"3",2020-01-03,"Madrid","ESMD",6663394,3,0,9,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"4",2020-01-04,"Madrid","ESMD",6663394,5,0,14,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"5",2020-01-05,"Madrid","ESMD",6663394,3,0,17,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"6",2020-01-06,"Madrid","ESMD",6663394,6,0,23,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"7",2020-01-07,"Madrid","ESMD",6663394,1,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"8",2020-01-08,"Madrid","ESMD",6663394,9,0,33,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"9",2020-01-09,"Madrid","ESMD",6663394,9,0,42,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"10",2020-01-10,"Madrid","ESMD",6663394,8,0,50,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"11",2020-01-11,"Madrid","ESMD",6663394,5,0,55,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"12",2020-01-12,"Madrid","ESMD",6663394,6,0,61,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"13",2020-01-13,"Madrid","ESMD",6663394,12,0,73,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"14",2020-01-14,"Madrid","ESMD",6663394,6,0,79,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"15",2020-01-15,"Madrid","ESMD",6663394,8,0,87,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"16",2020-01-16,"Madrid","ESMD",6663394,9,0,96,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"17",2020-01-17,"Madrid","ESMD",6663394,6,0,102,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"18",2020-01-18,"Madrid","ESMD",6663394,7,0,109,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"19",2020-01-19,"Madrid","ESMD",6663394,8,0,117,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"20",2020-01-20,"Madrid","ESMD",6663394,7,0,124,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"21",2020-01-21,"Madrid","ESMD",6663394,6,0,130,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"22",2020-01-22,"Madrid","ESMD",6663394,6,0,136,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"23",2020-01-23,"Madrid","ESMD",6663394,6,0,142,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"24",2020-01-24,"Madrid","ESMD",6663394,5,0,147,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"25",2020-01-25,"Madrid","ESMD",6663394,2,0,149,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"26",2020-01-26,"Madrid","ESMD",6663394,1,0,150,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"27",2020-01-27,"Madrid","ESMD",6663394,1,0,151,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"28",2020-01-28,"Madrid","ESMD",6663394,1,0,152,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"29",2020-01-29,"Madrid","ESMD",6663394,4,0,156,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"30",2020-01-30,"Madrid","ESMD",6663394,2,0,158,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"31",2020-01-31,"Madrid","ESMD",6663394,4,0,162,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"32",2020-02-01,"Madrid","ESMD",6663394,11,0,173,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"33",2020-02-02,"Madrid","ESMD",6663394,10,0,183,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"34",2020-02-03,"Madrid","ESMD",6663394,10,0,193,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"35",2020-02-04,"Madrid","ESMD",6663394,2,0,195,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"36",2020-02-05,"Madrid","ESMD",6663394,4,0,199,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"37",2020-02-06,"Madrid","ESMD",6663394,5,0,204,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"38",2020-02-07,"Madrid","ESMD",6663394,9,0,213,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"39",2020-02-08,"Madrid","ESMD",6663394,8,0,221,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"40",2020-02-09,"Madrid","ESMD",6663394,2,0,223,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"41",2020-02-10,"Madrid","ESMD",6663394,13,0,236,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"42",2020-02-11,"Madrid","ESMD",6663394,9,0,245,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"43",2020-02-12,"Madrid","ESMD",6663394,12,0,257,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"44",2020-02-13,"Madrid","ESMD",6663394,16,0,273,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"45",2020-02-14,"Madrid","ESMD",6663394,11,0,284,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"46",2020-02-15,"Madrid","ESMD",6663394,13,0,297,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"47",2020-02-16,"Madrid","ESMD",6663394,17,0,314,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"48",2020-02-17,"Madrid","ESMD",6663394,20,0,334,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"49",2020-02-18,"Madrid","ESMD",6663394,14,0,348,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"50",2020-02-19,"Madrid","ESMD",6663394,13,0,361,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"51",2020-02-20,"Madrid","ESMD",6663394,29,0,390,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"52",2020-02-21,"Madrid","ESMD",6663394,31,0,421,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"53",2020-02-22,"Madrid","ESMD",6663394,32,0,453,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"54",2020-02-23,"Madrid","ESMD",6663394,46,0,499,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"55",2020-02-24,"Madrid","ESMD",6663394,59,0,558,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"56",2020-02-25,"Madrid","ESMD",6663394,53,0,611,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"57",2020-02-26,"Madrid","ESMD",6663394,73,0,684,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"58",2020-02-27,"Madrid","ESMD",6663394,99,0,783,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"59",2020-02-28,"Madrid","ESMD",6663394,163,0,946,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"60",2020-02-29,"Madrid","ESMD",6663394,111,0,1057,0,0,0,NA,0,0,0,0,0,NA,0,0,0
