"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"1",2020-01-31,"Navarra","ESNC",654214,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2",2020-02-01,"Navarra","ESNC",654214,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"3",2020-02-02,"Navarra","ESNC",654214,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"4",2020-02-03,"Navarra","ESNC",654214,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"5",2020-02-04,"Navarra","ESNC",654214,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"6",2020-02-05,"Navarra","ESNC",654214,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"7",2020-02-06,"Navarra","ESNC",654214,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"8",2020-02-07,"Navarra","ESNC",654214,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"9",2020-02-08,"Navarra","ESNC",654214,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"10",2020-02-09,"Navarra","ESNC",654214,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"11",2020-02-10,"Navarra","ESNC",654214,1,0,2,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"12",2020-02-11,"Navarra","ESNC",654214,0,0,2,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"13",2020-02-12,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"14",2020-02-13,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"15",2020-02-14,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"16",2020-02-15,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"17",2020-02-16,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"18",2020-02-17,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"19",2020-02-18,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"20",2020-02-19,"Navarra","ESNC",654214,0,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"21",2020-02-20,"Navarra","ESNC",654214,1,0,3,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"22",2020-02-21,"Navarra","ESNC",654214,2,0,5,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"23",2020-02-22,"Navarra","ESNC",654214,1,0,6,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"24",2020-02-23,"Navarra","ESNC",654214,1,0,7,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"25",2020-02-24,"Navarra","ESNC",654214,3,0,10,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"26",2020-02-25,"Navarra","ESNC",654214,4,0,14,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"27",2020-02-26,"Navarra","ESNC",654214,5,0,19,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"28",2020-02-27,"Navarra","ESNC",654214,5,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"29",2020-02-28,"Navarra","ESNC",654214,3,0,27,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"30",2020-02-29,"Navarra","ESNC",654214,5,0,32,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"31",2020-03-01,"Navarra","ESNC",654214,13,0,45,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"32",2020-03-02,"Navarra","ESNC",654214,15,0,60,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"33",2020-03-03,"Navarra","ESNC",654214,18,0,78,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"34",2020-03-04,"Navarra","ESNC",654214,22,0,100,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"35",2020-03-05,"Navarra","ESNC",654214,28,0,128,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"36",2020-03-06,"Navarra","ESNC",654214,26,0,154,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"37",2020-03-07,"Navarra","ESNC",654214,49,0,203,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"38",2020-03-08,"Navarra","ESNC",654214,51,0,254,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"39",2020-03-09,"Navarra","ESNC",654214,97,0,351,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"40",2020-03-10,"Navarra","ESNC",654214,109,0,460,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"41",2020-03-11,"Navarra","ESNC",654214,130,0,590,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"42",2020-03-12,"Navarra","ESNC",654214,182,0,772,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"43",2020-03-13,"Navarra","ESNC",654214,211,0,983,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"44",2020-03-14,"Navarra","ESNC",654214,177,1,1160,1,396.177525723176,56.2169435214051,2791.98088790394,396.177525723176,396.177525723176,396.177525723176,0.000605577877763509,8.59305113027314e-05,0.00426768746603396,0.000605577877763509,0.000605577877763509,0.000605577877763509
"45",2020-03-15,"Navarra","ESNC",654214,262,1,1422,2,754.401037610766,284.636833824893,1999.46337900287,358.223511887589,754.401037610766,754.401037610766,0.00115314107862376,0.000435082150221324,0.00305628338586896,0.000547563200860253,0.00115314107862376,0.00115314107862376
"46",2020-03-16,"Navarra","ESNC",654214,274,1,1696,3,1062.34962689413,554.831215520653,2034.10820839096,307.948589283361,1062.34962689413,1062.34962689413,0.00162385645506536,0.000848088263963554,0.00310923980286413,0.000470715376441594,0.00162385645506536,0.00162385645506536
"47",2020-03-17,"Navarra","ESNC",654214,267,1,1963,4,1306.19615833942,802.2982453404,2126.57626259269,243.846531445293,1306.19615833942,1306.19615833942,0.00199658851436903,0.00122635444264476,0.00325058201535383,0.000372732059303673,0.00199658851436903,0.00199658851436903
"48",2020-03-18,"Navarra","ESNC",654214,250,3,2213,7,2080.18760678685,1574.91014736005,2747.5729245145,773.991448447433,2080.18760678685,2080.18760678685,0.00317967455112066,0.00240733177119421,0.00419980759279761,0.00118308603675163,0.00317967455112066,0.00317967455112066
"49",2020-03-19,"Navarra","ESNC",654214,233,2,2446,9,2422.60522636802,1950.63498533179,3008.77208035278,342.417619581165,2422.60522636802,2422.60522636802,0.00370307762653813,0.00298164665588292,0.00459906403768916,0.000523403075417471,0.00370307762653813,0.00370307762653813
"50",2020-03-20,"Navarra","ESNC",654214,328,5,2774,14,3560.71901394886,3097.37201185986,4093.37975798517,1138.11378758084,3560.71901394886,3560.71901394886,0.00544274352726915,0.00473449362419615,0.00625694307670757,0.00173966590073102,0.00544274352726915,0.00544274352726915
"51",2020-03-21,"Navarra","ESNC",654214,206,4,2980,18,4158.64094964236,3730.36543387032,4636.08588880236,597.921935693503,4158.64094964236,4158.64094964236,0.00635669818995369,0.00570205687110078,0.00708649752038685,0.000913954662684539,0.00635669818995369,0.00635669818995369
"52",2020-03-22,"Navarra","ESNC",654214,194,9,3174,27,5692.59996087719,5293.50982990598,6121.7784335643,1533.95901123483,5692.59996087719,5692.59996087719,0.00870143402751576,0.00809140408170107,0.00935745556280406,0.00234473583756207,0.00870143402751576,0.00870143402751576
"53",2020-03-23,"Navarra","ESNC",654214,242,9,3416,36,7098.05002521755,6719.72960949056,7497.66986000951,1405.45006434035,7098.05002521755,7098.05002521755,0.0108497372804886,0.0102714549206996,0.0114605769060422,0.00214830325297281,0.0108497372804886,0.0108497372804886
"54",2020-03-24,"Navarra","ESNC",654214,278,10,3694,46,8634.65064865281,8270.20699290011,9015.154262558,1536.60062343526,8634.65064865281,8634.65064865281,0.0131985109591858,0.0126414399461034,0.0137801304505223,0.00234877367869728,0.0131985109591858,0.0131985109591858
"55",2020-03-25,"Navarra","ESNC",654214,242,12,3936,58,10321.3265122163,9971.71315577121,10683.1974915087,1686.67586356351,10321.3265122163,10321.3265122163,0.0157766824192333,0.0152422802871403,0.0163298209630315,0.00257817146004749,0.0157766824192333,0.0157766824192333
"56",2020-03-26,"Navarra","ESNC",654214,167,17,4103,75,12485.4401293489,12153.7501119048,12826.1823542728,2164.11361713255,12089.2626036257,12485.4401293489,0.0190846422261659,0.0185776368465133,0.0196054843740318,0.00330795980693252,0.0184790643484023,0.0190846422261659
"57",2020-03-27,"Navarra","ESNC",654214,161,12,4264,87,13619.2014396321,13303.8750007083,13942.0016982571,1133.76131028319,12864.8004020213,13619.2014396321,0.0208176551398045,0.0203356623378716,0.02131107206244,0.00173301291363864,0.0196645140611807,0.0208176551398045
"58",2020-03-28,"Navarra","ESNC",654214,140,22,4404,109,16082.4619575211,15780.3321318547,16390.376352916,2463.26051788899,15020.1123306269,16082.4619575211,0.0245828764861667,0.0241210553914387,0.0250535395954779,0.00376522134636219,0.0229590200311013,0.0245828764861667
"59",2020-03-29,"Navarra","ESNC",654214,96,13,4500,122,16923.4742295021,16636.1873966669,17215.7221584318,841.012271981082,15617.2780711627,16923.4742295021,0.0258684073246707,0.0254292745136407,0.0263151234281624,0.00128553083850404,0.0238718188103017,0.0258684073246707
"60",2020-03-30,"Navarra","ESNC",654214,245,15,4745,137,18584.4095625444,18299.9832836092,18873.2565180942,1660.93533304228,16504.2219557576,18584.4095625444,0.0284072330499568,0.0279724727437952,0.0288487505894007,0.00253882572528604,0.0252275584988361,0.0284072330499568
"61",2020-03-31,"Navarra","ESNC",654214,151,15,4896,152,19863.2607537874,19585.8921165324,20144.5573898528,1278.85119124301,17440.6555274194,19863.2607537874,0.0303620233651182,0.0299380510299877,0.0307919998499769,0.00195479031516142,0.0266589457385801,0.0303620233651182
