"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/01/06","AE",9770526,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/13","AE",9770526,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/20","AE",9770526,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/27","AE",9770526,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/03","AE",9770526,4,0,5,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/10","AE",9770526,2,0,7,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/17","AE",9770526,2,0,9,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/24","AE",9770526,4,0,13,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/02","AE",9770526,8,0,21,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/16","AE",9770526,77,0,98,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/23","AE",9770526,55,2,153,2,4468.66005502548,2477.37394552397,8060.52018245346,4468.66005502548,4468.66005502548,4468.66005502548,0.000457361257216395,0.000253555841878315,0.000824983238615143,0.000457361257216395,0.000457361257216395,0.000457361257216395
"2020/03/30","AE",9770526,417,1,570,3,11389.4901491224,7068.51209748414,18351.8800092492,6920.83009409688,11389.4901491224,11389.4901491224,0.0011656987708873,0.000723452565141748,0.00187828986988512,0.0007083375136709,0.0011656987708873,0.0011656987708873
"2020/04/06","AE",9770526,1213,7,1783,10,48782.9443690888,43158.348412331,55140.5637347714,37393.4542199664,48782.9443690888,48782.9443690888,0.00499286777079236,0.00441719805180714,0.0056435614351542,0.00382716899990506,0.00499286777079236,0.00499286777079236
"2020/04/13","AE",9770526,2199,12,3982,22,83909.2087239576,78613.5783361283,89561.56757776,35126.2643548688,83909.2087239576,83909.2087239576,0.00858799298256385,0.00804599244054295,0.00916650419616712,0.00359512521177149,0.00858799298256385,0.00858799298256385
"2020/04/20","AE",9770526,2961,19,6943,41,100288.23452139,96338.5525577474,104399.845299611,16379.0257974322,100288.23452139,100288.23452139,0.0102643639166806,0.00986011935874766,0.010685181667764,0.00167637093411677,0.0102643639166806,0.0102643639166806
"2020/04/27","AE",9770526,3406,35,10349,76,119426.73361202,116644.765393554,122275.051547444,19138.4990906302,119426.73361202,119426.73361202,0.0122231631758638,0.0119384325259003,0.0125146846287953,0.0019587992591832,0.0122231631758638,0.0122231631758638
"2020/05/04","AE",9770526,3814,50,14163,126,136752.316616256,134666.077494121,138870.875634802,17325.583004236,136752.316616256,136752.316616256,0.0139964129481111,0.0137828892215343,0.0142132445719711,0.00177324977224727,0.0139964129481111,0.0139964129481111
"2020/05/11","AE",9770526,4035,72,18198,198,158133.734705687,156466.162588227,159819.079335241,21381.4180894308,158133.734705687,158133.734705687,0.0161847719053904,0.0160140981752904,0.0163572646278451,0.00218835895727935,0.0161847719053904,0.0161847719053904
"2020/05/18","AE",9770526,5160,22,23358,220,142190.16284929,140768.27933719,143626.408636267,0,158133.734705687,158133.734705687,0.0145529690877737,0.0144074412510841,0.0146999668836936,0,0.0161847719053904,0.0161847719053904
"2020/05/25","AE",9770526,6127,25,29485,245,135135.681437973,133873.558998925,136409.70281407,0,158133.734705687,158133.734705687,0.0138309525442103,0.0137017760352846,0.0139613468931018,0,0.0161847719053904,0.0161847719053904
"2020/06/01","AE",9770526,5072,19,34557,264,121123.04243883,120043.272094523,122212.525147489,0,158133.734705687,158133.734705687,0.0123967780689423,0.0122862650480151,0.0125082851371041,0,0.0161847719053904,0.0161847719053904
"2020/06/08","AE",9770526,4251,12,38808,276,105015.56350497,104103.209664118,105935.913156264,0,158133.734705687,158133.734705687,0.0107481995856692,0.0106548214153586,0.0108423961162648,0,0.0161847719053904,0.0161847719053904
"2020/06/15","AE",9770526,3486,13,42294,289,91957.106653003,91181.7004746982,92739.1068599146,0,153665.074650661,158133.734705687,0.00941168435077118,0.00933232258679811,0.00949172100457177,0,0.015727410648174,0.0161847719053904
"2020/06/22","AE",9770526,2631,13,44925,302,81196.4857952058,80531.97291,81866.4819358026,0,146744.244556564,158133.734705687,0.00831034949348743,0.00824233750670127,0.00837892268397859,0,0.0150190731345031,0.0161847719053904
"2020/06/29","AE",9770526,2872,11,47797,313,73578.0122525822,72990.3897970324,74170.3654699656,0,109350.790336598,158133.734705687,0.00753060912509544,0.00747046676883439,0.00759123566837298,0,0.0111919041345981,0.0161847719053904
"2020/07/06","AE",9770526,3743,10,51540,323,69185.3869249674,68644.7376754848,69730.2943538948,0,74224.5259817292,158133.734705687,0.00708102991844732,0.00702569520571204,0.00713680045003665,0,0.00759677892282659,0.0161847719053904
"2020/07/13","AE",9770526,3314,10,54854,333,65562.27285984,65060.7939850601,66067.6170588257,0,57845.500184297,158133.734705687,0.00671020913918452,0.00665888346083518,0.00676193042819043,0,0.00592040798870982,0.0161847719053904
"2020/07/20","AE",9770526,2068,6,56922,339,60813.8193283719,60354.2334665936,61276.9048479573,0,38707.0010936668,158133.734705687,0.00622421140155319,0.00617717341590346,0.00627160757240268,0,0.00396160872952662,0.0161847719053904
"2020/07/27","AE",9770526,1991,5,58913,344,56873.6951770343,56448.1023955798,57302.4967327069,0,21381.4180894308,153665.074650661,0.00582094507266388,0.00577738623238706,0.00586483232660216,0,0.00218835895727935,0.015727410648174
"2020/08/03","AE",9770526,2086,7,60999,351,54198.7514499622,53798.8882443134,54601.5866609525,0,0,146744.244556564,0.00554716823331335,0.00550624278000114,0.00558839786731569,0,0,0.0150190731345031
"2020/08/10","AE",9770526,1526,6,62525,357,51549.9100951709,51174.0845616731,51928.4957138337,0,0,109350.790336598,0.00527606293613782,0.00523759770576048,0.00531481065746447,0,0,0.0111919041345981
"2020/08/17","AE",9770526,1787,7,64312,364,49811.5747910443,49453.4007716454,50172.3429420131,0,0,74224.5259817292,0.00509814669046931,0.00506148806846687,0.0051350708182971,0,0,0.00759677892282659
"2020/08/24","AE",9770526,2695,11,67007,375,49688.9077319979,49339.2075377932,50041.086487005,0,0,57845.500184297,0.00508559188440805,0.00504980054684806,0.00512163689928311,0,0,0.00592040798870982
