"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"1179","2020/03/27",2,0,2,0,2,2,0,NA,NA,NA,0.000134480903711673,0.000134480903711673,0,14872
"1178","2020/03/28",0,0,2,0,0,2,0,0,NA,NA,0,0.000134480903711673,0,14872
"1177","2020/03/29",0,0,2,0,0,2,0,0,NA,NA,0,0.000134480903711673,0,14872
"1176","2020/03/30",0,0,2,0,0,2,0,0,NA,NA,0,0.000134480903711673,0,14872
"1175","2020/03/31",0,0,2,0,0,2,0,0,NA,NA,0,0.000134480903711673,0,14872
"1174","2020/04/01",0,0,2,0,0,2,0,0,0,NA,0,0.000134480903711673,0,14872
"1173","2020/04/02",0,0,2,0,0,2,0,0,0,NA,0,0.000134480903711673,0,14872
"1172","2020/04/03",1,0,3,0,1,3,0,0,0,NA,6.72404518558365e-05,0.000201721355567509,0,14872
"1171","2020/04/04",0,0,3,0,0,3,0,0,0,NA,0,0.000201721355567509,0,14872
"1170","2020/04/05",0,0,3,0,0,3,0,0,0,NA,0,0.000201721355567509,0,14872
"1169","2020/04/06",0,0,3,0,0,3,0,0,0,NA,0,0.000201721355567509,0,14872
"1168","2020/04/07",0,0,3,0,0,3,0,0,0,NA,0,0.000201721355567509,0,14872
"1167","2020/04/08",0,0,3,0,0,1,0,0,0,NA,0,6.72404518558365e-05,0,14872
"1166","2020/04/09",0,0,3,0,0,1,0,0,0,NA,0,6.72404518558365e-05,0,14872
"1165","2020/04/10",0,0,3,0,0,1,0,0,0,NA,0,6.72404518558365e-05,0,14872
"1164","2020/04/11",0,0,3,0,0,1,0,0,0,NA,0,6.72404518558365e-05,0,14872
"1163","2020/04/12",0,0,3,0,0,1,0,0,0,NA,0,6.72404518558365e-05,0,14872
"1162","2020/04/13",0,0,3,0,0,1,0,0,0,NA,0,6.72404518558365e-05,0,14872
"1161","2020/04/14",0,0,3,0,0,1,0,0,0,NA,0,6.72404518558365e-05,0,14872
"1160","2020/04/15",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1159","2020/04/16",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1158","2020/04/17",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1157","2020/04/18",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1156","2020/04/19",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1155","2020/04/20",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1154","2020/04/21",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1153","2020/04/22",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1152","2020/04/23",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1151","2020/04/24",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1150","2020/04/25",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1149","2020/04/26",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1148","2020/04/27",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1147","2020/04/28",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1146","2020/04/29",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1145","2020/04/30",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1144","2020/05/01",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1143","2020/05/02",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1142","2020/05/03",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1141","2020/05/04",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1140","2020/05/05",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1139","2020/05/06",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1138","2020/05/07",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1137","2020/05/08",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1136","2020/05/09",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1135","2020/05/10",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1134","2020/05/11",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1133","2020/05/12",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1132","2020/05/13",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1131","2020/05/14",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1130","2020/05/15",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1129","2020/05/16",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1128","2020/05/17",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1127","2020/05/18",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1126","2020/05/19",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1125","2020/05/20",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1124","2020/05/21",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1123","2020/05/22",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1122","2020/05/23",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1121","2020/05/24",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1120","2020/05/25",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1119","2020/05/26",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1118","2020/05/27",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1117","2020/05/28",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1116","2020/05/29",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1115","2020/05/30",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1114","2020/05/31",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1113","2020/06/01",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1112","2020/06/02",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1111","2020/06/03",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1110","2020/06/04",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1109","2020/06/05",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1108","2020/06/06",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1107","2020/06/07",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1106","2020/06/08",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1105","2020/06/09",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1104","2020/06/10",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1103","2020/06/11",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1102","2020/06/12",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1101","2020/06/13",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1100","2020/06/14",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1099","2020/06/15",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1098","2020/06/16",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1097","2020/06/17",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1096","2020/06/18",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1095","2020/06/19",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1094","2020/06/20",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1093","2020/06/21",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1092","2020/06/22",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1091","2020/06/23",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1090","2020/06/24",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1089","2020/06/25",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1088","2020/06/26",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1087","2020/06/27",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1086","2020/06/28",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1085","2020/06/29",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1084","2020/06/30",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1083","2020/07/01",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1082","2020/07/02",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1081","2020/07/03",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1080","2020/07/04",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1079","2020/07/05",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1078","2020/07/06",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1077","2020/07/07",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1076","2020/07/08",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1075","2020/07/09",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1074","2020/07/10",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1073","2020/07/11",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1072","2020/07/12",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1071","2020/07/13",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1070","2020/07/14",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1069","2020/07/15",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1068","2020/07/16",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1067","2020/07/17",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1066","2020/07/18",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1065","2020/07/19",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1064","2020/07/20",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1063","2020/07/21",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1062","2020/07/22",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1061","2020/07/23",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1060","2020/07/24",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1059","2020/07/25",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1058","2020/07/26",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1057","2020/07/27",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1056","2020/07/28",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1055","2020/07/29",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1054","2020/07/30",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1053","2020/07/31",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1052","2020/08/01",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1051","2020/08/02",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1050","2020/08/03",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1049","2020/08/04",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1048","2020/08/05",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1047","2020/08/06",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1046","2020/08/07",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
"1045","2020/08/08",0,0,3,0,0,0,0,0,0,NA,0,0,0,14872
