"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"4666","2020/03/20",2,0,2,0,2,2,0,NA,NA,NA,3.19959045242209e-05,3.19959045242209e-05,0,62508
"4665","2020/03/21",0,0,2,0,0,2,0,0,NA,NA,0,3.19959045242209e-05,0,62508
"4664","2020/03/22",0,0,2,0,0,2,0,0,NA,NA,0,3.19959045242209e-05,0,62508
"4663","2020/03/23",4,0,6,0,4,6,0,0,NA,NA,6.39918090484418e-05,9.59877135726627e-05,0,62508
"4662","2020/03/24",0,0,6,0,0,6,0,0,NA,NA,0,9.59877135726627e-05,0,62508
"4661","2020/03/25",0,0,6,0,0,6,0,0,0,NA,0,9.59877135726627e-05,0,62508
"4660","2020/03/26",0,0,6,0,0,6,0,0,0,NA,0,9.59877135726627e-05,0,62508
"4659","2020/03/27",9,0,15,0,9,15,0,0,0,NA,0.000143981570358994,0.000239969283931657,0,62508
"4658","2020/03/28",2,0,17,0,2,17,0,0,0,NA,3.19959045242209e-05,0.000271965188455878,0,62508
"4657","2020/03/29",5,0,22,0,5,22,0,0,0,NA,7.99897613105522e-05,0.00035195494976643,0,62508
"4656","2020/03/30",0,0,22,0,0,22,0,0,0,NA,0,0.00035195494976643,0,62508
"4655","2020/03/31",5,0,27,0,5,27,0,0,0,NA,7.99897613105522e-05,0.000431944711076982,0,62508
"4654","2020/04/01",5,0,32,0,5,30,0,0,0,NA,7.99897613105522e-05,0.000479938567863314,0,62508
"4653","2020/04/02",0,0,32,0,0,30,0,0,0,NA,0,0.000479938567863314,0,62508
"4652","2020/04/03",3,0,35,0,3,33,0,0,0,NA,4.79938567863313e-05,0.000527932424649645,0,62508
"4651","2020/04/04",0,0,35,0,0,29,0,0,0,NA,0,0.000463940615601203,0,62508
"4650","2020/04/05",2,0,37,0,2,31,0,0,0,NA,3.19959045242209e-05,0.000495936520125424,0,62508
"4649","2020/04/06",0,0,37,0,0,31,0,0,0,NA,0,0.000495936520125424,0,62508
"4648","2020/04/07",2,2,39,2,15.8483261699174,46.8483261699174,13.8483261699174,0.00494404492726354,0.00206510939901633,0.0118364577946541,0.00200909837451277,0.000749477285626118,0.000221544860976474,62508
"4647","2020/04/08",0,0,39,2,0,37.8483261699174,13.8483261699174,0.00450550007332317,0.00186154985376973,0.0109046399534278,0,0.000605495715267124,0.000221544860976474,62508
"4646","2020/04/09",0,1,39,3,0,35.8483261699174,13.8483261699174,0.0062296046697009,0.00353665355693225,0.0109730777176891,0,0.000573499810742904,0.000221544860976474,62508
"4645","2020/04/10",9,1,48,4,111.648147022743,142.496473192661,116.496473192661,0.00952608920652234,0.00634306547295737,0.0143063911223215,0.0221577126725328,0.00227965177565529,0.00186370501684042,62508
"4644","2020/04/11",0,0,48,4,0,142.496473192661,116.496473192661,0.00891515166066713,0.00589593287232928,0.0134804671039777,0,0.00227965177565529,0.00186370501684042,62508
"4643","2020/04/12",2,0,50,4,21.6974964675773,159.193969660238,136.193969660238,0.00867788781739029,0.00570578891819682,0.0131981287865464,0.00376576880527716,0.00254677752704035,0.00217882462501181,62508
"4642","2020/04/13",7,0,57,4,71.0894419690486,225.283411629287,200.283411629287,0.0092607533486817,0.00605862037883011,0.0141552939815779,0.0115498559258032,0.00360407326469071,0.00320412445813795,62508
"4641","2020/04/14",0,0,57,4,0,225.283411629287,200.283411629287,0.00867214112737687,0.00566076792224608,0.0132854822466032,0,0.00360407326469071,0.00320412445813795,62508
"4640","2020/04/15",0,1,57,5,0,222.283411629287,200.283411629287,0.0101457861430984,0.00726132926822093,0.0141760513342907,0,0.00355607940790438,0.00320412445813795,62508
"4639","2020/04/16",24,0,81,5,250.848918126557,473.132329755844,427.132329755844,0.0135441079330186,0.00966066146360267,0.0189886438306937,0.0419447508887289,0.00756914842509509,0.006833242621038,62508
"4638","2020/04/17",2,0,83,5,19.5591880211408,490.691517776984,444.691517776984,0.0129856386842859,0.00923432490969516,0.0182608705766655,0.0030601029951873,0.00785005947681872,0.00711415367276164,62508
"4637","2020/04/18",0,0,83,5,0,490.691517776984,444.691517776984,0.0120020834661265,0.00850105916519648,0.0169449482386395,0,0.00785005947681872,0.00711415367276164,62508
"4636","2020/04/19",3,0,86,5,24.9969703720112,499.840161979078,452.840161979078,0.011463809709653,0.00809208961123747,0.0162404198881625,0.00333209897282059,0.00799641905002685,0.00724451529370766,62508
"4635","2020/04/20",0,0,86,5,0,499.840161979078,452.840161979078,0.0106115163016937,0.00746147032343856,0.0150914328329349,0,0.00799641905002685,0.00724451529370766,62508
"4634","2020/04/21",0,0,86,5,0,499.840161979078,452.840161979078,0.00988629264630876,0.00693415862252478,0.014095261964583,0,0.00799641905002685,0.00724451529370766,62508
"4633","2020/04/22",12,0,98,5,80.976367816768,469.168382773103,419.168382773103,0.0105795578779826,0.00739889333640274,0.0151275386472867,0.00874177724557458,0.00750573339049566,0.00670583577739014,62508
"4632","2020/04/23",1,0,99,5,6.36724910977685,475.53563188288,424.53563188288,0.0100844317826184,0.00703916319258896,0.0144471383310664,0.000648586760509921,0.00760759633779484,0.0067917007724272,62508
"4631","2020/04/24",0,0,99,5,0,453.838135415302,404.838135415302,0.00952562828589401,0.00663768364370374,0.0136700691252579,0,0.00726048082509923,0.00647658116425581,62508
"4630","2020/04/25",0,0,99,5,0,382.748693446254,340.748693446254,0.00902635793329048,0.00627695168986098,0.0129800485276127,0,0.00612319532613832,0.00545128133112968,62508
"4629","2020/04/26",0,0,99,5,0,382.748693446254,340.748693446254,0.00859586984802928,0.00596939794464173,0.0123779615849842,0,0.00612319532613832,0.00545128133112968,62508
"4628","2020/04/27",10,0,109,5,51.971045091901,434.719738538155,382.719738538155,0.00906259025247521,0.00628562629054798,0.0130664055239432,0.00432103015285148,0.00695462562453054,0.00612273210690079,62508
"4627","2020/04/28",1,1,110,6,5.99094853718034,189.861768948778,160.861768948778,0.0105427199572829,0.00779691954214223,0.0142554945574252,0.000574189933690779,0.0030373995160424,0.00257345890044119,62508
"4626","2020/04/29",0,0,110,6,0,170.302580927637,143.302580927637,0.010132996640594,0.00748596853625193,0.0137160102157868,0,0.00272449255979455,0.00229254784871756,62508
"4625","2020/04/30",1,0,111,6,5.54415237175136,175.846733299389,147.846733299389,0.00984515443246305,0.00726851090595317,0.013335202636851,0.000491739065738724,0.00281318764477169,0.0023652449814326,62508
"4624","2020/05/01",3,0,114,6,16.0600401741951,166.909803101573,138.909803101573,0.00976325472930526,0.00720134051912468,0.0132365831967196,0.00137542336125915,0.00267021506209721,0.00222227239875812,62508
"4623","2020/05/02",0,0,114,6,0,166.909803101573,138.909803101573,0.00945182368052202,0.00696560786831947,0.0128254378622135,0,0.00267021506209721,0.00222227239875812,62508
"4622","2020/05/03",0,1,114,7,0,166.909803101573,138.909803101573,0.0106993564887173,0.00825719385323517,0.0138638175762103,0,0.00267021506209721,0.00222227239875812,62508
"4621","2020/05/04",1,0,115,7,5.70729870672215,91.6407339915268,74.6407339915268,0.0105000856094108,0.00809718433939242,0.0136160661760638,0.000521105434948364,0.00146606408766121,0.00119409889920533,62508
"4620","2020/05/05",0,0,115,7,0,85.2734848817499,69.2734848817499,0.0102418698576408,0.00789423837898067,0.0132876527341951,0,0.00136420114036203,0.00110823390416826,62508
"4619","2020/05/06",0,0,115,7,0,85.2734848817499,69.2734848817499,0.01001381778466,0.0077148858743435,0.012997800389744,0,0.00136420114036203,0.00110823390416826,62508
"4618","2020/05/07",3,0,118,7,16.0023556243877,101.275840506138,82.2758405061377,0.0100695269068373,0.00775436422464475,0.013075910440893,0.00136556059773348,0.0016202060617223,0.0013162449687422,62508
"4617","2020/05/08",0,0,118,7,0,101.275840506138,82.2758405061377,0.00988493206786797,0.00760897351491675,0.0128416640950069,0,0.0016202060617223,0.0013162449687422,62508
"4616","2020/05/09",0,0,118,7,0,49.3047954142367,40.3047954142367,0.00971380648850212,0.00747419715238205,0.0126245046220106,0,0.000788775763330081,0.000644794192971087,62508
"4615","2020/05/10",0,0,118,7,0,43.3138468770563,35.3138468770563,0.00955754921020234,0.00735251066477414,0.0124238849925212,0,0.000692932854627509,0.000564949236530626,62508
"4614","2020/05/11",0,0,118,7,0,43.3138468770563,35.3138468770563,0.00941709429361891,0.0072416767319031,0.0122460126595025,0,0.000692932854627509,0.000564949236530626,62508
"4613","2020/05/12",1,1,119,8,5.62540589884261,43.3951004041476,35.3951004041476,0.0107094020279367,0.00852720535654607,0.0134500445339845,0.00050625826337002,0.000694232744675043,0.000566249126578159,62508
"4612","2020/05/13",2,0,121,8,11.1147686249512,38.4498288549037,31.4498288549037,0.0107577190409155,0.00856410993543981,0.013513198666959,0.000988178165884356,0.000615118526507066,0.000503132860672292,62508
"4611","2020/05/14",0,0,121,8,0,38.4498288549037,31.4498288549037,0.0106345842004911,0.00846307364934599,0.0133632750704083,0,0.000615118526507066,0.000503132860672292,62508
"4610","2020/05/15",1,1,122,9,6.11194705636565,44.5617759112693,36.5617759112693,0.0119289937428267,0.00975346270807821,0.0145897816986103,0.000597617854031752,0.00071289716374335,0.000584913545646466,62508
"4609","2020/05/16",1,0,123,9,6.04693791922661,44.9014151237738,36.9014151237738,0.0118988507721391,0.00972716705950919,0.0145553837855829,0.000584972454709487,0.000718330695651337,0.000590347077554453,62508
"4608","2020/05/17",0,0,123,9,0,44.9014151237738,36.9014151237738,0.011776455129572,0.00962550734792757,0.0144080608331448,0,0.000718330695651337,0.000590347077554453,62508
"4607","2020/05/18",0,0,123,9,0,44.9014151237738,36.9014151237738,0.011659900646704,0.0095286835491035,0.0142677928583115,0,0.000718330695651337,0.000590347077554453,62508
"4606","2020/05/19",2,0,125,9,11.740897366046,40.639956865432,33.639956865432,0.0117393947235213,0.00959210767046429,0.0143673729704882,0.00110264822870692,0.000650156089867409,0.000538170424032636,62508
"4605","2020/05/20",0,0,125,9,0,40.639956865432,33.639956865432,0.0116356605459026,0.00950584902689374,0.0142426621710944,0,0.000650156089867409,0.000538170424032636,62508
"4604","2020/05/21",0,0,125,9,0,40.639956865432,33.639956865432,0.0115352202807439,0.0094223341983015,0.0141219048406573,0,0.000650156089867409,0.000538170424032636,62508
"4603","2020/05/22",0,0,125,9,0,40.639956865432,33.639956865432,0.0114403796533017,0.0093434436465833,0.0140079280790162,0,0.000650156089867409,0.000538170424032636,62508
"4602","2020/05/23",3,0,128,9,17.0314871838278,57.6714440492598,47.6714440492598,0.0116253405405706,0.00949308322501407,0.0142365277413897,0.00154685030019032,0.000922625008787032,0.000762645486165927,62508
"4601","2020/05/24",5,0,133,9,28.1754236110213,80.2214617614385,66.2214617614385,0.0119899255783766,0.00978935961748003,0.0146851603161369,0.00254000926492768,0.00128337911565621,0.00105940778398667,62508
