"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/01/06","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/13","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/20","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/27","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/03","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/10","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/17","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/24","DO",10738957,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/02","DO",10738957,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/16","DO",10738957,10,0,11,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/23","DO",10738957,191,3,202,3,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/30","DO",10738957,657,36,859,39,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","DO",10738957,886,43,1745,82,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/13","DO",10738957,1222,91,2967,173,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/20","DO",10738957,1713,53,4680,226,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/27","DO",10738957,1455,52,6135,278,303354.973286144,302106.474683152,304608.63148978,303354.973286144,303354.973286144,303354.973286144,0.0282480852922815,0.0281318264597905,0.0283648245811749,0.0282480852922815,0.0282480852922815,0.0282480852922815
"2020/05/04","DO",10738957,1819,55,7954,333,266762.738716205,265419.149665417,268113.129203662,0,303354.973286144,303354.973286144,0.0248406561937258,0.0247155426421222,0.0249664030877172,0,0.0282480852922815,0.0282480852922815
"2020/05/11","DO",10738957,2393,55,10347,388,254326.226781208,253000.141286973,255659.262875269,0,303354.973286144,303354.973286144,0.0236825817238311,0.0235590980843831,0.0238067125955779,0,0.0282480852922815,0.0282480852922815
"2020/05/18","DO",10738957,1967,40,12314,428,225317.063369851,224123.220074062,226517.265943426,0,303354.973286144,303354.973286144,0.0209812799669326,0.0208701105772248,0.0210930415256739,0,0.0282480852922815,0.0282480852922815
"2020/05/25","DO",10738957,2108,30,14422,458,200836.713229488,199765.80972948,201913.357623336,0,303354.973286144,303354.973286144,0.0187016963779153,0.0186019750083253,0.018801952333298,0,0.0282480852922815,0.0282480852922815
"2020/06/01","DO",10738957,2863,44,17285,502,196366.150252825,195351.260006816,197386.313063809,0,303354.973286144,303354.973286144,0.0182854024141101,0.0181908969378326,0.0183803988659056,0,0.0282480852922815,0.0282480852922815
"2020/06/08","DO",10738957,2315,36,19600,538,183907.571706104,182979.185944871,184840.667839815,0,303354.973286144,303354.973286144,0.0171252731253234,0.017038822852617,0.0172121620227938,0,0.0282480852922815,0.0282480852922815
"2020/06/15","DO",10738957,3362,54,22962,592,187713.388520296,186809.511335754,188621.639111519,0,303354.973286144,303354.973286144,0.017479666649219,0.0173954985885271,0.0175642419567859,0,0.0282480852922815,0.0282480852922815
"2020/06/22","DO",10738957,3715,70,26677,662,197398.622040748,196502.913276436,198298.413666617,0,303354.973286144,303354.973286144,0.0183815450644553,0.0182981376381744,0.0184653326823654,0,0.0282480852922815,0.0282480852922815
"2020/06/29","DO",10738957,4696,64,31373,726,209335.788258399,208429.111753888,210246.408848633,0,303354.973286144,303354.973286144,0.0194931210040602,0.0194086922737364,0.0195779170033582,0,0.0282480852922815,0.0282480852922815
"2020/07/06","DO",10738957,6052,68,37425,794,227022.007600073,226081.509845815,227966.41781947,0,303354.973286144,303354.973286144,0.0211400425199648,0.0210524643916364,0.021227984972793,0,0.0282480852922815,0.0282480852922815
"2020/07/13","DO",10738957,7107,103,44532,897,255269.167348385,254275.124113793,256267.096617663,0,303354.973286144,303354.973286144,0.0237703873242425,0.0236778230990024,0.0238633134128075,0,0.0282480852922815,0.0282480852922815
"2020/07/20","DO",10738957,8323,84,52855,981,277942.454097629,276904.208786035,278984.592283701,0,0,303354.973286144,0.0258816991349932,0.025785018860401,0.0259787419098243,0,0,0.0282480852922815
"2020/07/27","DO",10738957,10053,82,62908,1063,301079.089143713,299993.686708482,302168.418656408,0,0,303354.973286144,0.0280361574353741,0.0279350859407,0.028137594615232,0,0,0.0282480852922815
"2020/08/03","DO",10738957,9335,115,72243,1178,322044.171675884,320934.720642708,323157.458011119,0,0,303354.973286144,0.0299884031266615,0.0298850922526934,0.0300920711397875,0,0,0.0282480852922815
"2020/08/10","DO",10738957,7489,131,79732,1309,332616.3568378,331520.326296975,333716.010936069,0,0,303354.973286144,0.0309728735144204,0.0308708123421088,0.0310752721084617,0,0,0.0282480852922815
"2020/08/17","DO",10738957,6577,144,86309,1453,338741.935035641,337671.388058613,339815.876054541,0,0,303354.973286144,0.0315432806962204,0.0314435925256626,0.0316432849162671,0,0,0.0282480852922815
"2020/08/24","DO",10738957,4852,114,91161,1567,330584.462491372,329568.58829476,331603.468055535,0,0,303354.973286144,0.030783665722041,0.0306890686213531,0.0308785544122707,0,0,0.0282480852922815
"2020/08/31","DO",10738957,3080,114,94241,1681,318333.020664904,317379.098701357,319289.80975838,0,0,0,0.0296428247794366,0.0295539966033347,0.0297319199395602,0,0,0
"2020/09/07","DO",10738957,5092,164,99333,1845,324552.525583964,323611.416635179,325496.371414107,0,0,0,0.0302219783153955,0.0301343432732973,0.03030986821291,0,0,0
