"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"46567","2020/04/26",6,0,6,0,6,6,0,NA,NA,NA,1.03011719299932e-05,1.03011719299932e-05,0,582458
"46566","2020/04/27",0,0,6,0,0,6,0,0,NA,NA,0,1.03011719299932e-05,0,582458
"46565","2020/04/28",0,0,6,0,0,6,0,0,NA,NA,0,1.03011719299932e-05,0,582458
"46564","2020/04/29",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46563","2020/04/30",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46562","2020/05/01",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46561","2020/05/02",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46560","2020/05/03",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46559","2020/05/04",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46558","2020/05/05",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46557","2020/05/06",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46556","2020/05/07",0,0,6,0,0,6,0,0,0,NA,0,1.03011719299932e-05,0,582458
"46555","2020/05/08",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46554","2020/05/09",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46553","2020/05/10",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46552","2020/05/11",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46551","2020/05/12",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46550","2020/05/13",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46549","2020/05/14",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46548","2020/05/15",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46547","2020/05/16",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46546","2020/05/17",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46545","2020/05/18",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46544","2020/05/19",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46543","2020/05/20",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46542","2020/05/21",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46541","2020/05/22",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46540","2020/05/23",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46539","2020/05/24",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46538","2020/05/25",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46537","2020/05/26",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46536","2020/05/27",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46535","2020/05/28",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46534","2020/05/29",0,0,6,0,0,0,0,0,0,NA,0,0,0,582458
"46533","2020/05/30",17,1,23,1,217.679120538337,217.679120538337,200.679120538337,0.00050562795160204,9.85514058163591e-05,0.00259417532731772,0.00478541947062317,0.000373725007705856,0.000344538353904208,582458
"46532","2020/05/31",0,0,23,1,0,217.679120538337,200.679120538337,0.000481312516606938,9.38121102647365e-05,0.00246942252965803,0,0.000373725007705856,0.000344538353904208,582458
"46531","2020/06/01",0,0,23,1,0,217.679120538337,200.679120538337,0.000422708509023261,7.86331482546284e-05,0.00227235571214905,0,0.000373725007705856,0.000344538353904208,582458
"46530","2020/06/02",0,0,23,1,0,217.679120538337,200.679120538337,0.000361395414805089,6.49152905252257e-05,0.00201195503841101,0,0.000373725007705856,0.000344538353904208,582458
"46529","2020/06/03",0,0,23,1,0,217.679120538337,200.679120538337,0.000311508273324015,5.44517060764633e-05,0.00178208198312547,0,0.000373725007705856,0.000344538353904208,582458
"46528","2020/06/04",0,0,23,1,0,217.679120538337,200.679120538337,0.000273788740714932,4.68273435510955e-05,0.00160077999001749,0,0.000373725007705856,0.000344538353904208,582458
"46527","2020/06/05",0,0,23,1,0,217.679120538337,200.679120538337,0.000245583634374176,4.06533563089281e-05,0.00148355085405786,0,0.000373725007705856,0.000344538353904208,582458
