"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/01/06","FI",5517919,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/13","FI",5517919,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/20","FI",5517919,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/27","FI",5517919,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/03","FI",5517919,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/10","FI",5517919,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/17","FI",5517919,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/24","FI",5517919,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/02","FI",5517919,5,0,6,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/09","FI",5517919,24,0,30,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/16","FI",5517919,237,0,267,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/23","FI",5517919,359,1,626,1,7280.18591711556,1418.97328749913,37351.7299125338,7280.18591711556,7280.18591711556,7280.18591711556,0.00131937165389988,0.000257157324618055,0.00676916966568988,0.00131937165389988,0.00131937165389988,0.00131937165389988
"2020/03/30","FI",5517919,592,10,1218,11,38821.8637912849,35068.8150704136,42976.5620880814,31541.6778741693,38821.8637912849,38821.8637912849,0.00703559870873148,0.00635544216405018,0.0077885452990668,0.0057162270548316,0.00703559870873148,0.00703559870873148
"2020/04/06","FI",5517919,709,16,1927,27,54589.7762402765,52131.5498014835,57163.9186118855,15767.9124489916,54589.7762402765,54589.7762402765,0.00989318187531867,0.00944768304889643,0.0103596878844879,0.00285758316658719,0.00989318187531867,0.00989318187531867
"2020/04/13","FI",5517919,1047,29,2974,56,79686.3752912562,77803.7211879892,81614.5848823383,25096.5990509797,79686.3752912562,79686.3752912562,0.0144413818490732,0.0141001926972812,0.0147908269190502,0.00454819997375454,0.0144413818490732,0.0144413818490732
"2020/04/20","FI",5517919,809,38,3783,94,89993.8555728311,88575.3840060031,91435.0429495703,10307.4802815749,89993.8555728311,89993.8555728311,0.0163093832245147,0.0160523168256009,0.0165705663583627,0.00186800137544152,0.0163093832245147,0.0163093832245147
"2020/04/27","FI",5517919,793,96,4576,190,130243.282077211,129185.377277054,131309.850106828,40249.4265043799,130243.282077211,130243.282077211,0.0236036959000687,0.0234119742020594,0.0237969876155899,0.00729431267555394,0.0236036959000687,0.0236036959000687
"2020/05/04","FI",5517919,678,40,5254,230,118113.264125547,117199.530500053,119034.121577689,0,130243.282077211,130243.282077211,0.0214054001382672,0.0212398062566799,0.021572285054871,0,0.0236036959000687,0.0236036959000687
