"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"13245","2020/04/04",1,0,1,0,1,1,0,NA,NA,NA,0.00029655990510083,0.00029655990510083,0,3372
"13244","2020/04/05",0,0,1,0,0,1,0,0,NA,NA,0,0.00029655990510083,0,3372
"13243","2020/04/06",1,0,2,0,1,2,0,0,NA,NA,0.00029655990510083,0.000593119810201661,0,3372
"13242","2020/04/07",0,0,2,0,0,2,0,0,NA,NA,0,0.000593119810201661,0,3372
"13241","2020/04/08",3,0,5,0,3,5,0,0,NA,NA,0.000889679715302491,0.00148279952550415,0,3372
"13240","2020/04/09",0,0,5,0,0,5,0,0,NA,NA,0,0.00148279952550415,0,3372
"13239","2020/04/10",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"13238","2020/04/11",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"13237","2020/04/12",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"13236","2020/04/13",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"13235","2020/04/14",0,0,5,0,0,5,0,0,0,NA,0,0.00148279952550415,0,3372
"13234","2020/04/15",6,0,11,0,6,11,0,0,0,NA,0.00177935943060498,0.00326215895610913,0,3372
"13233","2020/04/16",0,0,11,0,0,10,0,0,0,NA,0,0.0029655990510083,0,3372
"13232","2020/04/17",0,0,11,0,0,10,0,0,0,NA,0,0.0029655990510083,0,3372
"13231","2020/04/18",0,0,11,0,0,9,0,0,0,NA,0,0.00266903914590747,0,3372
"13230","2020/04/19",0,0,11,0,0,9,0,0,0,NA,0,0.00266903914590747,0,3372
"13229","2020/04/20",0,0,11,0,0,6,0,0,0,NA,0,0.00177935943060498,0,3372
"13228","2020/04/21",0,0,11,0,0,6,0,0,0,NA,0,0.00177935943060498,0,3372
"13227","2020/04/22",1,0,12,0,1,7,0,0,0,NA,0.00029655990510083,0.00207591933570581,0,3372
"13226","2020/04/23",0,0,12,0,0,7,0,0,0,NA,0,0.00207591933570581,0,3372
"13225","2020/04/24",0,0,12,0,0,7,0,0,0,NA,0,0.00207591933570581,0,3372
"13224","2020/04/25",0,0,12,0,0,7,0,0,0,NA,0,0.00207591933570581,0,3372
"13223","2020/04/26",1,0,13,0,1,8,0,0,0,NA,0.00029655990510083,0.00237247924080664,0,3372
"13222","2020/04/27",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"13221","2020/04/28",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"13220","2020/04/29",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"13219","2020/04/30",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"13218","2020/05/01",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"13217","2020/05/02",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"13216","2020/05/03",0,0,13,0,0,2,0,0,0,NA,0,0.000593119810201661,0,3372
"13215","2020/05/04",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"13214","2020/05/05",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"13213","2020/05/06",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"13212","2020/05/07",0,0,13,0,0,1,0,0,0,NA,0,0.00029655990510083,0,3372
"13211","2020/05/08",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13210","2020/05/09",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13209","2020/05/10",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13208","2020/05/11",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13207","2020/05/12",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13206","2020/05/13",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13205","2020/05/14",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13204","2020/05/15",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13203","2020/05/16",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13202","2020/05/17",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13201","2020/05/18",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13200","2020/05/19",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13199","2020/05/20",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13198","2020/05/21",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13197","2020/05/22",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13196","2020/05/23",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13195","2020/05/24",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13194","2020/05/25",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13193","2020/05/26",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13192","2020/05/27",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13191","2020/05/28",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13190","2020/05/29",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13189","2020/05/30",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13188","2020/05/31",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13187","2020/06/01",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13186","2020/06/02",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13185","2020/06/03",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13184","2020/06/04",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13183","2020/06/05",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13182","2020/06/06",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13181","2020/06/07",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13180","2020/06/08",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13179","2020/06/09",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13178","2020/06/10",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13177","2020/06/11",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13176","2020/06/12",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13175","2020/06/13",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13174","2020/06/14",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13173","2020/06/15",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13172","2020/06/16",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13171","2020/06/17",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13170","2020/06/18",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13169","2020/06/19",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13168","2020/06/20",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13167","2020/06/21",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13166","2020/06/22",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13165","2020/06/23",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13164","2020/06/24",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13163","2020/06/25",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13162","2020/06/26",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13161","2020/06/27",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13160","2020/06/28",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13159","2020/06/29",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
"13158","2020/06/30",0,0,13,0,0,0,0,0,0,NA,0,0,0,3372
