"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"17340","2020/03/20",2,0,2,0,2,2,0,NA,NA,NA,3.52982703847511e-05,3.52982703847511e-05,0,56660
"17339","2020/03/21",0,0,2,0,0,2,0,0,NA,NA,0,3.52982703847511e-05,0,56660
"17338","2020/03/22",0,0,2,0,0,2,0,0,NA,NA,0,3.52982703847511e-05,0,56660
"17337","2020/03/23",0,0,2,0,0,2,0,0,NA,NA,0,3.52982703847511e-05,0,56660
"17336","2020/03/24",2,0,4,0,2,4,0,0,NA,NA,3.52982703847511e-05,7.05965407695023e-05,0,56660
"17335","2020/03/25",0,0,4,0,0,4,0,0,0,NA,0,7.05965407695023e-05,0,56660
"17334","2020/03/26",1,0,5,0,1,5,0,0,0,NA,1.76491351923756e-05,8.82456759618779e-05,0,56660
"17333","2020/03/27",1,0,6,0,1,6,0,0,0,NA,1.76491351923756e-05,0.000105894811154253,0,56660
"17332","2020/03/28",3,0,9,0,3,9,0,0,0,NA,5.29474055771267e-05,0.00015884221673138,0,56660
"17331","2020/03/29",1,0,10,0,1,10,0,0,0,NA,1.76491351923756e-05,0.000176491351923756,0,56660
"17330","2020/03/30",0,0,10,0,0,10,0,0,0,NA,0,0.000176491351923756,0,56660
"17329","2020/03/31",0,0,10,0,0,10,0,0,0,NA,0,0.000176491351923756,0,56660
"17328","2020/04/01",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"17327","2020/04/02",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"17326","2020/04/03",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"17325","2020/04/04",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"17324","2020/04/05",0,0,10,0,0,6,0,0,0,NA,0,0.000105894811154253,0,56660
"17323","2020/04/06",1,0,11,0,1,7,0,0,0,NA,1.76491351923756e-05,0.000123543946346629,0,56660
"17322","2020/04/07",0,0,11,0,0,6,0,0,0,NA,0,0.000105894811154253,0,56660
"17321","2020/04/08",0,0,11,0,0,5,0,0,0,NA,0,8.82456759618779e-05,0,56660
"17320","2020/04/09",0,0,11,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17319","2020/04/10",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17318","2020/04/11",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17317","2020/04/12",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17316","2020/04/13",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17315","2020/04/14",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17314","2020/04/15",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17313","2020/04/16",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17312","2020/04/17",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17311","2020/04/18",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17310","2020/04/19",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17309","2020/04/20",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17308","2020/04/21",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17307","2020/04/22",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17306","2020/04/23",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17305","2020/04/24",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17304","2020/04/25",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17303","2020/04/26",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17302","2020/04/27",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17301","2020/04/28",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17300","2020/04/29",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17299","2020/04/30",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17298","2020/05/01",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17297","2020/05/02",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17296","2020/05/03",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17295","2020/05/04",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17294","2020/05/05",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17293","2020/05/06",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17292","2020/05/07",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17291","2020/05/08",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17290","2020/05/09",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17289","2020/05/10",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17288","2020/05/11",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17287","2020/05/12",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17286","2020/05/13",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17285","2020/05/14",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17284","2020/05/15",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17283","2020/05/16",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17282","2020/05/17",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17281","2020/05/18",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17280","2020/05/19",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17279","2020/05/20",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17278","2020/05/21",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17277","2020/05/22",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17276","2020/05/23",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17275","2020/05/24",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17274","2020/05/25",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"17273","2020/05/26",1,0,12,0,1,1,0,0,0,NA,1.76491351923756e-05,1.76491351923756e-05,0,56660
"17272","2020/05/27",0,0,12,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17271","2020/05/28",0,0,12,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17270","2020/05/29",1,0,13,0,1,2,0,0,0,NA,1.76491351923756e-05,3.52982703847511e-05,0,56660
"17269","2020/05/30",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17268","2020/05/31",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17267","2020/06/01",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17266","2020/06/02",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17265","2020/06/03",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17264","2020/06/04",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17263","2020/06/05",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17262","2020/06/06",0,0,13,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"17261","2020/06/07",0,0,13,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17260","2020/06/08",0,0,13,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17259","2020/06/09",0,0,13,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"17258","2020/06/10",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17257","2020/06/11",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17256","2020/06/12",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17255","2020/06/13",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17254","2020/06/14",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17253","2020/06/15",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17252","2020/06/16",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17251","2020/06/17",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17250","2020/06/18",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17249","2020/06/19",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17248","2020/06/20",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17247","2020/06/21",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17246","2020/06/22",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17245","2020/06/23",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17244","2020/06/24",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17243","2020/06/25",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17242","2020/06/26",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17241","2020/06/27",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17240","2020/06/28",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17239","2020/06/29",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17238","2020/06/30",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17237","2020/07/01",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17236","2020/07/02",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17235","2020/07/03",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17234","2020/07/04",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17233","2020/07/05",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17232","2020/07/06",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17231","2020/07/07",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17230","2020/07/08",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17229","2020/07/09",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17228","2020/07/10",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17227","2020/07/11",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17226","2020/07/12",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17225","2020/07/13",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17224","2020/07/14",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17223","2020/07/15",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17222","2020/07/16",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17221","2020/07/17",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17220","2020/07/18",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17219","2020/07/19",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17218","2020/07/20",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17217","2020/07/21",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17216","2020/07/22",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17215","2020/07/23",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17214","2020/07/24",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17213","2020/07/25",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
"17212","2020/07/26",0,0,13,0,0,0,0,0,0,NA,0,0,0,56660
