"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/05/04","KM",850891,3,0,3,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/05/11","KM",850891,8,1,11,1,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/18","KM",850891,0,0,11,1,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/25","KM",850891,76,0,87,1,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/06/01","KM",850891,19,1,106,2,5451.48625706889,3924.86564100939,7571.90312465524,5451.48625706889,5451.48625706889,5451.48625706889,0.00640679741244048,0.00461265384286517,0.00889879329391807,0.00640679741244048,0.00640679741244048,0.00640679741244048
"2020/06/08","KM",850891,35,0,141,2,2720.22171551022,1301.89890722315,5683.70258280355,0,5451.48625706889,5451.48625706889,0.00319690972816755,0.00153004192925199,0.00667970701629651,0,0.00640679741244048,0.00640679741244048
"2020/06/15","KM",850891,35,0,176,2,1723.83323112819,735.891644714878,4038.09586653644,0,5451.48625706889,5451.48625706889,0.00202591545935753,0.000864848311610862,0.00474572638156525,0,0.00640679741244048,0.00640679741244048
"2020/06/22","KM",850891,71,3,247,5,3638.7681066511,2654.23293250068,4988.49711788731,0,5451.48625706889,5451.48625706889,0.00427642095950139,0.00311935715914339,0.00586267467617745,0,0.00640679741244048,0.00640679741244048
"2020/06/29","KM",850891,25,2,272,7,3694.71503864847,2938.75760913061,4645.13275079315,0,5451.48625706889,5451.48625706889,0.00434217195698211,0.00345374155929562,0.0054591395969556,0,0.00640679741244048,0.00640679741244048
"2020/07/06","KM",850891,39,0,311,7,2959.62896378618,2316.72731335176,3780.93854757954,0,5451.48625706889,5451.48625706889,0.00347827038220662,0.0027227075070153,0.00444350515821596,0,0.00640679741244048,0.00640679741244048
"2020/07/13","KM",850891,6,0,317,7,2242.00351516987,1737.94367999552,2892.256993073,0,5451.48625706889,5451.48625706889,0.00263488921045101,0.00204249860439882,0.00339909223751691,0,0.00640679741244048,0.00640679741244048
"2020/07/20","KM",850891,17,0,334,7,1847.39657831342,1423.60480137303,2397.34659104303,0,5451.48625706889,5451.48625706889,0.00217113188212523,0.00167307540140045,0.00281745439902764,0,0.00640679741244048,0.00640679741244048
"2020/07/27","KM",850891,6,0,340,7,1538.01125471872,1180.69198590455,2003.46800679705,0,5451.48625706889,5451.48625706889,0.00180753028850783,0.00138759486926592,0.00235455305884896,0,0.00640679741244048,0.00640679741244048
"2020/08/03","KM",850891,46,0,386,7,1479.50968027227,1132.77426666929,1932.37872577699,0,5451.48625706889,5451.48625706889,0.00173877697645441,0.00133128011304537,0.00227100618736946,0,0.00640679741244048,0.00640679741244048
"2020/08/10","KM",850891,13,0,399,7,1328.14038932044,1014.89484248916,1738.06863518777,0,5451.48625706889,5451.48625706889,0.00156088193355017,0.00119274365634278,0.00204264545657172,0,0.00640679741244048,0.00640679741244048
"2020/08/17","KM",850891,6,0,405,7,1189.21634835928,907.315123447515,1558.70379172268,0,5451.48625706889,5451.48625706889,0.00139761302958813,0.00106631181132191,0.00183184895800129,0,0.00640679741244048,0.00640679741244048
