"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"24156","2020/03/25",2,0,2,0,2,2,0,NA,NA,NA,2.78961193150498e-07,2.78961193150498e-07,0,7169456
"24155","2020/03/26",0,0,2,0,0,2,0,0,NA,NA,0,2.78961193150498e-07,0,7169456
"24154","2020/03/27",4,0,6,0,4,6,0,0,NA,NA,5.57922386300997e-07,8.36883579451495e-07,0,7169456
"24153","2020/03/28",0,0,6,0,0,6,0,0,NA,NA,0,8.36883579451495e-07,0,7169456
"24152","2020/03/29",0,0,6,0,0,6,0,0,0,NA,0,8.36883579451495e-07,0,7169456
"24151","2020/03/30",0,0,6,0,0,6,0,0,0,NA,0,8.36883579451495e-07,0,7169456
"24150","2020/03/31",3,0,9,0,3,9,0,0,0,NA,4.18441789725748e-07,1.25532536917724e-06,0,7169456
"24149","2020/04/01",0,0,9,0,0,9,0,0,0,NA,0,1.25532536917724e-06,0,7169456
"24148","2020/04/02",1,0,10,0,1,10,0,0,0,NA,1.39480596575249e-07,1.39480596575249e-06,0,7169456
"24147","2020/04/03",0,0,10,0,0,10,0,0,0,NA,0,1.39480596575249e-06,0,7169456
"24146","2020/04/04",0,0,10,0,0,10,0,0,0,NA,0,1.39480596575249e-06,0,7169456
"24145","2020/04/05",0,0,10,0,0,10,0,0,0,NA,0,1.39480596575249e-06,0,7169456
"24144","2020/04/06",1,0,11,0,1,9,0,0,0,NA,1.39480596575249e-07,1.25532536917724e-06,0,7169456
"24143","2020/04/07",1,0,12,0,1,10,0,0,0,NA,1.39480596575249e-07,1.39480596575249e-06,0,7169456
"24142","2020/04/08",0,0,12,0,0,6,0,0,0,NA,0,8.36883579451495e-07,0,7169456
"24141","2020/04/09",3,0,15,0,3,9,0,0,0,NA,4.18441789725748e-07,1.25532536917724e-06,0,7169456
"24140","2020/04/10",1,0,16,0,1,10,0,0,0,NA,1.39480596575249e-07,1.39480596575249e-06,0,7169456
"24139","2020/04/11",0,0,16,0,0,10,0,0,0,NA,0,1.39480596575249e-06,0,7169456
"24138","2020/04/12",2,0,18,0,2,9,0,0,0,NA,2.78961193150498e-07,1.25532536917724e-06,0,7169456
"24137","2020/04/13",1,0,19,0,1,10,0,0,0,NA,1.39480596575249e-07,1.39480596575249e-06,0,7169456
"24136","2020/04/14",0,0,19,0,0,9,0,0,0,NA,0,1.25532536917724e-06,0,7169456
"24135","2020/04/15",0,0,19,0,0,9,0,0,0,NA,0,1.25532536917724e-06,0,7169456
"24134","2020/04/16",0,0,19,0,0,9,0,0,0,NA,0,1.25532536917724e-06,0,7169456
"24133","2020/04/17",0,0,19,0,0,9,0,0,0,NA,0,1.25532536917724e-06,0,7169456
"24132","2020/04/18",0,0,19,0,0,8,0,0,0,NA,0,1.11584477260199e-06,0,7169456
"24131","2020/04/19",0,0,19,0,0,7,0,0,0,NA,0,9.76364176026745e-07,0,7169456
"24130","2020/04/20",0,0,19,0,0,7,0,0,0,NA,0,9.76364176026745e-07,0,7169456
"24129","2020/04/21",0,0,19,0,0,4,0,0,0,NA,0,5.57922386300997e-07,0,7169456
"24128","2020/04/22",0,0,19,0,0,3,0,0,0,NA,0,4.18441789725748e-07,0,7169456
"24127","2020/04/23",0,0,19,0,0,3,0,0,0,NA,0,4.18441789725748e-07,0,7169456
"24126","2020/04/24",0,0,19,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24125","2020/04/25",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24124","2020/04/26",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24123","2020/04/27",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24122","2020/04/28",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24121","2020/04/29",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24120","2020/04/30",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24119","2020/05/01",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24118","2020/05/02",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24117","2020/05/03",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24116","2020/05/04",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24115","2020/05/05",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24114","2020/05/06",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24113","2020/05/07",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24112","2020/05/08",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24111","2020/05/09",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24110","2020/05/10",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24109","2020/05/11",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24108","2020/05/12",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24107","2020/05/13",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24106","2020/05/14",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24105","2020/05/15",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24104","2020/05/16",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24103","2020/05/17",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24102","2020/05/18",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24101","2020/05/19",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24100","2020/05/20",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24099","2020/05/21",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24098","2020/05/22",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24097","2020/05/23",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24096","2020/05/24",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24095","2020/05/25",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24094","2020/05/26",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24093","2020/05/27",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24092","2020/05/28",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24091","2020/05/29",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24090","2020/05/30",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24089","2020/05/31",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24088","2020/06/01",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24087","2020/06/02",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24086","2020/06/03",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24085","2020/06/04",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24084","2020/06/05",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24083","2020/06/06",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24082","2020/06/07",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24081","2020/06/08",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24080","2020/06/09",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24079","2020/06/10",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24078","2020/06/11",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24077","2020/06/12",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24076","2020/06/13",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24075","2020/06/14",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24074","2020/06/15",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24073","2020/06/16",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24072","2020/06/17",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24071","2020/06/18",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24070","2020/06/19",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24069","2020/06/20",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24068","2020/06/21",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24067","2020/06/22",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24066","2020/06/23",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24065","2020/06/24",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24064","2020/06/25",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24063","2020/06/26",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24062","2020/06/27",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24061","2020/06/28",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24060","2020/06/29",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24059","2020/06/30",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24058","2020/07/01",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24057","2020/07/02",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24056","2020/07/03",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24055","2020/07/04",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24054","2020/07/05",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24053","2020/07/06",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24052","2020/07/07",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24051","2020/07/08",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24050","2020/07/09",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24049","2020/07/10",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24048","2020/07/11",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24047","2020/07/12",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24046","2020/07/13",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24045","2020/07/14",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24044","2020/07/15",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24043","2020/07/16",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24042","2020/07/17",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24041","2020/07/18",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24040","2020/07/19",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24039","2020/07/20",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24038","2020/07/21",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24037","2020/07/22",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24036","2020/07/23",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24035","2020/07/24",0,0,19,0,0,0,0,0,0,NA,0,0,0,7169456
"24034","2020/07/25",1,0,20,0,1,1,0,0,0,NA,1.39480596575249e-07,1.39480596575249e-07,0,7169456
"24033","2020/07/26",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24032","2020/07/27",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24031","2020/07/28",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24030","2020/07/29",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24029","2020/07/30",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24028","2020/07/31",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24027","2020/08/01",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24026","2020/08/02",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24025","2020/08/03",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24024","2020/08/04",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24023","2020/08/05",0,0,20,0,0,1,0,0,0,NA,0,1.39480596575249e-07,0,7169456
"24022","2020/08/06",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24021","2020/08/07",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24020","2020/08/08",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24019","2020/08/09",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24018","2020/08/10",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24017","2020/08/11",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24016","2020/08/12",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24015","2020/08/13",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24014","2020/08/14",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24013","2020/08/15",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24012","2020/08/16",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24011","2020/08/17",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24010","2020/08/18",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24009","2020/08/19",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24008","2020/08/20",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24007","2020/08/21",0,0,20,0,0,0,0,0,0,NA,0,0,0,7169456
"24006","2020/08/22",2,0,22,0,2,2,0,0,0,NA,2.78961193150498e-07,2.78961193150498e-07,0,7169456
"24005","2020/08/23",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"24004","2020/08/24",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"24003","2020/08/25",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"24002","2020/08/26",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"24001","2020/08/27",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"24000","2020/08/28",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"23999","2020/08/29",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"23998","2020/08/30",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"23997","2020/08/31",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
"23996","2020/09/01",0,0,22,0,0,2,0,0,0,NA,0,2.78961193150498e-07,0,7169456
