"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/01/06","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/13","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/20","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/27","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/03","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/10","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/17","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/24","MC",33085,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/02","MC",33085,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/16","MC",33085,8,0,9,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/23","MC",33085,11,0,20,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/30","MC",33085,15,0,35,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/06","MC",33085,16,0,51,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/13","MC",33085,13,1,64,1,1028.9413549727,214.089948855669,4945.21259700426,1028.9413549727,1028.9413549727,1028.9413549727,0.0310999351661689,0.00647090672073959,0.149469928880286,0.0310999351661689,0.0310999351661689,0.0310999351661689
"2020/04/20","MC",33085,1,0,65,1,594.165846535261,106.726446899735,3307.83103386382,0,1028.9413549727,1028.9413549727,0.0179587682192916,0.00322582580927113,0.0999797803797437,0,0.0310999351661689,0.0310999351661689
"2020/04/27","MC",33085,0,0,65,1,387.56612005737,64.156814081329,2341.25555589328,0,1028.9413549727,1028.9413549727,0.0117142547999809,0.00193915109812087,0.0707648649204557,0,0.0310999351661689,0.0310999351661689
"2020/05/04","MC",33085,1,0,66,1,286.689565396107,45.2319909482982,1817.09681983611,0,1028.9413549727,1028.9413549727,0.00866524302240008,0.00136714495838894,0.0549220740467316,0,0.0310999351661689,0.0310999351661689
"2020/05/11","MC",33085,0,0,66,1,225.935839223251,34.8723726661443,1463.8236386787,0,1028.9413549727,1028.9413549727,0.00682895086060908,0.00105402365622319,0.044244329414499,0,0.0310999351661689,0.0310999351661689
"2020/05/18","MC",33085,0,0,66,1,188.05088589856,28.5947490805583,1236.70033220458,0,1028.9413549727,1028.9413549727,0.00568387141902855,0.000864281368612915,0.0373794871453705,0,0.0310999351661689,0.0310999351661689
"2020/05/25","MC",33085,1,0,67,1,165.264961919326,24.8596679489765,1098.66743571371,0,1028.9413549727,1028.9413549727,0.00499516282059321,0.000751387878161599,0.0332074183380297,0,0.0310999351661689,0.0310999351661689
"2020/06/01","MC",33085,0,0,67,1,147.205051585592,21.9623795564976,986.656621454563,0,1028.9413549727,1028.9413549727,0.0044492988238051,0.000663816822018969,0.0298218715869598,0,0.0310999351661689,0.0310999351661689
"2020/06/08","MC",33085,0,0,67,1,133.890764282182,19.8773168840887,901.869043221659,0,1028.9413549727,1028.9413549727,0.00404687212580268,0.000600795432494746,0.0272591519788925,0,0.0310999351661689,0.0310999351661689
"2020/06/15","MC",33085,0,0,67,1,123.780779138618,18.2995964483308,837.268806851804,0,1028.9413549727,1028.9413549727,0.00374129602957891,0.000553108552163542,0.0253065983633612,0,0.0310999351661689,0.0310999351661689
"2020/06/22","MC",33085,1,0,68,1,117.652140613144,17.3312197146785,798.675824248637,0,1028.9413549727,1028.9413549727,0.00355605684186623,0.000523839193431418,0.0241401186111119,0,0.0310999351661689,0.0310999351661689
"2020/06/29","MC",33085,2,0,70,1,114.561546401111,16.840187833978,779.346883966065,0,1028.9413549727,1028.9413549727,0.0034626430830017,0.000508997667643281,0.0235558979587748,0,0.0310999351661689,0.0310999351661689
"2020/07/06","MC",33085,5,0,75,1,116.923873277497,17.1541867544606,796.959502534115,0,0,1028.9413549727,0.00353404483232574,0.000518488340772574,0.0240882424825182,0,0,0.0310999351661689
"2020/07/13","MC",33085,1,0,76,1,113.274615618488,16.5754983785642,774.102729852743,0,0,1028.9413549727,0.00342374537157287,0.000500997381851722,0.0233973924694799,0,0,0.0310999351661689
"2020/07/20","MC",33085,0,0,76,1,108.467241711937,15.8471565498826,742.413472572337,0,0,1028.9413549727,0.00327844164158795,0.000478983120746037,0.0224395790410258,0,0,0.0310999351661689
"2020/07/27","MC",33085,5,0,81,1,110.975220483017,16.1900778480851,760.681923633293,0,0,1028.9413549727,0.00335424574529293,0.000489347977877743,0.0229917462183253,0,0,0.0310999351661689
"2020/08/03","MC",33085,3,0,84,1,110.71639099065,16.1306109115243,759.929013304559,0,0,1028.9413549727,0.00334642257792503,0.000487550579160474,0.0229689893699428,0,0,0.0310999351661689
"2020/08/10","MC",33085,10,0,94,1,119.242209492164,17.3510542780021,819.472079146207,0,0,1028.9413549727,0.00360411695608777,0.000524438696629956,0.0247686891082426,0,0,0.0310999351661689
"2020/08/17","MC",33085,5,0,99,1,120.658227428682,17.536647388495,830.170529389935,0,0,0,0.00364691634966547,0.000530048281350916,0.0250920516666143,0,0,0
"2020/08/24","MC",33085,12,0,111,1,129.485296520894,18.7893598473217,892.337054127676,0,0,0,0.003913716080426,0.000567911737866758,0.0269710459159038,0,0,0
"2020/08/31","MC",33085,20,0,131,1,145.619059648272,21.0996907512522,1004.98679259499,0,0,0,0.00440136193587041,0.000637741899690258,0.0303759042646211,0,0,0
"2020/09/07","MC",33085,17,0,148,1,155.519195120054,22.4948291872237,1075.19020702439,0,0,0,0.00470059528850095,0.0006799102066563,0.032497814931975,0,0,0
"2020/09/14","MC",33085,23,0,171,1,168.059180114623,24.2620444627542,1164.11822029912,0,0,0,0.00507961856172354,0.000733324602168783,0.0351856799244104,0,0,0
"2020/09/21","MC",33085,22,0,193,1,175.538175673058,25.2914666167161,1218.34180617503,0,0,0,0.0053056725305443,0.000764439069569776,0.0368245974361504,0,0,0
"2020/09/28","MC",33085,17,0,210,1,175.051954107817,25.1717429185621,1217.36451608079,0,0,0,0.00529097639739512,0.000760820399533385,0.0367950586695116,0,0,0
"2020/10/05","MC",33085,12,0,222,1,168.546189218476,24.1903046278876,1174.34725759181,0,0,0,0.00509433849836712,0.000731156252920888,0.0354948543929822,0,0,0
"2020/10/12","MC",33085,12,0,234,1,161.614297961124,23.1498845350018,1128.26399915627,0,0,0,0.0048848208541975,0.000699709370862985,0.0341019797236291,0,0,0
"2020/10/19","MC",33085,31,0,265,1,166.975249018847,23.8790039432302,1167.58361660266,0,0,0,0.00504685655187689,0.000721747134448547,0.0352904221430455,0,0,0
"2020/10/26","MC",33085,41,0,306,1,176.324674447909,25.1785665490043,1234.79590304122,0,0,0,0.00532944459567506,0.000761026644975195,0.0373219254357328,0,0,0
