"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/23","MN",3225166,10,0,10,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/30","MN",3225166,2,0,12,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","MN",3225166,2,0,14,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/13","MN",3225166,2,0,16,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/20","MN",3225166,16,0,32,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/27","MN",3225166,6,0,38,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/04","MN",3225166,2,0,40,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/11","MN",3225166,2,0,42,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/18","MN",3225166,98,0,140,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/25","MN",3225166,1,0,141,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/01","MN",3225166,44,0,185,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/08","MN",3225166,9,0,194,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/15","MN",3225166,3,0,197,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/22","MN",3225166,16,0,213,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/29","MN",3225166,7,0,220,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/06","MN",3225166,0,0,220,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/13","MN",3225166,10,0,230,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/20","MN",3225166,57,0,287,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/27","MN",3225166,1,0,288,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/03","MN",3225166,5,0,293,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/10","MN",3225166,0,0,293,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/17","MN",3225166,5,0,298,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/24","MN",3225166,0,0,298,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/31","MN",3225166,3,0,301,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/07","MN",3225166,9,0,310,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/14","MN",3225166,1,0,311,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/21","MN",3225166,1,0,312,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/28","MN",3225166,1,0,313,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/05","MN",3225166,1,0,314,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/12","MN",3225166,4,0,318,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/19","MN",3225166,6,0,324,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/26","MN",3225166,15,0,339,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/02","MN",3225166,10,0,349,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/09","MN",3225166,19,0,368,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/16","MN",3225166,63,0,431,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/23","MN",3225166,209,0,640,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/30","MN",3225166,151,0,791,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/12/07","MN",3225166,96,0,887,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/12/14","MN",3225166,25,0,912,0,0,0,NA,0,0,0,0,0,NA,0,0,0
