"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/23","NI",6545503,2,0,2,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/30","NI",6545503,2,1,4,1,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","NI",6545503,1,0,5,1,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/13","NI",6545503,4,0,9,1,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/20","NI",6545503,0,0,9,1,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/27","NI",6545503,4,2,13,3,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/04","NI",6545503,1,2,14,5,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/11","NI",6545503,2,0,16,5,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/18","NI",6545503,9,3,25,8,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/25","NI",6545503,254,9,279,17,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/06/01","NI",6545503,480,18,759,35,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/06/08","NI",6545503,550,11,1309,46,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/06/15","NI",6545503,346,9,1655,55,81468.9338128763,80390.2934856117,82562.0468445577,81468.9338128763,81468.9338128763,81468.9338128763,0.0124465505268084,0.012281759474499,0.0126135526703689,0.0124465505268084,0.0124465505268084,0.0124465505268084
"2020/06/22","NI",6545503,359,9,2014,64,56834.9571795723,55678.1787212211,58015.7690462074,0,81468.9338128763,81468.9338128763,0.0086830541792697,0.00850632544530514,0.00886345465676319,0,0.0124465505268084,0.0124465505268084
"2020/06/29","NI",6545503,156,10,2170,74,41842.4058441582,40959.5378985376,42744.3036873165,0,81468.9338128763,81468.9338128763,0.00639254245917512,0.00625766085487053,0.00653033138741461,0,0.0124465505268084,0.0124465505268084
"2020/07/06","NI",6545503,349,9,2519,83,36497.6846582594,35747.0505915158,37264.0809065769,0,81468.9338128763,81468.9338128763,0.00557599387827939,0.0054613145225838,0.0056930813272222,0,0.0124465505268084,0.0124465505268084
"2020/07/13","NI",6545503,327,8,2846,91,33012.5166384513,32359.5611571473,33678.6475413407,0,81468.9338128763,81468.9338128763,0.00504354159465687,0.00494378524570951,0.0051453108403343,0,0.0124465505268084,0.0124465505268084
"2020/07/20","NI",6545503,301,8,3147,99,30622.6214413941,30045.4415949215,31210.889045526,0,81468.9338128763,81468.9338128763,0.00467842142023219,0.00459024181868399,0.00476829497221619,0,0.0124465505268084,0.0124465505268084
"2020/07/27","NI",6545503,292,9,3439,108,29251.1454387668,28732.0012108148,29779.6698253593,0,81468.9338128763,81468.9338128763,0.00446889191537561,0.0043895788010203,0.00454963809891452,0,0.0124465505268084,0.0124465505268084
"2020/08/03","NI",6545503,233,8,3672,116,27683.481467605,27216.0725326166,28158.9176854516,0,81468.9338128763,81468.9338128763,0.0042293894705426,0.00415798030076781,0.00430202502167543,0,0.0124465505268084,0.0124465505268084
"2020/08/10","NI",6545503,230,7,3902,123,26368.6960549765,25941.3720959762,26803.0591854309,0,81468.9338128763,81468.9338128763,0.0040285209639315,0.00396323584237548,0.00409488150649857,0,0.0124465505268084,0.0124465505268084
"2020/08/17","NI",6545503,213,5,4115,128,24970.0393846606,24575.6612147363,25370.7463422238,0,81468.9338128763,81468.9338128763,0.0038148388878075,0.00375458711343289,0.00387605755313592,0,0.0124465505268084,0.0124465505268084
"2020/08/24","NI",6545503,196,5,4311,133,23862.4066925767,23495.3782832953,24235.1685636307,0,81468.9338128763,81468.9338128763,0.00364561847921797,0.00358954510956535,0.00370256778793481,0,0.0124465505268084,0.0124465505268084
"2020/08/31","NI",6545503,183,4,4494,137,22826.2614778829,22482.0718975958,23175.720433151,0,81468.9338128763,81468.9338128763,0.00348731968771275,0.00343473555777085,0.00354070885509502,0,0.0124465505268084,0.0124465505268084
"2020/09/07","NI",6545503,174,4,4668,141,22011.3173895355,21686.0895711024,22341.4226725542,0,0,81468.9338128763,0.0033628152625605,0.00331312804701219,0.00341324764079311,0,0,0.0124465505268084
"2020/09/14","NI",6545503,150,3,4818,144,21153.2853964693,20845.1059798427,21466.0210169802,0,0,81468.9338128763,0.0032317280118074,0.00318464539392048,0.0032795067112459,0,0,0.0124465505268084
"2020/09/21","NI",6545503,143,3,4961,147,20459.9332278434,20166.1302680325,20758.0166409711,0,0,81468.9338128763,0.00312579999242891,0.00308091376140726,0.00317134017675511,0,0,0.0124465505268084
"2020/09/28","NI",6545503,112,2,5073,149,19672.8446718762,19392.7524040248,19956.9823519968,0,0,81468.9338128763,0.00300555124210869,0.00296275968463001,0.00304896084410881,0,0,0.0124465505268084
"2020/10/05","NI",6545503,97,2,5170,151,18985.5323073362,18717.6199544499,19257.27939076,0,0,81468.9338128763,0.00290054596374583,0.0028596152128339,0.00294206257193069,0,0,0.0124465505268084
"2020/10/12","NI",6545503,94,2,5264,153,18423.0565181696,18165.4545303835,18684.3115268037,0,0,81468.9338128763,0.00281461279876728,0.00277525723086269,0.00285452646294772,0,0,0.0124465505268084
"2020/10/19","NI",6545503,89,1,5353,154,17842.3437043787,17593.7398776579,18094.4603636803,0,0,0,0.00272589344231891,0.00268791258328931,0.00276441098013099,0,0,0
"2020/10/26","NI",6545503,81,1,5434,155,17340.0220758194,17099.3321615755,17584.099937281,0,0,0,0.00264915042828938,0.00261237863027111,0.00268643982552311,0,0,0
"2020/11/02","NI",6545503,80,1,5514,156,16922.5794095562,16688.6253190244,17159.8132499435,0,0,0,0.00258537493750385,0.00254963221604579,0.00262161872814717,0,0,0
"2020/11/09","NI",6545503,77,1,5591,157,16569.5832094903,16341.4636077852,16800.8872599039,0,0,0,0.00253144536172243,0.00249659401390316,0.00256678321893733,0,0,0
"2020/11/16","NI",6545503,70,1,5661,158,16258.0367278997,16035.1693650225,16484.0016484207,0,0,0,0.00248384833494076,0.00244979940655783,0.00251837049779378,0,0,0
