"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"13498","2020/03/19",3,0,3,0,3,3,0,NA,NA,NA,1.07417154519577e-05,1.07417154519577e-05,0,279285
"13497","2020/03/20",0,0,3,0,0,3,0,0,NA,NA,0,1.07417154519577e-05,0,279285
"13496","2020/03/21",12,0,15,0,12,15,0,0,NA,NA,4.29668618078307e-05,5.37085772597884e-05,0,279285
"13495","2020/03/22",2,0,17,0,2,17,0,0,0,NA,7.16114363463845e-06,6.08697208944268e-05,0,279285
"13494","2020/03/23",1,0,18,0,1,18,0,0,0,NA,3.58057181731923e-06,6.44502927117461e-05,0,279285
"13493","2020/03/24",5,0,23,0,5,23,0,0,0,NA,1.79028590865961e-05,8.23531517983422e-05,0,279285
"13492","2020/03/25",2,0,25,0,2,25,0,0,0,NA,7.16114363463845e-06,8.95142954329806e-05,0,279285
"13491","2020/03/26",0,0,25,0,0,25,0,0,0,NA,0,8.95142954329806e-05,0,279285
"13490","2020/03/27",5,0,30,0,5,30,0,0,0,NA,1.79028590865961e-05,0.000107417154519577,0,279285
"13489","2020/03/28",0,0,30,0,0,30,0,0,0,NA,0,0.000107417154519577,0,279285
"13488","2020/03/29",4,0,34,0,4,34,0,0,0,NA,1.43222872692769e-05,0.000121739441788854,0,279285
"13487","2020/03/30",1,0,35,0,1,35,0,0,0,NA,3.58057181731923e-06,0.000125320013606173,0,279285
"13486","2020/03/31",1,0,36,0,1,33,0,0,0,NA,3.58057181731923e-06,0.000118158869971534,0,279285
"13485","2020/04/01",1,0,37,0,1,34,0,0,0,NA,3.58057181731923e-06,0.000121739441788854,0,279285
"13484","2020/04/02",0,0,37,0,0,22,0,0,0,NA,0,7.8772579981023e-05,0,279285
"13483","2020/04/03",0,0,37,0,0,20,0,0,0,NA,0,7.16114363463845e-05,0,279285
"13482","2020/04/04",2,0,39,0,2,21,0,0,0,NA,7.16114363463845e-06,7.51920081637037e-05,0,279285
"13481","2020/04/05",1,0,40,0,1,17,0,0,0,NA,3.58057181731923e-06,6.08697208944268e-05,0,279285
"13480","2020/04/06",1,0,41,0,1,16,0,0,0,NA,3.58057181731923e-06,5.72891490771076e-05,0,279285
"13479","2020/04/07",0,0,41,0,0,16,0,0,0,NA,0,5.72891490771076e-05,0,279285
"13478","2020/04/08",6,0,47,0,6,17,0,0,0,NA,2.14834309039154e-05,6.08697208944268e-05,0,279285
"13477","2020/04/09",4,0,51,0,4,21,0,0,0,NA,1.43222872692769e-05,7.51920081637037e-05,0,279285
"13476","2020/04/10",0,0,51,0,0,17,0,0,0,NA,0,6.08697208944268e-05,0,279285
"13475","2020/04/11",0,0,51,0,0,16,0,0,0,NA,0,5.72891490771076e-05,0,279285
"13474","2020/04/12",0,0,51,0,0,15,0,0,0,NA,0,5.37085772597884e-05,0,279285
"13473","2020/04/13",2,0,53,0,2,16,0,0,0,NA,7.16114363463845e-06,5.72891490771076e-05,0,279285
"13472","2020/04/14",2,0,55,0,2,18,0,0,0,NA,7.16114363463845e-06,6.44502927117461e-05,0,279285
"13471","2020/04/15",0,0,55,0,0,18,0,0,0,NA,0,6.44502927117461e-05,0,279285
"13470","2020/04/16",0,0,55,0,0,16,0,0,0,NA,0,5.72891490771076e-05,0,279285
"13469","2020/04/17",0,0,55,0,0,15,0,0,0,NA,0,5.37085772597884e-05,0,279285
"13468","2020/04/18",0,0,55,0,0,14,0,0,0,NA,0,5.01280054424692e-05,0,279285
"13467","2020/04/19",0,0,55,0,0,14,0,0,0,NA,0,5.01280054424692e-05,0,279285
"13466","2020/04/20",0,0,55,0,0,8,0,0,0,NA,0,2.86445745385538e-05,0,279285
"13465","2020/04/21",1,0,56,0,1,5,0,0,0,NA,3.58057181731923e-06,1.79028590865961e-05,0,279285
"13464","2020/04/22",1,0,57,0,1,6,0,0,0,NA,3.58057181731923e-06,2.14834309039154e-05,0,279285
"13463","2020/04/23",0,0,57,0,0,6,0,0,0,NA,0,2.14834309039154e-05,0,279285
"13462","2020/04/24",0,0,57,0,0,6,0,0,0,NA,0,2.14834309039154e-05,0,279285
"13461","2020/04/25",0,0,57,0,0,4,0,0,0,NA,0,1.43222872692769e-05,0,279285
"13460","2020/04/26",0,0,57,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13459","2020/04/27",0,0,57,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13458","2020/04/28",1,0,58,0,1,3,0,0,0,NA,3.58057181731923e-06,1.07417154519577e-05,0,279285
"13457","2020/04/29",0,0,58,0,0,3,0,0,0,NA,0,1.07417154519577e-05,0,279285
"13456","2020/04/30",0,0,58,0,0,3,0,0,0,NA,0,1.07417154519577e-05,0,279285
"13455","2020/05/01",0,0,58,0,0,3,0,0,0,NA,0,1.07417154519577e-05,0,279285
"13454","2020/05/02",0,0,58,0,0,3,0,0,0,NA,0,1.07417154519577e-05,0,279285
"13453","2020/05/03",0,0,58,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13452","2020/05/04",0,0,58,0,0,1,0,0,0,NA,0,3.58057181731923e-06,0,279285
"13451","2020/05/05",0,0,58,0,0,1,0,0,0,NA,0,3.58057181731923e-06,0,279285
"13450","2020/05/06",2,0,60,0,2,3,0,0,0,NA,7.16114363463845e-06,1.07417154519577e-05,0,279285
"13449","2020/05/07",0,0,60,0,0,3,0,0,0,NA,0,1.07417154519577e-05,0,279285
"13448","2020/05/08",0,0,60,0,0,3,0,0,0,NA,0,1.07417154519577e-05,0,279285
"13447","2020/05/09",0,0,60,0,0,3,0,0,0,NA,0,1.07417154519577e-05,0,279285
"13446","2020/05/10",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13445","2020/05/11",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13444","2020/05/12",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13443","2020/05/13",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13442","2020/05/14",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13441","2020/05/15",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13440","2020/05/16",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13439","2020/05/17",0,0,60,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13438","2020/05/18",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13437","2020/05/19",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13436","2020/05/20",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13435","2020/05/21",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13434","2020/05/22",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13433","2020/05/23",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13432","2020/05/24",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13431","2020/05/25",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13430","2020/05/26",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13429","2020/05/27",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13428","2020/05/28",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13427","2020/05/29",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13426","2020/05/30",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13425","2020/05/31",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13424","2020/06/01",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13423","2020/06/02",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13422","2020/06/03",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13421","2020/06/04",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13420","2020/06/05",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13419","2020/06/06",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13418","2020/06/07",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13417","2020/06/08",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13416","2020/06/09",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13415","2020/06/10",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13414","2020/06/11",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13413","2020/06/12",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13412","2020/06/13",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13411","2020/06/14",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13410","2020/06/15",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13409","2020/06/16",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13408","2020/06/17",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13407","2020/06/18",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13406","2020/06/19",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13405","2020/06/20",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13404","2020/06/21",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13403","2020/06/22",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13402","2020/06/23",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13401","2020/06/24",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13400","2020/06/25",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13399","2020/06/26",0,0,60,0,0,0,0,0,0,NA,0,0,0,279285
"13398","2020/06/27",2,0,62,0,2,2,0,0,0,NA,7.16114363463845e-06,7.16114363463845e-06,0,279285
"13397","2020/06/28",0,0,62,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13396","2020/06/29",0,0,62,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
"13395","2020/06/30",0,0,62,0,0,2,0,0,0,NA,0,7.16114363463845e-06,0,279285
