"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/23","PG",8776119,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/30","PG",8776119,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","PG",8776119,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/13","PG",8776119,1,0,2,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/20","PG",8776119,5,0,7,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/27","PG",8776119,1,0,8,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/04","PG",8776119,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/11","PG",8776119,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/18","PG",8776119,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/25","PG",8776119,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/01","PG",8776119,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/08","PG",8776119,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/15","PG",8776119,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/22","PG",8776119,1,0,9,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/29","PG",8776119,2,0,11,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/06","PG",8776119,0,0,11,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/13","PG",8776119,0,0,11,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/20","PG",8776119,6,0,17,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/27","PG",8776119,45,0,62,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/03","PG",8776119,48,2,110,2,2007.64975240106,960.861757640781,4194.83603782147,2007.64975240106,2007.64975240106,2007.64975240106,0.000228762822427665,0.000109485953602131,0.000477983039863233,0.000228762822427665,0.000228762822427665,0.000228762822427665
"2020/08/10","PG",8776119,104,1,214,3,4012.78431804618,2453.69696013233,6562.52106302847,2005.13456564512,4012.78431804618,4012.78431804618,0.000457239050432906,0.000279587931764865,0.000747770291518207,0.00022847622800524,0.000457239050432906,0.000457239050432906
"2020/08/17","PG",8776119,109,0,323,3,3647.49320865431,2100.07951312949,6335.09665896111,0,4012.78431804618,4012.78431804618,0.000415615741839224,0.000239294785443257,0.000721856285102915,0,0.000457239050432906,0.000457239050432906
"2020/08/24","PG",8776119,78,1,401,4,3510.93792925711,2278.20457124392,5410.70161068361,0,4012.78431804618,4012.78431804618,0.000400055870853291,0.000259591349119573,0.000616525551976176,0,0.000457239050432906,0.000457239050432906
"2020/08/31","PG",8776119,58,1,459,5,3084.93104937538,2157.46972111067,4411.09299763475,0,4012.78431804618,4012.78431804618,0.000351514268365707,0.000245834146176763,0.000502624565327196,0,0.000457239050432906,0.000457239050432906
"2020/09/07","PG",8776119,38,0,497,5,2231.84690488304,1542.08822558101,3230.12686576946,0,4012.78431804618,4012.78431804618,0.000254309097778077,0.000175714142616003,0.000368058690381188,0,0.000457239050432906,0.000457239050432906
"2020/09/14","PG",8776119,14,1,511,6,1989.61454748061,1457.73631757013,2715.55699054334,0,4012.78431804618,4012.78431804618,0.000226707790480121,0.000166102615241445,0.000309425725715813,0,0.000457239050432906,0.000457239050432906
"2020/09/21","PG",8776119,6,1,517,7,1811.63020554148,1385.21429576521,2369.31138500649,0,4012.78431804618,4012.78431804618,0.000206427260790502,0.000157839051152931,0.000269972568171248,0,0.000457239050432906,0.000457239050432906
