"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/09","PL",37972812,11,0,11,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/16","PL",37972812,114,3,125,3,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/23","PL",37972812,509,4,634,7,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/30","PL",37972812,1228,15,1862,22,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","PL",37972812,2240,72,4102,94,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/13","PL",37972812,2572,138,6674,232,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/20","PL",37972812,2613,128,9287,360,507461.201395226,505827.313959918,509100.366497591,507461.201395226,507461.201395226,507461.201395226,0.0133638035917705,0.0133207757687242,0.0134069704002324,0.0133638035917705,0.0133638035917705,0.0133638035917705
"2020/04/27","PL",37972812,2330,175,11617,535,487122.579904933,485452.608687714,488798.295872138,0,507461.201395226,507461.201395226,0.0128281934955181,0.0127842154193825,0.012872322857526,0,0.0133638035917705,0.0133638035917705
"2020/05/04","PL",37972812,2076,143,13693,678,433093.530817202,431572.465772321,434619.956813149,0,507461.201395226,507461.201395226,0.0114053584132037,0.0113653017262014,0.0114455562788752,0,0.0133638035917705,0.0133638035917705
"2020/05/11","PL",37972812,2303,122,15996,800,394860.778399036,393479.316080788,396247.090878548,0,507461.201395226,507461.201395226,0.0103985129781549,0.0103621326774743,0.0104350210060437,0,0.0133638035917705,0.0133638035917705
"2020/05/18","PL",37972812,2533,125,18529,925,377570.522510471,376284.264081146,378861.177777254,0,507461.201395226,507461.201395226,0.00994318046581514,0.00990930732443901,0.00997716939628421,0,0.0133638035917705,0.0133638035917705
"2020/05/25","PL",37972812,2797,71,21326,996,352523.360023645,351323.850172482,353726.965309496,0,507461.201395226,507461.201395226,0.00928357267888521,0.00925198402932292,0.00931526918020968,0,0.0133638035917705,0.0133638035917705
"2020/06/01","PL",37972812,2460,68,23786,1064,328792.582049582,327683.06759358,329905.853252422,0,507461.201395226,507461.201395226,0.00865863139262854,0.00862941273860834,0.00868794897919126,0,0.0133638035917705,0.0133638035917705
"2020/06/08","PL",37972812,2775,93,26561,1157,321811.887992102,320751.565186245,322875.715954518,0,507461.201395226,507461.201395226,0.00847479738903988,0.00844687417898484,0.00850281290610025,0,0.0133638035917705,0.0133638035917705
"2020/06/15","PL",37972812,2831,90,29392,1247,316861.107334214,315840.108355101,317885.406840676,0,507461.201395226,507461.201395226,0.00834442040621627,0.00831753277463626,0.00837139495596681,0,0.0133638035917705,0.0133638035917705
"2020/06/22","PL",37972812,2539,109,31931,1356,315010.255782872,314023.260837676,316000.352915528,0,507461.201395226,507461.201395226,0.00829567891318853,0.00826968676530135,0.00832175275603841,0,0.0133638035917705,0.0133638035917705
"2020/06/29","PL",37972812,1976,82,33907,1438,303404.783253168,302470.468287297,304341.984267585,0,507461.201395226,507461.201395226,0.00799005307410913,0.0079654482340496,0.00801473391719279,0,0.0133638035917705,0.0133638035917705
"2020/07/06","PL",37972812,2043,79,35950,1517,294658.987207104,293765.941429051,295554.747836164,0,507461.201395226,507461.201395226,0.0077597357606043,0.00773621772938624,0.00778332528642239,0,0.0133638035917705,0.0133638035917705
"2020/07/13","PL",37972812,1941,54,37891,1571,283246.037068247,282395.19884565,284099.438810635,0,0,507461.201395226,0.0074591799276874,0.00743677341687653,0.00748165394784656,0,0,0.0133638035917705
"2020/07/20","PL",37972812,2213,53,40104,1624,276388.139925791,275565.285866864,277213.45107506,0,0,507461.201395226,0.00727857973556953,0.0072569101773886,0.00730031400031844,0,0,0.0133638035917705
"2020/07/27","PL",37972812,2961,47,43065,1671,275301.568816312,274488.165230852,276117.382798564,0,0,507461.201395226,0.00724996528611871,0.00722854460267129,0.00727144944647671,0,0,0.0133638035917705
"2020/08/03","PL",37972812,3829,60,46894,1731,282272.370212236,281447.160792858,283099.999164233,0,0,507461.201395226,0.00743353877011364,0.00741180718438386,0.00745533407334262,0,0,0.0133638035917705
"2020/08/10","PL",37972812,4897,76,51791,1807,297374.56948686,296516.925984412,298234.693631434,0,0,507461.201395226,0.00783124961846019,0.00780866389311415,0.00785390067060174,0,0,0.0133638035917705
"2020/08/17","PL",37972812,4893,70,56684,1877,309641.896132638,308759.130821724,310527.185335209,0,0,507461.201395226,0.00815430514160074,0.00813105784269345,0.00817761890626402,0,0,0.0133638035917705
"2020/08/24","PL",37972812,5078,78,61762,1955,321956.409966972,321049.794782473,322865.585349627,0,0,0,0.00847860332194971,0.00845472794541718,0.00850254612035651,0,0,0
"2020/08/31","PL",37972812,5108,78,66870,2033,332085.150481971,331160.747190155,333012.134156436,0,0,0,0.00874533996802689,0.00872099614824825,0.00876975174123097,0,0,0
"2020/09/07","PL",37972812,3954,87,70824,2120,336079.487659913,335155.372569586,337006.150788464,0,0,0,0.00885052936453357,0.00882619313443486,0.00887493269627922,0,0,0
"2020/09/14","PL",37972812,3328,68,74152,2188,333225.71517176,332317.337210675,334136.57615262,0,0,0,0.00877537631850282,0.00875145451989901,0.00879936350651672,0,0,0
"2020/09/21","PL",37972812,5088,105,79240,2293,343503.356340493,342579.500360267,344429.703742043,0,0,0,0.00904603420838291,0.00902170480185314,0.00907042922557441,0,0,0
