"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/31","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/01","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/02","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/03","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/04","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/05","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/06","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/07","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/08","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/09","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/10","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/11","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/12","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/13","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/14","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/15","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/16","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/17","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/18","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/19","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/20","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/21","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/22","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/23","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/24","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/25","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/26","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/27","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/28","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/29","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/30","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/01/31","SE",10230185,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/01","SE",10230185,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/02/02","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/03","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/04","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/05","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/06","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/07","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/08","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/09","SE",10230185,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/02/10","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/11","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/12","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/13","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/14","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/15","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/16","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/17","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/18","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/19","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/20","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/21","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/22","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/23","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/24","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/25","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/26","SE",10230185,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/27","SE",10230185,1,0,2,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/28","SE",10230185,1,0,3,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/02/29","SE",10230185,8,0,11,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/01","SE",10230185,3,0,14,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/02","SE",10230185,0,0,14,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/03","SE",10230185,5,0,19,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/04","SE",10230185,13,0,32,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/05","SE",10230185,30,0,62,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/06","SE",10230185,25,0,87,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/07","SE",10230185,59,0,146,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/08","SE",10230185,33,0,179,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/09","SE",10230185,46,0,225,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/10","SE",10230185,101,0,326,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/11","SE",10230185,98,0,424,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/12","SE",10230185,196,10,620,10,5928.25838916259,4990.97087592774,7041.56533915736,5928.25838916259,5928.25838916259,5928.25838916259,0.000579486919265154,0.000487867118329506,0.000688312610100145,0.000579486919265154,0.000579486919265154,0.000579486919265154
"2020/03/13","SE",10230185,151,0,771,10,5331.51648818654,4456.71920126821,6378.02535455146,0,5928.25838916259,5928.25838916259,0.000521155432495751,0.000435644047616755,0.000623451614467525,0,0.000579486919265154,0.000579486919265154
"2020/03/14","SE",10230185,152,1,923,11,5107.66399051552,4324.43698234761,6032.74635438124,0,5928.25838916259,5928.25838916259,0.000499273863621775,0.000422713468265492,0.000589700611903034,0,0.000579486919265154,0.000579486919265154
"2020/03/15","SE",10230185,71,1,994,12,4461.19225173584,3820.17532164612,5209.77039827899,0,5928.25838916259,5928.25838916259,0.000436081288044726,0.000373421919705862,0.000509254759154306,0,0.000579486919265154,0.000579486919265154
"2020/03/16","SE",10230185,69,2,1063,14,4277.93630309197,3741.02263333264,4891.90812433262,0,5928.25838916259,5928.25838916259,0.000418168029521652,0.000365684748939794,0.000478183740013755,0,0.000579486919265154,0.000579486919265154
"2020/03/17","SE",10230185,83,2,1146,16,4209.45329968286,3740.22518631697,4737.54819550302,0,5928.25838916259,5928.25838916259,0.000411473819846157,0.000365606798539516,0.000463095065778676,0,0.000579486919265154,0.000579486919265154
"2020/03/18","SE",10230185,119,1,1265,17,4077.61404553347,3645.37522850565,4561.10421070364,0,5928.25838916259,5928.25838916259,0.000398586540276004,0.000356335220575742,0.0004458476763327,0,0.000579486919265154,0.000579486919265154
"2020/03/19","SE",10230185,145,6,1410,23,5208.33208717443,4794.64025694674,5657.71813453325,0,5928.25838916259,5928.25838916259,0.000509114164325907,0.000468675811527039,0.000553041624812577,0,0.000579486919265154,0.000579486919265154
