"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/23","SO",15442906,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/30","SO",15442906,2,0,3,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","SO",15442906,4,0,7,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/13","SO",15442906,18,2,25,2,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/20","SO",15442906,139,5,164,7,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/27","SO",15442906,272,16,436,23,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/04","SO",15442906,286,9,722,32,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/11","SO",15442906,332,19,1054,51,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/05/18","SO",15442906,367,5,1421,56,61323.6842187584,60347.9938085997,62315.1493335327,61323.6842187584,61323.6842187584,61323.6842187584,0.00397099381546183,0.00390781332273859,0.00403519579368887,0.00397099381546183,0.00397099381546183,0.00397099381546183
"2020/05/25","SO",15442906,173,5,1594,61,42370.0188345467,41439.2126100306,43321.7327977244,0,61323.6842187584,61323.6842187584,0.00274365581416779,0.00268338178125481,0.00280528372041664,0,0.00397099381546183,0.00397099381546183
"2020/06/01","SO",15442906,382,17,1976,78,42854.7272832441,42026.8138907411,43698.9502772141,0,61323.6842187584,61323.6842187584,0.00277504294096228,0.00272143169755363,0.00282971030693408,0,0.00397099381546183,0.00397099381546183
"2020/06/08","SO",15442906,358,5,2334,83,37553.6625461122,36800.3590414467,38322.3861766929,0,61323.6842187584,61323.6842187584,0.00243177434001814,0.00238299443391332,0.0024815527710065,0,0.00397099381546183,0.00397099381546183
"2020/06/15","SO",15442906,269,5,2603,88,32735.0664078493,32077.3613517837,33406.2568605481,0,61323.6842187584,61323.6842187584,0.00211974782517289,0.00207715836331476,0.00216321052919367,0,0.00397099381546183,0.00397099381546183
"2020/06/22","SO",15442906,176,2,2779,90,27500.8996903275,26937.669285341,28075.9064849394,0,61323.6842187584,61323.6842187584,0.0017808111821912,0.00174433939346267,0.00181804554692876,0,0.00397099381546183,0.00397099381546183
"2020/06/29","SO",15442906,115,0,2894,90,22892.2292299772,22410.0358500361,23384.7978925468,0,61323.6842187584,61323.6842187584,0.00148237833151204,0.00145115406711898,0.00151427444371848,0,0.00397099381546183,0.00397099381546183
"2020/07/06","SO",15442906,103,2,2997,92,20053.2521051283,19632.0880017539,20483.4513759264,0,61323.6842187584,61323.6842187584,0.00129854135647321,0.00127126902163064,0.00132639876043579,0,0.00397099381546183,0.00397099381546183
"2020/07/13","SO",15442906,62,1,3059,93,17641.6878996592,17270.0988565692,18021.2721730077,0,61323.6842187584,61323.6842187584,0.00114238135618123,0.00111831923710273,0.00116696120361075,0,0.00397099381546183,0.00397099381546183
"2020/07/20","SO",15442906,60,0,3119,93,15725.743375111,15391.2671624739,16067.4882769106,0,61323.6842187584,61323.6842187584,0.0010183150357265,0.00099665614505935,0.00104044460782903,0,0.00397099381546183,0.00397099381546183
"2020/07/27","SO",15442906,59,0,3178,93,14302.3835470438,13995.9881511441,14615.4864463806,0,61323.6842187584,61323.6842187584,0.000926145865748573,0.000906305338590038,0.000946420734956268,0,0.00397099381546183,0.00397099381546183
"2020/08/03","SO",15442906,34,0,3212,93,13122.7338621023,12840.0507651309,13411.6404339474,0,61323.6842187584,61323.6842187584,0.000849758061216089,0.000831453015716788,0.000868466105663494,0,0.00397099381546183,0.00397099381546183
"2020/08/10","SO",15442906,15,0,3227,93,12134.9727937306,11872.4499392303,12403.3005368165,0,0,61323.6842187584,0.000785795937223904,0.000768796361204966,0.000803171406781634,0,0,0.00397099381546183
"2020/08/17","SO",15442906,29,0,3256,93,11401.9852064253,11154.4824420953,11654.9797198051,0,0,61323.6842187584,0.000738331581272679,0.000722304625961932,0.000754714152880623,0,0,0.00397099381546183
"2020/08/24","SO",15442906,13,0,3269,93,10765.7851960867,10531.452673539,11005.3317886041,0,0,61323.6842187584,0.000697134671161417,0.000681960550270722,0.000712646427337194,0,0,0.00397099381546183
"2020/08/31","SO",15442906,41,4,3310,97,10780.7348609436,10554.7215637851,11011.5878888505,0,0,61323.6842187584,0.000698102731502969,0.000683467319155155,0.000713051538929944,0,0,0.00397099381546183
"2020/09/07","SO",15442906,52,0,3362,97,10453.4117725225,10233.8372209172,10677.6974586388,0,0,61323.6842187584,0.000676907038903329,0.000662688565281508,0.000691430580399753,0,0,0.00397099381546183
"2020/09/14","SO",15442906,27,1,3389,98,10216.7309187081,10003.8406839425,10434.1516386634,0,0,61323.6842187584,0.000661580852639272,0.000647795219626573,0.000675659855642676,0,0,0.00397099381546183
"2020/09/21","SO",15442906,53,0,3442,98,9999.98450073953,9791.3174019229,10213.0985964557,0,0,0,0.000647545513826188,0.000634033348511148,0.00066134564287678,0,0,0
"2020/09/28","SO",15442906,146,1,3588,99,10183.7312126743,9972.97875308651,10398.9373666218,0,0,0,0.000659443968167281,0.000645796766041735,0.00067337956772008,0,0,0
"2020/10/05","SO",15442906,157,0,3745,99,10301.5201849882,10088.0901559647,10519.4656749746,0,0,0,0.000667071352049167,0.000653250764847283,0.000681184336353181,0,0,0
"2020/10/12","SO",15442906,119,0,3864,99,10305.9968949136,10092.2429081216,10524.2781971186,0,0,0,0.000667361239841359,0.000653519674866994,0.000681495969548643,0,0,0
"2020/10/19","SO",15442906,0,0,3864,99,9989.65334687281,9782.2422341347,10201.4621599191,0,0,0,0.000646876523555399,0.000633445689181472,0.000660592129481268,0,0,0
"2020/10/26","SO",15442906,77,5,3941,104,10378.1660841194,10172.1477512036,10588.3569432839,0,0,0,0.000672034530555283,0.000658693885153711,0.000685645366440997,0,0,0
"2020/11/02","SO",15442906,0,0,3941,104,10076.1253354968,9875.90554773627,10280.4042916259,0,0,0,0.00065247598706466,0.000639510824435263,0.000665703999728153,0,0,0
"2020/11/09","SO",15442906,288,3,4229,107,10818.8285875471,10609.2621221591,11032.5346531174,0,0,0,0.000700569477502945,0.000686999074018781,0.000714407939355289,0,0,0
"2020/11/16","SO",15442906,72,0,4301,107,10709.7258614495,10502.0917611573,10921.4650410521,0,0,0,0.000693504568469791,0.000680059294614453,0.000707215665306266,0,0,0
"2020/11/23","SO",15442906,144,6,4445,113,11370.0196937703,11160.2429034887,11583.7396152294,0,0,0,0.000736261665632771,0.000722677642633371,0.000750101024718364,0,0,0
"2020/11/30","SO",15442906,0,0,4445,113,11055.4729801761,10851.3159048153,11263.4710746156,0,0,0,0.000715893302735644,0.000702673182418861,0.000729362146905226,0,0,0
"2020/12/07","SO",15442906,80,8,4525,121,11720.4781399943,11517.0525184465,11927.496866934,0,0,0,0.000758955480269992,0.000745782724990135,0.000772360905838191,0,0,0
"2020/12/14","SO",15442906,54,0,4579,121,11547.9065967531,11347.3023498548,11752.0572428423,0,0,0,0.000747780670085867,0.000734790611938892,0.000761000374077413,0,0,0
