"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/23","SV",6453550,3,0,3,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/30","SV",6453550,27,0,30,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","SV",6453550,39,3,69,3,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/13","SV",6453550,56,3,125,6,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/20","SV",6453550,76,1,201,7,13761.095705476,13735.1187540794,13787.1217865536,13761.095705476,13761.095705476,13761.095705476,0.00213232960238566,0.00212830438349116,0.00213636243409497,0.00213232960238566,0.00213232960238566,0.00213232960238566
"2020/04/27","SV",6453550,97,1,298,8,10778.0100916687,9517.36916445857,12205.6315699005,0,13761.095705476,13761.095705476,0.00167009011965023,0.00147474942697563,0.00189130502899963,0,0.00213232960238566,0.00213232960238566
"2020/05/04","SV",6453550,257,4,555,12,16139.6938019647,14605.4127716626,17835.1492075992,0,13761.095705476,13761.095705476,0.00250090164358604,0.00226315946597804,0.00276361835076807,0,0.00213232960238566,0.00213232960238566
"2020/05/11","SV",6453550,403,5,958,17,22448.4468456432,20718.3327808721,24323.0365643569,8082.86362284874,21843.9593283247,21843.9593283247,0.00347846485200288,0.00321037766514122,0.0037689390435275,0.00125246780808218,0.00338479741046784,0.00338479741046784
"2020/05/18","SV",6453550,380,13,1338,30,31708.9129910841,30285.8113109826,33198.8848755567,9864.95366275942,31708.9129910841,31708.9129910841,0.00491340626338746,0.00469289171246563,0.00514428258486518,0.00152860885291962,0.00491340626338746,0.00491340626338746
"2020/05/25","SV",6453550,577,5,1915,35,31417.8605089742,30028.0578133295,32871.9880951872,0,31708.9129910841,31708.9129910841,0.00486830666981339,0.00465295191225442,0.00509362879270901,0,0.00491340626338746,0.00491340626338746
"2020/06/01","SV",6453550,602,11,2517,46,33966.6890187888,32747.1961000263,35231.5953822435,1966.72354559477,33675.6365366789,33675.6365366789,0.0052632565051466,0.00507429183937931,0.0054592581419906,0.000304750648185072,0.00521815691157253,0.00521815691157253
"2020/06/08","SV",6453550,498,9,3015,55,31983.062570084,30966.1098807032,33033.4128278524,0,33675.6365366789,33675.6365366789,0.00495588669338333,0.00479830634003041,0.00511864211602179,0,0.00521815691157253,0.00521815691157253
"2020/06/15","SV",6453550,705,19,3720,74,36780.6757490902,35881.1772684426,37702.7235878773,1412.46524581647,35088.1017824954,35088.1017824954,0.00569929352822714,0.00555991311269651,0.00584216804516542,0.000218866398465414,0.00543702331003794,0.00543702331003794
"2020/06/22","SV",6453550,906,33,4626,107,48031.3884198887,47194.2140199193,48883.4133897959,12943.2866373933,48031.3884198887,48031.3884198887,0.00744263055525853,0.00731290747261884,0.00757465478531908,0.00200560724522059,0.00744263055525853,0.00744263055525853
"2020/06/29","SV",6453550,1308,57,5934,164,70896.0297293741,70059.4081544307,71742.6419062666,22864.6413094854,70896.0297293741,70896.0297293741,0.0109855861858007,0.01085594876532,0.011116771684773,0.00354295563054216,0.0109855861858007,0.0109855861858007
"2020/07/06","SV",6453550,1843,53,7777,217,94134.6246553351,93252.7022144449,95024.8877359416,23238.594925961,94134.6246553351,94134.6246553351,0.0145864872287865,0.0144498302816969,0.0147244365869857,0.0036009010429858,0.0145864872287865,0.0145864872287865
"2020/07/13","SV",6453550,1897,50,9674,267,111198.706227104,110305.414806986,112099.231830263,17064.0815717686,97437.6105216277,111198.706227104,0.0172306259697536,0.017092207359823,0.017370165541487,0.00264413874096715,0.015098296367368,0.0172306259697536
"2020/07/20","SV",6453550,2172,77,11846,344,136002.1417199,135096.086269371,136914.273856306,24803.4354927966,122241.046014424,136002.1417199,0.0210740044967344,0.0209336080559338,0.0212153425411294,0.00384337852698075,0.0189416748943487,0.0210740044967344
"2020/07/27","SV",6453550,2784,64,14630,408,155642.786460296,154713.562869699,156577.591051455,19640.6447403959,141881.69075482,155642.786460296,0.0241173906548018,0.0239734042301832,0.0242622418748526,0.0030433861580674,0.0219850610524161,0.0241173906548018
"2020/08/03","SV",6453550,2818,59,17448,467,167468.788244898,166545.137721731,168397.561285003,11826.0017846019,145624.828916573,167468.788244898,0.0259498707292727,0.0258067478708201,0.0260937873395267,0.00183248007447093,0.0225650733188049,0.0259498707292727
"2020/08/10","SV",6453550,2975,96,20423,563,188030.002940694,187105.575961931,188958.997208458,20561.2146957958,156321.08994961,188030.002940694,0.0291359024011116,0.028992659228166,0.0292798532913602,0.00318603167183888,0.0242224961377241,0.0291359024011116
"2020/08/17","SV",6453550,2489,55,22912,618,186405.552048853,185530.590647464,187284.639764137,0,156321.08994961,188030.002940694,0.0288841880900982,0.0287486097802704,0.0290204057866037,0,0.0242224961377241,0.0291359024011116
"2020/08/24","SV",6453550,1710,51,24622,669,177131.22592584,176330.91918082,177935.164994046,0,154354.366404015,174268.907235218,0.0274470990270223,0.0273230887156402,0.0275716721795052,0,0.0239177454895391,0.0270035727987259
"2020/08/31","SV",6453550,1107,48,25729,717,165048.713749397,164327.200399432,165773.395056419,0,154354.366404015,174268.907235218,0.0255748717759058,0.0254630707749119,0.0256871636628551,0,0.0239177454895391,0.0270035727987259
"2020/09/07","SV",6453550,579,47,26308,764,152803.798298885,152155.864385475,153454.491345883,0,152941.901158198,174268.907235218,0.0236774795730853,0.0235770799614903,0.0237783067220185,0,0.0236988790910737,0.0270035727987259
"2020/09/14","SV",6453550,701,24,27009,788,140502.552137531,139913.924050444,141093.656625929,0,139998.614520805,166186.043612369,0.0217713587308583,0.0216801487631526,0.0218629524255532,0,0.0216932718458531,0.0257511049906438
