"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_infect_undected","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_infect_undected","p_symptom","population"
"2020/03/25",1,0,1,0,0,0,-1,0,-1,0,NA,NA,NA,0,0,-2.61821228465204e-05,0,-2.61821228465204e-05,0,38194
"2020/03/26",0,0,1,0,0,0,-1,0,-1,0,0,NA,NA,0,0,-2.61821228465204e-05,0,-2.61821228465204e-05,0,38194
"2020/03/27",1,0,2,0,0,0,-2,0,-2,0,0,NA,NA,0,0,-5.23642456930408e-05,0,-5.23642456930408e-05,0,38194
"2020/03/28",0,0,2,0,0,0,-2,0,-2,0,0,NA,NA,0,0,-5.23642456930408e-05,0,-5.23642456930408e-05,0,38194
"2020/03/29",3,0,5,0,0,0,-5,0,-5,0,0,NA,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/03/30",0,0,5,0,0,0,-5,0,-5,0,0,NA,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/03/31",0,0,5,0,0,0,-5,0,-5,0,0,0,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/04/01",0,0,5,0,0,0,-5,0,-5,0,0,0,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/04/02",0,0,5,0,0,0,-5,0,-5,0,0,0,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/04/03",0,0,5,0,0,0,-5,0,-5,0,0,0,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/04/04",0,0,5,0,0,0,-5,0,-5,0,0,0,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/04/05",0,0,5,0,0,0,-5,0,-5,0,0,0,NA,0,0,-0.000130910614232602,0,-0.000130910614232602,0,38194
"2020/04/06",0,1,5,1,138.251628608857,138.251628608857,134.251628608857,138.251628608857,134.251628608857,138.251628608857,0.00361972112396861,0.000978084536185537,0.0133959596850422,0.100086468099709,0.00361972112396861,0.00351499263258253,0.00361972112396861,0.00351499263258253,0.00361972112396861,38194
"2020/04/07",3,0,8,1,64.9229525135728,203.17458112243,196.17458112243,203.17458112243,196.17458112243,203.17458112243,0.00531954184223779,0.00143739294749322,0.0196867011631502,0.043170045302196,0.00531954184223779,0.00513626698231215,0.00531954184223779,0.00513626698231215,0.00531954184223779,38194
"2020/04/08",0,0,8,1,0,203.17458112243,197.17458112243,203.17458112243,197.17458112243,203.17458112243,0.00488438721829555,0.00131980985367164,0.018076269420083,0,0.00531954184223779,0.00516244910515867,0.00531954184223779,0.00516244910515867,0.00531954184223779,38194
"2020/04/09",0,0,8,1,0,203.17458112243,197.17458112243,203.17458112243,197.17458112243,203.17458112243,0.00441928310733123,0.00119413411151619,0.0163549998232157,0,0.00531954184223779,0.00516244910515867,0.00531954184223779,0.00516244910515867,0.00531954184223779,38194
"2020/04/10",0,0,8,1,0,203.17458112243,200.17458112243,203.17458112243,200.17458112243,203.17458112243,0.00399535059411646,0.000916898811725716,0.0174095834412335,0,0.00531954184223779,0.00524099547369823,0.00531954184223779,0.00524099547369823,0.00531954184223779,38194
