"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_infect_undected","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_infect_undected","p_symptom","population"
"2019/12/31",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/01",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/02",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/03",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/04",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/05",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/06",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/07",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/08",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/09",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/10",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/11",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/12",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,69625581
"2020/01/13",1,0,1,0,0,0,-1,0,-1,0,NA,NA,NA,0,0,-1.43625372404433e-08,0,-1.43625372404433e-08,0,69625581
"2020/01/14",0,0,1,0,0,0,-1,0,-1,0,0,NA,NA,0,0,-1.43625372404433e-08,0,-1.43625372404433e-08,0,69625581
"2020/01/15",0,0,1,0,0,0,-1,0,-1,0,0,NA,NA,0,0,-1.43625372404433e-08,0,-1.43625372404433e-08,0,69625581
"2020/01/16",0,0,1,0,0,0,-1,0,-1,0,0,NA,NA,0,0,-1.43625372404433e-08,0,-1.43625372404433e-08,0,69625581
"2020/01/17",1,0,2,0,0,0,-2,0,-2,0,0,NA,NA,0,0,-2.87250744808866e-08,0,-2.87250744808866e-08,0,69625581
"2020/01/18",0,0,2,0,0,0,-2,0,-2,0,0,NA,NA,0,0,-2.87250744808866e-08,0,-2.87250744808866e-08,0,69625581
"2020/01/19",0,0,2,0,0,0,-2,0,-2,0,0,NA,NA,0,0,-2.87250744808866e-08,0,-2.87250744808866e-08,0,69625581
"2020/01/20",0,0,2,0,0,0,-2,0,-2,0,0,0,NA,0,0,-2.87250744808866e-08,0,-2.87250744808866e-08,0,69625581
"2020/01/21",0,0,2,0,0,0,-2,0,-2,0,0,0,NA,0,0,-2.87250744808866e-08,0,-2.87250744808866e-08,0,69625581
"2020/01/22",2,0,4,0,0,0,-4,0,-4,0,0,0,NA,0,0,-5.74501489617731e-08,0,-5.74501489617731e-08,0,69625581
"2020/01/23",0,0,4,0,0,0,-4,0,-4,0,0,0,NA,0,0,-5.74501489617731e-08,0,-5.74501489617731e-08,0,69625581
"2020/01/24",0,0,4,0,0,0,-4,0,-4,0,0,0,NA,0,0,-5.74501489617731e-08,0,-5.74501489617731e-08,0,69625581
"2020/01/25",1,0,5,0,0,0,-4,0,-4,0,0,0,NA,0,0,-5.74501489617731e-08,0,-5.74501489617731e-08,0,69625581
"2020/01/26",0,0,5,0,0,0,-4,0,-4,0,0,0,NA,0,0,-5.74501489617731e-08,0,-5.74501489617731e-08,0,69625581
"2020/01/27",3,0,8,0,0,0,-7,0,-7,0,0,0,NA,0,0,-1.00537760683103e-07,0,-1.00537760683103e-07,0,69625581
"2020/01/28",6,0,14,0,0,0,-13,0,-13,0,0,0,NA,0,0,-1.86712984125763e-07,0,-1.86712984125763e-07,0,69625581
"2020/01/29",0,0,14,0,0,0,-12,0,-12,0,0,0,NA,0,0,-1.72350446885319e-07,0,-1.72350446885319e-07,0,69625581
"2020/01/30",0,0,14,0,0,0,-12,0,-12,0,0,0,NA,0,0,-1.72350446885319e-07,0,-1.72350446885319e-07,0,69625581
"2020/01/31",0,0,14,0,0,0,-12,0,-12,0,0,0,NA,0,0,-1.72350446885319e-07,0,-1.72350446885319e-07,0,69625581
"2020/02/01",5,0,19,0,0,0,-17,0,-17,0,0,0,NA,0,0,-2.44163133087536e-07,0,-2.44163133087536e-07,0,69625581
"2020/02/02",0,0,19,0,0,0,-17,0,-17,0,0,0,NA,0,0,-2.44163133087536e-07,0,-2.44163133087536e-07,0,69625581
"2020/02/03",0,0,19,0,0,0,-15,0,-15,0,0,0,NA,0,0,-2.15438058606649e-07,0,-2.15438058606649e-07,0,69625581
"2020/02/04",0,0,19,0,0,0,-15,0,-15,0,0,0,NA,0,0,-2.15438058606649e-07,0,-2.15438058606649e-07,0,69625581
"2020/02/05",6,0,25,0,0,0,-21,0,-21,0,0,0,NA,0,0,-3.01613282049309e-07,0,-3.01613282049309e-07,0,69625581
"2020/02/06",0,0,25,0,0,0,-20,0,-20,0,0,0,NA,0,0,-2.87250744808866e-07,0,-2.87250744808866e-07,0,69625581
"2020/02/07",0,0,25,0,0,0,-20,0,-20,0,0,0,NA,0,0,-2.87250744808866e-07,0,-2.87250744808866e-07,0,69625581
"2020/02/08",7,0,32,0,0,0,-24,0,-24,0,0,0,NA,0,0,-3.44700893770639e-07,0,-3.44700893770639e-07,0,69625581
"2020/02/09",0,0,32,0,0,0,-18,0,-18,0,0,0,NA,0,0,-2.58525670327979e-07,0,-2.58525670327979e-07,0,69625581
"2020/02/10",0,0,32,0,0,0,-18,0,-18,0,0,0,NA,0,0,-2.58525670327979e-07,0,-2.58525670327979e-07,0,69625581
"2020/02/11",0,0,32,0,0,0,-18,0,-18,0,0,0,NA,0,0,-2.58525670327979e-07,0,-2.58525670327979e-07,0,69625581
"2020/02/12",1,0,33,0,0,0,-19,0,-19,0,0,0,NA,0,0,-2.72888207568422e-07,0,-2.72888207568422e-07,0,69625581
"2020/02/13",0,0,33,0,0,0,-14,0,-14,0,0,0,NA,0,0,-2.01075521366206e-07,0,-2.01075521366206e-07,0,69625581
"2020/02/14",0,0,33,0,0,0,-14,0,-14,0,0,0,NA,0,0,-2.01075521366206e-07,0,-2.01075521366206e-07,0,69625581
"2020/02/15",1,0,34,0,0,0,-15,0,-15,0,0,0,NA,0,0,-2.15438058606649e-07,0,-2.15438058606649e-07,0,69625581
"2020/02/16",0,0,34,0,0,0,-15,0,-15,0,0,0,NA,0,0,-2.15438058606649e-07,0,-2.15438058606649e-07,0,69625581
"2020/02/17",0,0,34,0,0,0,-9,0,-9,0,0,0,NA,0,0,-1.2926283516399e-07,0,-1.2926283516399e-07,0,69625581
