"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/23","TL",1293120,1,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/30","TL",1293120,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/06","TL",1293120,0,0,1,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/13","TL",1293120,1,0,2,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/20","TL",1293120,17,0,19,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/04/27","TL",1293120,5,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/04","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/11","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/18","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/05/25","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/01","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/08","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/15","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/22","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/06/29","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/06","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/13","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/20","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/07/27","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/03","TL",1293120,0,0,24,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/10","TL",1293120,1,0,25,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/17","TL",1293120,0,0,25,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/24","TL",1293120,1,0,26,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/08/31","TL",1293120,1,0,27,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/07","TL",1293120,0,0,27,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/14","TL",1293120,0,0,27,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/21","TL",1293120,0,0,27,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/09/28","TL",1293120,0,0,27,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/05","TL",1293120,1,0,28,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/12","TL",1293120,0,0,28,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/19","TL",1293120,1,0,29,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/10/26","TL",1293120,0,0,29,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/02","TL",1293120,1,0,30,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/09","TL",1293120,0,0,30,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/16","TL",1293120,0,0,30,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/23","TL",1293120,0,0,30,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/11/30","TL",1293120,0,0,30,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/12/07","TL",1293120,1,0,31,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/12/14","TL",1293120,0,0,31,0,0,0,NA,0,0,0,0,0,NA,0,0,0
