"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/02/15","AL",2862427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","AL",2862427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","AL",2862427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/18","AL",2862427,0,0,0,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,0,0,2.53154990907863e-05,2.53154990907863e-05,2.53154990907863e-05,2.53154990907863e-05
"2020/02/19","AL",2862427,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,2.53154990907863e-05,0,2.53154990907863e-05,2.53154990907863e-05
"2020/02/20","AL",2862427,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,2.53154990907863e-05,0,2.53154990907863e-05,2.53154990907863e-05
"2020/02/21","AL",2862427,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,2.53154990907863e-05,0,2.53154990907863e-05,2.53154990907863e-05
"2020/02/22","AL",2862427,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,2.53154990907863e-05,0,2.53154990907863e-05,2.53154990907863e-05
"2020/02/23","AL",2862427,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,2.53154990907863e-05,0,2.53154990907863e-05,2.53154990907863e-05
"2020/02/24","AL",2862427,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,2.53154990907863e-05,0,2.53154990907863e-05,2.53154990907863e-05
"2020/02/25","AL",2862427,0,0,0,0,144.927536231884,72.463768115942,144.927536231884,144.927536231884,0,0,5.06309981815725e-05,2.53154990907863e-05,5.06309981815725e-05,5.06309981815725e-05
"2020/02/26","AL",2862427,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,5.06309981815725e-05,0,5.06309981815725e-05,5.06309981815725e-05
"2020/02/27","AL",2862427,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,5.06309981815725e-05,0,5.06309981815725e-05,5.06309981815725e-05
"2020/02/28","AL",2862427,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,5.06309981815725e-05,0,5.06309981815725e-05,5.06309981815725e-05
"2020/02/29","AL",2862427,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,5.06309981815725e-05,0,5.06309981815725e-05,5.06309981815725e-05
