"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/02/18","AR",44780675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/19","AR",44780675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/20","AR",44780675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","AR",44780675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","AR",44780675,0,0,0,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,0,0,1.61819285028513e-06,1.61819285028513e-06,1.61819285028513e-06,1.61819285028513e-06
"2020/02/23","AR",44780675,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.61819285028513e-06,0,1.61819285028513e-06,1.61819285028513e-06
"2020/02/24","AR",44780675,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.61819285028513e-06,0,1.61819285028513e-06,1.61819285028513e-06
"2020/02/25","AR",44780675,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.61819285028513e-06,0,1.61819285028513e-06,1.61819285028513e-06
"2020/02/26","AR",44780675,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.61819285028513e-06,0,1.61819285028513e-06,1.61819285028513e-06
"2020/02/27","AR",44780675,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.61819285028513e-06,0,1.61819285028513e-06,1.61819285028513e-06
"2020/02/28","AR",44780675,0,0,0,0,144.927536231884,72.463768115942,144.927536231884,144.927536231884,0,0,3.23638570057026e-06,1.61819285028513e-06,3.23638570057026e-06,3.23638570057026e-06
"2020/02/29","AR",44780675,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,3.23638570057026e-06,0,3.23638570057026e-06,3.23638570057026e-06
"2020/03/01","AR",44780675,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,3.23638570057026e-06,0,3.23638570057026e-06,3.23638570057026e-06
"2020/03/02","AR",44780675,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,3.23638570057026e-06,0,3.23638570057026e-06,3.23638570057026e-06
"2020/03/03","AR",44780675,0,0,0,0,144.927536231884,0,144.927536231884,144.927536231884,0,0,3.23638570057026e-06,0,3.23638570057026e-06,3.23638570057026e-06
"2020/03/04","AR",44780675,1,0,1,0,144.927536231884,0,144.927536231884,144.927536231884,2.23310613339348e-08,0,3.23638570057026e-06,0,3.23638570057026e-06,3.23638570057026e-06
