"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/08","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/09","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/10","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/11","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/12","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/13","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/14","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/15","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/16","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/17","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/18","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/19","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/25","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/26","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/28","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/29","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/30","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/31","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/01","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/02","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/04","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/05","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/06","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/07","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/08","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/09","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/10","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/11","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/12","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/13","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/14","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/15","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/18","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/19","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/20","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","GE",3996762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","GE",3996762,1,0,1,0,0,0,0,0,2.50202538955284e-07,0,0,0,0,0
"2020/02/28","GE",3996762,0,0,1,0,0,0,0,0,2.50202538955284e-07,0,0,0,0,0
"2020/02/29","GE",3996762,1,0,2,0,0,0,0,0,5.00405077910569e-07,0,0,0,0,0
"2020/03/01","GE",3996762,1,0,3,0,0,0,0,0,7.50607616865853e-07,0,0,0,0,0
"2020/03/02","GE",3996762,0,0,3,0,0,0,0,0,7.50607616865853e-07,0,0,0,0,0
"2020/03/03","GE",3996762,0,0,3,0,0,0,0,0,7.50607616865853e-07,0,0,0,0,0
"2020/03/04","GE",3996762,0,0,3,0,0,0,0,0,7.50607616865853e-07,0,0,0,0,0
"2020/03/05","GE",3996762,0,0,3,0,0,0,0,0,7.50607616865853e-07,0,0,0,0,0
"2020/03/06","GE",3996762,6,0,9,0,0,0,0,0,2.25182285059756e-06,0,0,0,0,0
"2020/03/07","GE",3996762,0,0,9,0,0,0,0,0,2.25182285059756e-06,0,0,0,0,0
"2020/03/08","GE",3996762,3,0,12,0,0,0,0,0,3.00243046746341e-06,0,0,0,0,0
"2020/03/09","GE",3996762,1,0,13,0,0,0,0,0,3.2526330064187e-06,0,0,0,0,0
"2020/03/10","GE",3996762,2,0,15,0,0,0,0,0,3.75303808432926e-06,0,0,0,0,0
"2020/03/11","GE",3996762,8,0,23,0,0,0,0,0,5.75465839597154e-06,0,0,0,0,0
"2020/03/12","GE",3996762,1,0,24,0,0,0,0,0,6.00486093492682e-06,0,0,0,0,0
"2020/03/13","GE",3996762,1,0,25,0,0,0,0,0,6.25506347388211e-06,0,0,0,0,0
"2020/03/14","GE",3996762,5,0,30,0,144.927536231884,144.927536231884,144.927536231884,144.927536231884,7.50607616865853e-06,0,3.62612375297514e-05,3.62612375297514e-05,3.62612375297514e-05,3.62612375297514e-05
"2020/03/15","GE",3996762,0,0,30,0,144.927536231884,0,144.927536231884,144.927536231884,7.50607616865853e-06,0,3.62612375297514e-05,0,3.62612375297514e-05,3.62612375297514e-05
"2020/03/16","GE",3996762,0,0,30,0,217.391304347826,72.463768115942,217.391304347826,217.391304347826,7.50607616865853e-06,0,5.4391856294627e-05,1.81306187648757e-05,5.4391856294627e-05,5.4391856294627e-05
"2020/03/17","GE",3996762,3,0,33,0,217.391304347826,0,217.391304347826,217.391304347826,8.25668378552438e-06,0,5.4391856294627e-05,0,5.4391856294627e-05,5.4391856294627e-05
"2020/03/18","GE",3996762,1,0,34,0,217.391304347826,0,217.391304347826,217.391304347826,8.50688632447967e-06,0,5.4391856294627e-05,0,5.4391856294627e-05,5.4391856294627e-05
"2020/03/19","GE",3996762,0,0,34,0,217.391304347826,0,217.391304347826,217.391304347826,8.50688632447967e-06,0,5.4391856294627e-05,0,5.4391856294627e-05,5.4391856294627e-05
"2020/03/20","GE",3996762,6,0,40,0,217.391304347826,0,217.391304347826,217.391304347826,1.00081015582114e-05,0,5.4391856294627e-05,0,5.4391856294627e-05,5.4391856294627e-05
"2020/03/21","GE",3996762,3,0,43,0,217.391304347826,0,217.391304347826,217.391304347826,1.07587091750772e-05,0,5.4391856294627e-05,0,5.4391856294627e-05,5.4391856294627e-05
"2020/03/22","GE",3996762,6,0,49,0,217.391304347826,0,217.391304347826,217.391304347826,1.22599244088089e-05,0,5.4391856294627e-05,0,5.4391856294627e-05,5.4391856294627e-05
"2020/03/23","GE",3996762,5,0,54,0,217.391304347826,0,217.391304347826,217.391304347826,1.35109371035854e-05,0,5.4391856294627e-05,0,5.4391856294627e-05,5.4391856294627e-05
