"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/16","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/17","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/18","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/19","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/25","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/26","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/28","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/29","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/30","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/31","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/01","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/02","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/04","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/05","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/06","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/07","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/08","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/09","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/10","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/11","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/12","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/13","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/14","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/15","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/18","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/19","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/20","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","LT",2794184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
