"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/02/22","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/28","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/29","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/01","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/02","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/03","MD",4043258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/04","MD",4043258,0,0,0,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,0,0,1.79221232273434e-05,1.79221232273434e-05,1.79221232273434e-05,1.79221232273434e-05
"2020/03/05","MD",4043258,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.79221232273434e-05,0,1.79221232273434e-05,1.79221232273434e-05
"2020/03/06","MD",4043258,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.79221232273434e-05,0,1.79221232273434e-05,1.79221232273434e-05
"2020/03/07","MD",4043258,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,1.79221232273434e-05,0,1.79221232273434e-05,1.79221232273434e-05
"2020/03/08","MD",4043258,1,0,1,0,72.463768115942,0,72.463768115942,72.463768115942,2.47325300537339e-07,0,1.79221232273434e-05,0,1.79221232273434e-05,1.79221232273434e-05
"2020/03/09","MD",4043258,0,0,1,0,72.463768115942,0,72.463768115942,72.463768115942,2.47325300537339e-07,0,1.79221232273434e-05,0,1.79221232273434e-05,1.79221232273434e-05
"2020/03/10","MD",4043258,0,0,1,0,72.463768115942,0,72.463768115942,72.463768115942,2.47325300537339e-07,0,1.79221232273434e-05,0,1.79221232273434e-05,1.79221232273434e-05
