"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/25","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/26","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/27","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/28","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/29","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/30","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/31","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/01","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/02","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/03","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/04","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/05","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/06","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/07","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/08","ST",215048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/09","ST",215048,4,0,4,0,0,0,0,0,1.86004984933596e-05,0,0,0,0,0
"2020/04/10","ST",215048,0,0,4,0,0,0,0,0,1.86004984933596e-05,0,0,0,0,0
"2020/04/11","ST",215048,0,0,4,0,0,0,0,0,1.86004984933596e-05,0,0,0,0,0
"2020/04/12","ST",215048,0,0,4,0,0,0,0,0,1.86004984933596e-05,0,0,0,0,0
"2020/04/13","ST",215048,0,0,4,0,0,0,0,0,1.86004984933596e-05,0,0,0,0,0
"2020/04/14","ST",215048,0,0,4,0,0,0,0,0,1.86004984933596e-05,0,0,0,0,0
"2020/04/15","ST",215048,0,0,4,0,0,0,0,0,1.86004984933596e-05,0,0,0,0,0
"2020/04/16","ST",215048,0,0,4,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,1.86004984933596e-05,0,0.000336965552415935,0.000336965552415935,0.000336965552415935,0.000336965552415935
"2020/04/17","ST",215048,0,0,4,0,72.463768115942,0,72.463768115942,72.463768115942,1.86004984933596e-05,0,0.000336965552415935,0,0.000336965552415935,0.000336965552415935
"2020/04/18","ST",215048,0,0,4,0,72.463768115942,0,72.463768115942,72.463768115942,1.86004984933596e-05,0,0.000336965552415935,0,0.000336965552415935,0.000336965552415935
"2020/04/19","ST",215048,0,0,4,0,72.463768115942,0,72.463768115942,72.463768115942,1.86004984933596e-05,0,0.000336965552415935,0,0.000336965552415935,0.000336965552415935
"2020/04/20","ST",215048,0,0,4,0,217.391304347826,144.927536231884,217.391304347826,217.391304347826,1.86004984933596e-05,0,0.00101089665724781,0.00067393110483187,0.00101089665724781,0.00101089665724781
"2020/04/21","ST",215048,0,0,4,0,217.391304347826,0,217.391304347826,217.391304347826,1.86004984933596e-05,0,0.00101089665724781,0,0.00101089665724781,0.00101089665724781
"2020/04/22","ST",215048,0,0,4,0,217.391304347826,0,217.391304347826,217.391304347826,1.86004984933596e-05,0,0.00101089665724781,0,0.00101089665724781,0.00101089665724781
"2020/04/23","ST",215048,3,0,7,0,289.855072463768,72.463768115942,289.855072463768,289.855072463768,3.25508723633793e-05,0,0.00134786220966374,0.000336965552415935,0.00134786220966374,0.00134786220966374
"2020/04/24","ST",215048,1,0,8,0,362.31884057971,72.463768115942,362.31884057971,362.31884057971,3.72009969867192e-05,0,0.00168482776207968,0.000336965552415935,0.00168482776207968,0.00168482776207968
"2020/04/25","ST",215048,0,0,8,0,362.31884057971,0,362.31884057971,362.31884057971,3.72009969867192e-05,0,0.00168482776207968,0,0.00168482776207968,0.00168482776207968
"2020/04/26","ST",215048,0,0,8,0,362.31884057971,0,362.31884057971,362.31884057971,3.72009969867192e-05,0,0.00168482776207968,0,0.00168482776207968,0.00168482776207968
"2020/04/27","ST",215048,0,0,8,0,362.31884057971,0,362.31884057971,362.31884057971,3.72009969867192e-05,0,0.00168482776207968,0,0.00168482776207968,0.00168482776207968
"2020/04/28","ST",215048,0,0,8,0,434.782608695652,72.4637681159421,362.31884057971,434.782608695652,3.72009969867192e-05,0,0.00202179331449561,0.000336965552415935,0.00168482776207968,0.00202179331449561
"2020/04/29","ST",215048,3,0,11,0,507.246376811594,72.463768115942,434.782608695652,507.246376811594,5.1151370856739e-05,0,0.00235875886691155,0.000336965552415935,0.00202179331449561,0.00235875886691155
"2020/04/30","ST",215048,3,0,14,0,507.246376811594,0,434.782608695652,507.246376811594,6.51017447267587e-05,0,0.00235875886691155,0,0.00202179331449561,0.00235875886691155
"2020/05/01","ST",215048,2,1,16,1,507.246376811594,0,434.782608695652,507.246376811594,7.44019939734385e-05,4.65012462333991e-06,0.00235875886691155,0,0.00202179331449561,0.00235875886691155
