"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/02/20","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/28","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/29","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/01","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/02","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/03","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/04","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/05","ZA",58558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/06","ZA",58558267,1,0,1,0,0,0,0,0,1.70770081020328e-08,0,0,0,0,0
"2020/03/07","ZA",58558267,0,0,1,0,0,0,0,0,1.70770081020328e-08,0,0,0,0,0
"2020/03/08","ZA",58558267,1,0,2,0,0,0,0,0,3.41540162040656e-08,0,0,0,0,0
"2020/03/09","ZA",58558267,1,0,3,0,0,0,0,0,5.12310243060984e-08,0,0,0,0,0
"2020/03/10","ZA",58558267,4,0,7,0,0,0,0,0,1.1953905671423e-07,0,0,0,0,0
"2020/03/11","ZA",58558267,0,0,7,0,0,0,0,0,1.1953905671423e-07,0,0,0,0,0
"2020/03/12","ZA",58558267,6,0,13,0,144.927536231884,144.927536231884,144.927536231884,144.927536231884,2.22001105326426e-07,0,2.47492871043954e-06,2.47492871043954e-06,2.47492871043954e-06,2.47492871043954e-06
"2020/03/13","ZA",58558267,4,0,17,0,144.927536231884,0,144.927536231884,144.927536231884,2.90309137734558e-07,0,2.47492871043954e-06,0,2.47492871043954e-06,2.47492871043954e-06
"2020/03/14","ZA",58558267,7,0,24,0,144.927536231884,0,144.927536231884,144.927536231884,4.09848194448787e-07,0,2.47492871043954e-06,0,2.47492871043954e-06,2.47492871043954e-06
"2020/03/15","ZA",58558267,0,0,24,0,144.927536231884,0,144.927536231884,144.927536231884,4.09848194448787e-07,0,2.47492871043954e-06,0,2.47492871043954e-06,2.47492871043954e-06
"2020/03/16","ZA",58558267,27,0,51,0,217.391304347826,72.463768115942,217.391304347826,217.391304347826,8.70927413203673e-07,0,3.7123930656593e-06,1.23746435521977e-06,3.7123930656593e-06,3.7123930656593e-06
"2020/03/17","ZA",58558267,11,0,62,0,362.31884057971,144.927536231884,362.31884057971,362.31884057971,1.05877450232603e-06,0,6.18732177609884e-06,2.47492871043954e-06,6.18732177609884e-06,6.18732177609884e-06
"2020/03/18","ZA",58558267,23,0,85,0,362.31884057971,0,362.31884057971,362.31884057971,1.45154568867279e-06,0,6.18732177609884e-06,0,6.18732177609884e-06,6.18732177609884e-06
"2020/03/19","ZA",58558267,31,0,116,0,362.31884057971,0,362.31884057971,362.31884057971,1.9809329398358e-06,0,6.18732177609884e-06,0,6.18732177609884e-06,6.18732177609884e-06
"2020/03/20","ZA",58558267,34,0,150,0,507.246376811594,144.927536231884,507.246376811594,507.246376811594,2.56155121530492e-06,0,8.66225048653838e-06,2.47492871043954e-06,8.66225048653838e-06,8.66225048653838e-06
"2020/03/21","ZA",58558267,55,0,205,0,652.173913043478,144.927536231884,652.173913043478,652.173913043478,3.50078666091672e-06,0,1.11371791969779e-05,2.47492871043954e-06,1.11371791969779e-05,1.11371791969779e-05
"2020/03/22","ZA",58558267,35,0,240,0,797.101449275362,144.927536231884,797.101449275362,797.101449275362,4.09848194448787e-06,0,1.36121079074175e-05,2.47492871043954e-06,1.36121079074175e-05,1.36121079074175e-05
"2020/03/23","ZA",58558267,34,0,274,0,869.565217391304,72.463768115942,869.565217391304,869.565217391304,4.67910021995699e-06,0,1.48495722626372e-05,1.23746435521977e-06,1.48495722626372e-05,1.48495722626372e-05
"2020/03/24","ZA",58558267,128,0,402,0,942.028985507246,72.463768115942,797.101449275362,942.028985507246,6.86495725701719e-06,0,1.6087036617857e-05,1.23746435521977e-06,1.36121079074174e-05,1.6087036617857e-05
