"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"5438","2019/12/31","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5437","2020/01/01","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5436","2020/01/02","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5435","2020/01/03","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5434","2020/01/04","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5433","2020/01/05","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5432","2020/01/06","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5431","2020/01/07","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5430","2020/01/08","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5429","2020/01/09","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5428","2020/01/10","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5427","2020/01/11","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5426","2020/01/12","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5425","2020/01/13","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5424","2020/01/14","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5423","2020/01/15","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5422","2020/01/16","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5421","2020/01/17","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5420","2020/01/18","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5419","2020/01/19","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5418","2020/01/20","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5417","2020/01/21","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5416","2020/01/22","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5415","2020/01/23","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5414","2020/01/24","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5413","2020/01/25","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5412","2020/01/26","BE",11455519,0,0,0,0,0,0,0,0,0,0
"5411","2020/01/27","BE",11455519,0,0,0,0,0,0,0,0,0,0
