"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"879","2020/03/30","BZ",390351,2,0,2,0,2,2,5.1235938937008e-06,5.1235938937008e-06,5.1235938937008e-06,5.1235938937008e-06
"878","2020/04/06","BZ",390351,3,1,5,1,5,5,1.2808984734252e-05,7.6853908405512e-06,1.2808984734252e-05,1.2808984734252e-05
"877","2020/04/13","BZ",390351,9,1,14,2,14,14,3.58651572559056e-05,2.30561725216536e-05,3.58651572559056e-05,3.58651572559056e-05
"876","2020/04/20","BZ",390351,4,0,18,2,18,18,4.61123450433072e-05,1.02471877874016e-05,4.61123450433072e-05,4.61123450433072e-05
"875","2020/04/27","BZ",390351,0,0,18,2,18,18,4.61123450433072e-05,0,4.61123450433072e-05,4.61123450433072e-05
"874","2020/05/04","BZ",390351,0,0,18,2,18,18,4.61123450433072e-05,0,4.61123450433072e-05,4.61123450433072e-05
"873","2020/05/11","BZ",390351,0,0,18,2,18,18,4.61123450433072e-05,0,4.61123450433072e-05,4.61123450433072e-05
"872","2020/05/18","BZ",390351,0,0,18,2,18,18,4.61123450433072e-05,0,4.61123450433072e-05,4.61123450433072e-05
"871","2020/05/25","BZ",390351,0,0,18,2,18,18,4.61123450433072e-05,0,4.61123450433072e-05,4.61123450433072e-05
"870","2020/06/01","BZ",390351,0,0,18,2,18,18,4.61123450433072e-05,0,4.61123450433072e-05,4.61123450433072e-05
"869","2020/06/08","BZ",390351,0,0,18,2,18,18,4.61123450433072e-05,0,4.61123450433072e-05,4.61123450433072e-05
"868","2020/06/15","BZ",390351,3,0,21,2,21,21,5.37977358838584e-05,7.6853908405512e-06,5.37977358838584e-05,5.37977358838584e-05
"867","2020/06/22","BZ",390351,1,0,22,2,20,22,5.63595328307088e-05,2.5617969468504e-06,5.1235938937008e-05,5.63595328307088e-05
"866","2020/06/29","BZ",390351,2,0,24,2,19,24,6.14831267244096e-05,5.1235938937008e-06,4.86741419901576e-05,6.14831267244096e-05
"865","2020/07/06","BZ",390351,6,0,30,2,16,30,7.6853908405512e-05,1.53707816811024e-05,4.09887511496064e-05,7.6853908405512e-05
"864","2020/07/13","BZ",390351,7,0,37,2,19,37,9.47864870334648e-05,1.79325786279528e-05,4.86741419901576e-05,9.47864870334648e-05
"863","2020/07/20","BZ",390351,3,0,40,2,22,40,0.000102471877874016,7.6853908405512e-06,5.63595328307088e-05,0.000102471877874016
"862","2020/07/27","BZ",390351,8,0,48,2,30,48,0.000122966253448819,2.04943755748032e-05,7.6853908405512e-05,0.000122966253448819
"861","2020/08/03","BZ",390351,9,0,57,2,39,55,0.000146022425970473,2.30561725216536e-05,9.99100809271655e-05,0.000140898832076772
"860","2020/08/10","BZ",390351,97,0,154,2,136,149,0.000394516729814961,0.000248494303844489,0.000348404384771654,0.000381707745080709
"859","2020/08/17","BZ",390351,298,1,452,3,434,438,0.00115793221997638,0.000763415490161419,0.00111181987493307,0.00112206706272047
"858","2020/08/24","BZ",390351,234,3,686,6,668,668,0.00175739270553937,0.000599460485562993,0.00171128036049607,0.00171128036049607
"857","2020/08/31","BZ",390351,308,7,994,13,976,976,0.0025464261651693,0.000789033459629923,0.00250031382012599,0.00250031382012599
"856","2020/09/07","BZ",390351,267,2,1261,15,1240,1243,0.00323042594997835,0.000683999784809056,0.00317662821409449,0.00318431360493505
"855","2020/09/14","BZ",390351,219,4,1480,19,1458,1462,0.00379145948133859,0.000561033531360237,0.00373509994850788,0.00374534713629528
"854","2020/09/21","BZ",390351,147,2,1627,21,1603,1609,0.0041680436325256,0.000376584151187009,0.00410656050580119,0.00412193128748229
"853","2020/09/28","BZ",390351,227,3,1854,24,1824,1836,0.00474957153946064,0.00058152790693504,0.00467271763105513,0.00470345919441733
"852","2020/10/05","BZ",390351,342,6,2196,30,2159,2178,0.00562570609528348,0.000876134555822836,0.00553091960825001,0.00557959375024017
"851","2020/10/12","BZ",390351,231,5,2427,35,2387,2409,0.00621748119000592,0.000591775094722442,0.0061150093121319,0.00617136884496261
"850","2020/10/19","BZ",390351,386,9,2813,44,2765,2792,0.00720633481149017,0.000988853621484254,0.00708336855804135,0.00715253707560631
"849","2020/10/26","BZ",390351,332,6,3145,50,3088,3123,0.0080568513978445,0.000850516586354332,0.00791082897187403,0.0080004918650138
"848","2020/11/02","BZ",390351,317,8,3462,58,3308,3438,0.00886894102999608,0.000812089632151576,0.00847442430018112,0.00880745790327167
"847","2020/11/09","BZ",390351,714,12,4176,70,3724,4146,0.0106980640500473,0.00182912302005118,0.00954013183007089,0.0106212101416418
"846","2020/11/16","BZ",390351,685,20,4861,90,4175,4824,0.0124528949586398,0.00175483090859252,0.0106955022531004,0.0123581084716063
"845","2020/11/23","BZ",390351,322,26,5183,116,4189,5143,0.0132777935755256,0.000824898616885828,0.0107313674103563,0.0131753216976516
"844","2020/11/30","BZ",390351,560,31,5743,147,4482,5695,0.0147123998657618,0.00143460629023622,0.0114819739157835,0.014589433612313
"843","2020/12/07","BZ",390351,2026,26,7769,173,6289,7712,0.0199026004800807,0.00519020061431891,0.0161111409987422,0.0197565780541103
"842","2020/12/14","BZ",390351,1526,22,9295,195,7668,9141,0.0238119026209745,0.00390930214089371,0.0196438589884489,0.0234173858911595
