"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"9702","2020/03/16","CF",4745179,1,0,1,0,1,1,2.10740206006981e-07,2.10740206006981e-07,2.10740206006981e-07,2.10740206006981e-07
"9701","2020/03/17","CF",4745179,0,0,1,0,1,1,2.10740206006981e-07,0,2.10740206006981e-07,2.10740206006981e-07
"9700","2020/03/18","CF",4745179,0,0,1,0,1,1,2.10740206006981e-07,0,2.10740206006981e-07,2.10740206006981e-07
"9699","2020/03/19","CF",4745179,0,0,1,0,1,1,2.10740206006981e-07,0,2.10740206006981e-07,2.10740206006981e-07
"9698","2020/03/20","CF",4745179,0,0,1,0,1,1,2.10740206006981e-07,0,2.10740206006981e-07,2.10740206006981e-07
"9697","2020/03/21","CF",4745179,0,0,1,0,1,1,2.10740206006981e-07,0,2.10740206006981e-07,2.10740206006981e-07
"9696","2020/03/22","CF",4745179,2,0,3,0,3,3,6.32220618020943e-07,4.21480412013962e-07,6.32220618020943e-07,6.32220618020943e-07
"9695","2020/03/23","CF",4745179,1,0,4,0,4,4,8.42960824027924e-07,2.10740206006981e-07,8.42960824027924e-07,8.42960824027924e-07
"9694","2020/03/24","CF",4745179,0,0,4,0,4,4,8.42960824027924e-07,0,8.42960824027924e-07,8.42960824027924e-07
"9693","2020/03/25","CF",4745179,0,0,4,0,4,4,8.42960824027924e-07,0,8.42960824027924e-07,8.42960824027924e-07
"9692","2020/03/26","CF",4745179,0,0,4,0,4,4,8.42960824027924e-07,0,8.42960824027924e-07,8.42960824027924e-07
"9691","2020/03/27","CF",4745179,1,0,5,0,5,5,1.0537010300349e-06,2.10740206006981e-07,1.0537010300349e-06,1.0537010300349e-06
"9690","2020/03/28","CF",4745179,0,0,5,0,4,5,1.0537010300349e-06,0,8.42960824027924e-07,1.0537010300349e-06
"9689","2020/03/29","CF",4745179,1,0,6,0,5,6,1.26444123604189e-06,2.10740206006981e-07,1.0537010300349e-06,1.26444123604189e-06
"9688","2020/03/30","CF",4745179,0,0,6,0,5,6,1.26444123604189e-06,0,1.0537010300349e-06,1.26444123604189e-06
"9687","2020/03/31","CF",4745179,0,0,6,0,5,6,1.26444123604189e-06,0,1.0537010300349e-06,1.26444123604189e-06
"9686","2020/04/01","CF",4745179,0,0,6,0,5,6,1.26444123604189e-06,0,1.0537010300349e-06,1.26444123604189e-06
"9685","2020/04/02","CF",4745179,2,0,8,0,7,8,1.68592164805585e-06,4.21480412013962e-07,1.47518144204887e-06,1.68592164805585e-06
"9684","2020/04/03","CF",4745179,0,0,8,0,5,7,1.68592164805585e-06,0,1.0537010300349e-06,1.47518144204887e-06
"9683","2020/04/04","CF",4745179,0,0,8,0,4,7,1.68592164805585e-06,0,8.42960824027924e-07,1.47518144204887e-06
"9682","2020/04/05","CF",4745179,1,0,9,0,5,8,1.89666185406283e-06,2.10740206006981e-07,1.0537010300349e-06,1.68592164805585e-06
"9681","2020/04/06","CF",4745179,0,0,9,0,5,8,1.89666185406283e-06,0,1.0537010300349e-06,1.68592164805585e-06
"9680","2020/04/07","CF",4745179,0,0,9,0,5,8,1.89666185406283e-06,0,1.0537010300349e-06,1.68592164805585e-06
"9679","2020/04/08","CF",4745179,0,0,9,0,4,8,1.89666185406283e-06,0,8.42960824027924e-07,1.68592164805585e-06
"9678","2020/04/09","CF",4745179,1,0,10,0,5,7,2.10740206006981e-06,2.10740206006981e-07,1.0537010300349e-06,1.47518144204887e-06
