"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"20767","2019/12/31","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20766","2020/01/01","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20765","2020/01/02","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20764","2020/01/03","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20763","2020/01/04","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20762","2020/01/05","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20761","2020/01/06","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20760","2020/01/07","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20759","2020/01/08","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20758","2020/01/09","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20757","2020/01/10","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20756","2020/01/11","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20755","2020/01/12","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20754","2020/01/13","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20753","2020/01/14","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20752","2020/01/15","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20751","2020/01/16","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20750","2020/01/17","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20749","2020/01/18","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20748","2020/01/19","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20747","2020/01/20","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20746","2020/01/21","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20745","2020/01/22","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20744","2020/01/23","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20743","2020/01/24","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20742","2020/01/25","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20741","2020/01/26","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20740","2020/01/27","DE",83019213,0,0,0,0,0,0,0,0,0,0
"20739","2020/01/28","DE",83019213,1,0,1,0,1,1,1.20454044776358e-08,1.20454044776358e-08,1.20454044776358e-08,1.20454044776358e-08
"20738","2020/01/29","DE",83019213,3,0,4,0,4,4,4.81816179105432e-08,3.61362134329074e-08,4.81816179105432e-08,4.81816179105432e-08
"20737","2020/01/30","DE",83019213,0,0,4,0,4,4,4.81816179105432e-08,0,4.81816179105432e-08,4.81816179105432e-08
"20736","2020/01/31","DE",83019213,1,0,5,0,5,5,6.0227022388179e-08,1.20454044776358e-08,6.0227022388179e-08,6.0227022388179e-08
"20735","2020/02/01","DE",83019213,2,0,7,0,7,7,8.43178313434506e-08,2.40908089552716e-08,8.43178313434506e-08,8.43178313434506e-08
"20734","2020/02/02","DE",83019213,1,0,8,0,8,8,9.63632358210864e-08,1.20454044776358e-08,9.63632358210864e-08,9.63632358210864e-08
"20733","2020/02/03","DE",83019213,1,0,9,0,9,9,1.08408640298722e-07,1.20454044776358e-08,1.08408640298722e-07,1.08408640298722e-07
"20732","2020/02/04","DE",83019213,2,0,11,0,11,11,1.32499449253994e-07,2.40908089552716e-08,1.32499449253994e-07,1.32499449253994e-07
"20731","2020/02/05","DE",83019213,0,0,11,0,11,11,1.32499449253994e-07,0,1.32499449253994e-07,1.32499449253994e-07
"20730","2020/02/06","DE",83019213,0,0,11,0,11,11,1.32499449253994e-07,0,1.32499449253994e-07,1.32499449253994e-07
"20729","2020/02/07","DE",83019213,1,0,12,0,12,12,1.4454485373163e-07,1.20454044776358e-08,1.4454485373163e-07,1.4454485373163e-07
"20728","2020/02/08","DE",83019213,1,0,13,0,13,13,1.56590258209265e-07,1.20454044776358e-08,1.56590258209265e-07,1.56590258209265e-07
"20727","2020/02/09","DE",83019213,0,0,13,0,12,13,1.56590258209265e-07,0,1.4454485373163e-07,1.56590258209265e-07
"20726","2020/02/10","DE",83019213,0,0,13,0,9,13,1.56590258209265e-07,0,1.08408640298722e-07,1.56590258209265e-07
"20725","2020/02/11","DE",83019213,0,0,13,0,9,13,1.56590258209265e-07,0,1.08408640298722e-07,1.56590258209265e-07
"20724","2020/02/12","DE",83019213,2,0,15,0,10,15,1.80681067164537e-07,2.40908089552716e-08,1.20454044776358e-07,1.80681067164537e-07
"20723","2020/02/13","DE",83019213,0,0,15,0,8,15,1.80681067164537e-07,0,9.63632358210864e-08,1.80681067164537e-07
"20722","2020/02/14","DE",83019213,0,0,15,0,7,15,1.80681067164537e-07,0,8.43178313434506e-08,1.80681067164537e-07
"20721","2020/02/15","DE",83019213,0,0,15,0,6,14,1.80681067164537e-07,0,7.22724268658148e-08,1.68635662686901e-07
"20720","2020/02/16","DE",83019213,0,0,15,0,4,11,1.80681067164537e-07,0,4.81816179105432e-08,1.32499449253994e-07
"20719","2020/02/17","DE",83019213,0,0,15,0,4,11,1.80681067164537e-07,0,4.81816179105432e-08,1.32499449253994e-07
"20718","2020/02/18","DE",83019213,0,0,15,0,4,10,1.80681067164537e-07,0,4.81816179105432e-08,1.20454044776358e-07
"20717","2020/02/19","DE",83019213,0,0,15,0,3,8,1.80681067164537e-07,0,3.61362134329074e-08,9.63632358210864e-08
"20716","2020/02/20","DE",83019213,0,0,15,0,2,7,1.80681067164537e-07,0,2.40908089552716e-08,8.43178313434506e-08
"20715","2020/02/21","DE",83019213,0,0,15,0,2,6,1.80681067164537e-07,0,2.40908089552716e-08,7.22724268658148e-08
"20714","2020/02/22","DE",83019213,0,0,15,0,2,4,1.80681067164537e-07,0,2.40908089552716e-08,4.81816179105432e-08
"20713","2020/02/23","DE",83019213,0,0,15,0,2,4,1.80681067164537e-07,0,2.40908089552716e-08,4.81816179105432e-08
