"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"15448","2020/03/23","DM",71808,1,0,1,0,1,1,1.39260249554367e-05,1.39260249554367e-05,1.39260249554367e-05,1.39260249554367e-05
"15447","2020/03/24","DM",71808,0,0,1,0,1,1,1.39260249554367e-05,0,1.39260249554367e-05,1.39260249554367e-05
"15446","2020/03/25","DM",71808,1,0,2,0,2,2,2.78520499108734e-05,1.39260249554367e-05,2.78520499108734e-05,2.78520499108734e-05
"15445","2020/03/26","DM",71808,5,0,7,0,7,7,9.7482174688057e-05,6.96301247771836e-05,9.7482174688057e-05,9.7482174688057e-05
"15444","2020/03/27","DM",71808,4,0,11,0,11,11,0.000153186274509804,5.57040998217469e-05,0.000153186274509804,0.000153186274509804
"15443","2020/03/28","DM",71808,0,0,11,0,11,11,0.000153186274509804,0,0.000153186274509804,0.000153186274509804
"15442","2020/03/29","DM",71808,0,0,11,0,11,11,0.000153186274509804,0,0.000153186274509804,0.000153186274509804
"15441","2020/03/30","DM",71808,0,0,11,0,11,11,0.000153186274509804,0,0.000153186274509804,0.000153186274509804
"15440","2020/03/31","DM",71808,0,0,11,0,11,11,0.000153186274509804,0,0.000153186274509804,0.000153186274509804
"15439","2020/04/01","DM",71808,0,0,11,0,11,11,0.000153186274509804,0,0.000153186274509804,0.000153186274509804
"15438","2020/04/02","DM",71808,1,0,12,0,12,12,0.000167112299465241,1.39260249554367e-05,0.000167112299465241,0.000167112299465241
"15437","2020/04/03","DM",71808,0,0,12,0,12,12,0.000167112299465241,0,0.000167112299465241,0.000167112299465241
"15436","2020/04/04","DM",71808,2,0,14,0,13,14,0.000194964349376114,2.78520499108734e-05,0.000181038324420677,0.000194964349376114
"15435","2020/04/05","DM",71808,0,0,14,0,13,14,0.000194964349376114,0,0.000181038324420677,0.000194964349376114
"15434","2020/04/06","DM",71808,0,0,14,0,12,14,0.000194964349376114,0,0.000167112299465241,0.000194964349376114
"15433","2020/04/07","DM",71808,1,0,15,0,8,15,0.000208890374331551,1.39260249554367e-05,0.000111408199643494,0.000208890374331551
"15432","2020/04/08","DM",71808,0,0,15,0,4,15,0.000208890374331551,0,5.57040998217469e-05,0.000208890374331551
"15431","2020/04/09","DM",71808,0,0,15,0,4,15,0.000208890374331551,0,5.57040998217469e-05,0.000208890374331551
"15430","2020/04/10","DM",71808,1,0,16,0,5,15,0.000222816399286988,1.39260249554367e-05,6.96301247771836e-05,0.000208890374331551
"15429","2020/04/11","DM",71808,0,0,16,0,5,15,0.000222816399286988,0,6.96301247771836e-05,0.000208890374331551
"15428","2020/04/12","DM",71808,0,0,16,0,5,14,0.000222816399286988,0,6.96301247771836e-05,0.000194964349376114
"15427","2020/04/13","DM",71808,0,0,16,0,5,9,0.000222816399286988,0,6.96301247771836e-05,0.00012533422459893
"15426","2020/04/14","DM",71808,0,0,16,0,4,5,0.000222816399286988,0,5.57040998217469e-05,6.96301247771836e-05
"15425","2020/04/15","DM",71808,0,0,16,0,4,5,0.000222816399286988,0,5.57040998217469e-05,6.96301247771836e-05
"15424","2020/04/16","DM",71808,0,0,16,0,2,5,0.000222816399286988,0,2.78520499108734e-05,6.96301247771836e-05
"15423","2020/04/17","DM",71808,0,0,16,0,2,5,0.000222816399286988,0,2.78520499108734e-05,6.96301247771836e-05
"15422","2020/04/18","DM",71808,0,0,16,0,2,5,0.000222816399286988,0,2.78520499108734e-05,6.96301247771836e-05
"15421","2020/04/19","DM",71808,0,0,16,0,1,5,0.000222816399286988,0,1.39260249554367e-05,6.96301247771836e-05
"15420","2020/04/20","DM",71808,0,0,16,0,1,4,0.000222816399286988,0,1.39260249554367e-05,5.57040998217469e-05
"15419","2020/04/21","DM",71808,0,0,16,0,1,4,0.000222816399286988,0,1.39260249554367e-05,5.57040998217469e-05
"15418","2020/04/22","DM",71808,0,0,16,0,0,2,0.000222816399286988,0,0,2.78520499108734e-05
"15417","2020/04/23","DM",71808,0,0,16,0,0,2,0.000222816399286988,0,0,2.78520499108734e-05
"15416","2020/04/24","DM",71808,0,0,16,0,0,2,0.000222816399286988,0,0,2.78520499108734e-05
"15415","2020/04/25","DM",71808,0,0,16,0,0,1,0.000222816399286988,0,0,1.39260249554367e-05
"15414","2020/04/26","DM",71808,0,0,16,0,0,1,0.000222816399286988,0,0,1.39260249554367e-05
"15413","2020/04/27","DM",71808,0,0,16,0,0,1,0.000222816399286988,0,0,1.39260249554367e-05
"15412","2020/04/28","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15411","2020/04/29","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15410","2020/04/30","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15409","2020/05/01","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15408","2020/05/02","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15407","2020/05/03","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15406","2020/05/04","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15405","2020/05/05","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15404","2020/05/06","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15403","2020/05/07","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15402","2020/05/08","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15401","2020/05/09","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15400","2020/05/10","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15399","2020/05/11","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15398","2020/05/12","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15397","2020/05/13","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15396","2020/05/14","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15395","2020/05/15","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15394","2020/05/16","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15393","2020/05/17","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15392","2020/05/18","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15391","2020/05/19","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15390","2020/05/20","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15389","2020/05/21","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15388","2020/05/22","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15387","2020/05/23","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15386","2020/05/24","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15385","2020/05/25","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15384","2020/05/26","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15383","2020/05/27","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15382","2020/05/28","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15381","2020/05/29","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15380","2020/05/30","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15379","2020/05/31","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15378","2020/06/01","DM",71808,0,0,16,0,0,0,0.000222816399286988,0,0,0
"15377","2020/06/02","DM",71808,2,0,18,0,2,2,0.000250668449197861,2.78520499108734e-05,2.78520499108734e-05,2.78520499108734e-05
"15376","2020/06/03","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15375","2020/06/04","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15374","2020/06/05","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15373","2020/06/06","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15372","2020/06/07","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15371","2020/06/08","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15370","2020/06/09","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15369","2020/06/10","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15368","2020/06/11","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15367","2020/06/12","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15366","2020/06/13","DM",71808,0,0,18,0,2,2,0.000250668449197861,0,2.78520499108734e-05,2.78520499108734e-05
"15365","2020/06/14","DM",71808,0,0,18,0,0,2,0.000250668449197861,0,0,2.78520499108734e-05
"15364","2020/06/15","DM",71808,0,0,18,0,0,2,0.000250668449197861,0,0,2.78520499108734e-05
"15363","2020/06/16","DM",71808,0,0,18,0,0,2,0.000250668449197861,0,0,2.78520499108734e-05
"15362","2020/06/17","DM",71808,0,0,18,0,0,2,0.000250668449197861,0,0,2.78520499108734e-05
"15361","2020/06/18","DM",71808,0,0,18,0,0,2,0.000250668449197861,0,0,2.78520499108734e-05
"15360","2020/06/19","DM",71808,0,0,18,0,0,2,0.000250668449197861,0,0,2.78520499108734e-05
"15359","2020/06/20","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15358","2020/06/21","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15357","2020/06/22","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15356","2020/06/23","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15355","2020/06/24","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15354","2020/06/25","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15353","2020/06/26","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15352","2020/06/27","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15351","2020/06/28","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15350","2020/06/29","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15349","2020/06/30","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15348","2020/07/01","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15347","2020/07/02","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15346","2020/07/03","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15345","2020/07/04","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15344","2020/07/05","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15343","2020/07/06","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15342","2020/07/07","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15341","2020/07/08","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15340","2020/07/09","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15339","2020/07/10","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15338","2020/07/11","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15337","2020/07/12","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15336","2020/07/13","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15335","2020/07/14","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15334","2020/07/15","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15333","2020/07/16","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15332","2020/07/17","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15331","2020/07/18","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15330","2020/07/19","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15329","2020/07/20","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15328","2020/07/21","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15327","2020/07/22","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
"15326","2020/07/23","DM",71808,0,0,18,0,0,0,0.000250668449197861,0,0,0
