"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"8168","2020/01/06","GB",66647112,0,0,0,0,0,0,0,0,0,0
"8167","2020/01/13","GB",66647112,0,0,0,0,0,0,0,0,0,0
"8166","2020/01/20","GB",66647112,0,0,0,0,0,0,0,0,0,0
"8165","2020/01/27","GB",66647112,0,0,0,0,0,0,0,0,0,0
"8164","2020/02/03","GB",66647112,2,0,2,0,2,2,3.0008802181856e-08,3.0008802181856e-08,3.0008802181856e-08,3.0008802181856e-08
"8163","2020/02/10","GB",66647112,6,0,8,0,8,8,1.20035208727424e-07,9.00264065455679e-08,1.20035208727424e-07,1.20035208727424e-07
"8162","2020/02/17","GB",66647112,2,0,10,0,10,10,1.5004401090928e-07,3.0008802181856e-08,1.5004401090928e-07,1.5004401090928e-07
"8161","2020/02/24","GB",66647112,1,0,11,0,11,11,1.65048412000208e-07,1.5004401090928e-08,1.65048412000208e-07,1.65048412000208e-07
"8160","2020/03/02","GB",66647112,36,0,47,0,47,47,7.05206851273616e-07,5.40158439273408e-07,7.05206851273616e-07,7.05206851273616e-07
"8159","2020/03/09","GB",66647112,365,2,412,2,412,412,6.18181324946233e-06,5.47660639818872e-06,6.18181324946233e-06,6.18181324946233e-06
"8158","2020/03/16","GB",66647112,2193,41,2605,43,2605,2605,3.90864648418674e-05,3.29046515924051e-05,3.90864648418674e-05,3.90864648418674e-05
"8157","2020/03/23","GB",66647112,6329,245,8934,288,8934,8934,0.000134049319346351,9.49628545044833e-05,0.000134049319346351,0.000134049319346351
"8156","2020/03/30","GB",66647112,17889,1388,26823,1676,26823,26823,0.000402463050461962,0.000268413731115611,0.000402463050461962,0.000402463050461962
"8155","2020/04/06","GB",66647112,30357,4197,57180,5873,57180,57180,0.000857951654379263,0.000455488603917301,0.000857951654379263,0.000857951654379263
"8154","2020/04/13","GB",66647112,32205,6440,89385,12313,89385,89385,0.0013411683915126,0.000483216737133336,0.0013411683915126,0.0013411683915126
"8153","2020/04/20","GB",66647112,32027,6166,121412,18479,121412,121412,0.00182171434525175,0.000480545953739151,0.00182171434525175,0.00182171434525175
"8152","2020/04/27","GB",66647112,32830,5512,154242,23991,154240,154242,0.00231430883306692,0.000492594487815166,0.00231427882426473,0.00231430883306692
"8151","2020/05/04","GB",66647112,31282,4227,185524,28218,185516,185524,0.00278367650799332,0.000469367674926409,0.0027835564727846,0.00278367650799332
"8150","2020/05/11","GB",66647112,22867,3174,208391,31392,208381,208391,0.00312678214773958,0.00034310563974625,0.00312663210372867,0.00312678214773958
"8149","2020/05/18","GB",66647112,19857,2428,228248,33820,228237,228248,0.00342472454020213,0.000297942392462557,0.00342455949179013,0.00342472454020213
"8148","2020/05/25","GB",66647112,16360,2137,244608,35957,244561,244608,0.00367019654204971,0.000245472001847582,0.00366949133519844,0.00367019654204971
"8147","2020/06/01","GB",66647112,10907,1488,255515,37445,255103,255515,0.00383384954474847,0.000163653002698752,0.003827667731499,0.00383384954474847
"8146","2020/06/08","GB",66647112,8524,1174,264039,38619,261434,264037,0.00396174705964754,0.00012789751489907,0.00392266059480567,0.00396171705084535
"8145","2020/06/15","GB",66647112,7136,747,271175,39366,262241,271167,0.0040688184658324,0.000107071406184862,0.00393476914648605,0.00406869843062367
"8144","2020/06/22","GB",66647112,6680,512,277855,39878,251032,277845,0.0041690478651198,0.000100229399287399,0.00376658481465784,0.00416889782110889
"8143","2020/06/29","GB",66647112,5240,442,283095,40320,225915,283084,0.00424767092683626,7.86230617164627e-05,0.003389719272457,0.00424750587842426
"8142","2020/07/06","GB",66647112,4026,312,287121,40632,197736,287074,0.00430807864562834,6.04077187920761e-05,0.00296691025411574,0.00430737343877706
"8141","2020/07/13","GB",66647112,4271,213,291392,40845,169980,290980,0.00437216244268769,6.40837970593534e-05,0.00255044809743594,0.00436598062943823
"8140","2020/07/20","GB",66647112,4310,150,295702,40995,141460,293097,0.00443683141138959,6.46689687018996e-05,0.00212252257832267,0.00439774494654772
"8139","2020/07/27","GB",66647112,4549,116,300251,41111,114727,291317,0.00450508643195222,6.82550205626314e-05,0.0017214099239589,0.00437103711260587
"8138","2020/08/03","GB",66647112,4444,96,304695,41207,96304,277872,0.0045717659904003,6.6679558448084e-05,0.00144498384266073,0.00416930293993834
"8137","2020/08/10","GB",66647112,6130,71,310825,41278,82577,253645,0.00466374296908769,9.19769786873886e-05,0.00123901842888556,0.00380579131470843
"8136","2020/08/17","GB",66647112,7659,88,318484,41366,73876,229099,0.00477866167704311,0.000114918707955417,0.0011084651349934,0.00343749328553051
"8135","2020/08/24","GB",66647112,7158,63,325642,41429,70127,204230,0.00488606318005197,0.000107401503008863,0.00105221363530351,0.00306434883480022
"8134","2020/08/31","GB",66647112,8825,70,334467,41499,70428,180225,0.00501847701967941,0.00013241383962744,0.00105672996003188,0.0027041681866125
"8133","2020/09/07","GB",66647112,12685,52,347152,41551,75977,161628,0.00520880784751783,0.000190330827838422,0.00113998938168544,0.00242513133952451
"8132","2020/09/14","GB",66647112,21352,77,368504,41628,90649,160113,0.00552918181961133,0.000320373972093494,0.00136013395449153,0.00240239967187175
"8131","2020/09/21","GB",66647112,25753,149,394257,41777,111162,166009,0.005915590160906,0.000386408341294669,0.00166791923406974,0.00249086562070386
"8130","2020/09/28","GB",66647112,40712,211,434969,41988,147848,190361,0.00652644933811986,0.00061085917721386,0.00221837069249152,0.00285625279607014
"8129","2020/10/05","GB",66647112,68009,362,502978,42350,211586,247463,0.00754688365191278,0.00102043431379292,0.00317472120922509,0.00371303410716431
"8128","2020/10/12","GB",66647112,100738,475,603716,42825,308014,339677,0.00905839700901068,0.0015115133570979,0.00462156559762109,0.00509664994936315
"8127","2020/10/19","GB",66647112,118693,821,722409,43646,422158,451234,0.0108393143876962,0.00178091737868552,0.00633422795574398,0.0067704959218638
"8126","2020/10/26","GB",66647112,151391,1250,873800,44896,569105,595945,0.0131108456732529,0.00227153128555668,0.00853907968285257,0.00894179780813308
"8125","2020/11/02","GB",66647112,161114,1821,1034914,46717,724089,751819,0.0155282647506167,0.00241741907736377,0.010864521781529,0.0112805938237804
"8124","2020/11/09","GB",66647112,157099,2327,1192013,49044,873529,904892,0.0178854411576003,0.0023571764069837,0.0131067794805572,0.013577362511972
"8123","2020/11/16","GB",66647112,177305,2890,1369318,51934,1043676,1077926,0.0205457964930273,0.00266035533542699,0.0156597333129754,0.0161736340503396
"8122","2020/11/23","GB",66647112,142727,2817,1512045,54751,1177578,1216343,0.0226873296475322,0.00214153315450488,0.0176688526278528,0.0182504982361426
"8121","2020/11/30","GB",66647112,105282,3494,1617327,58245,1270175,1317076,0.0242670230031873,0.00157969335565508,0.0190582151556695,0.0197619365712351
"8120","2020/12/07","GB",66647112,105915,3000,1723242,61245,1354738,1418547,0.0258562141447329,0.00158919114154564,0.0203270323251216,0.0212844481543326
"8119","2020/12/14","GB",66647112,126161,2925,1849403,64170,1455146,1538578,0.0277491843907655,0.00189297024603257,0.0218335942298595,0.0230854414216778
