"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2019/12/31",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"2","2020/01/01",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"3","2020/01/02",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"4","2020/01/03",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"5","2020/01/04",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"6","2020/01/05",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"7","2020/01/06",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"8","2020/01/07",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"9","2020/01/08",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"10","2020/01/09",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"11","2020/01/10",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"12","2020/01/11",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"13","2020/01/12",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"14","2020/01/13",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"15","2020/01/14",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"16","2020/01/15",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"17","2020/01/16",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"18","2020/01/17",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"19","2020/01/18",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"20","2020/01/19",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"21","2020/01/20",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"22","2020/01/21",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"23","2020/01/22",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"24","2020/01/23",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"25","2020/01/24",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"26","2020/01/25",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"27","2020/01/26",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"28","2020/01/27",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"29","2020/01/28",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"30","2020/01/29",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"31","2020/01/30",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"32","2020/01/31",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"33","2020/02/01",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"34","2020/02/02",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"35","2020/02/03",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"36","2020/02/04",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"37","2020/02/05",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"38","2020/02/06",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"39","2020/02/07",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"40","2020/02/08",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"41","2020/02/09",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"42","2020/02/10",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"43","2020/02/11",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"44","2020/02/12",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"45","2020/02/13",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"46","2020/02/14",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"47","2020/02/15",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"48","2020/02/16",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"49","2020/02/17",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"50","2020/02/18",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"51","2020/02/19",0,0,0,0,0,0,0,0,0,0,0,0,82913893
"52","2020/02/20",2,2,2,2,2,2,2,2.412140990654e-08,2.412140990654e-08,2.412140990654e-08,2.412140990654e-08,2.412140990654e-08,82913893
"53","2020/02/21",3,0,5,2,5,5,5,6.03035247663501e-08,3.618211485981e-08,6.03035247663501e-08,6.03035247663501e-08,6.03035247663501e-08,82913893
"54","2020/02/22",13,2,18,4,18,18,18,2.1709268915886e-07,1.5678916439251e-07,2.1709268915886e-07,2.1709268915886e-07,2.1709268915886e-07,82913893
