"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"26321","2019/12/31","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26320","2020/01/01","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26319","2020/01/02","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26318","2020/01/03","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26317","2020/01/04","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26316","2020/01/05","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26315","2020/01/06","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26314","2020/01/07","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26313","2020/01/08","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26312","2020/01/09","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26311","2020/01/10","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26310","2020/01/11","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26309","2020/01/12","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26308","2020/01/13","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26307","2020/01/14","JP",126860299,0,0,0,0,0,0,0,0,0,0
"26306","2020/01/15","JP",126860299,1,0,1,0,1,1,7.88268676554199e-09,7.88268676554199e-09,7.88268676554199e-09,7.88268676554199e-09
"26305","2020/01/16","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26304","2020/01/17","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26303","2020/01/18","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26302","2020/01/19","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26301","2020/01/20","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26300","2020/01/21","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26299","2020/01/22","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26298","2020/01/23","JP",126860299,0,0,1,0,1,1,7.88268676554199e-09,0,7.88268676554199e-09,7.88268676554199e-09
"26297","2020/01/24","JP",126860299,1,0,2,0,2,2,1.5765373531084e-08,7.88268676554199e-09,1.5765373531084e-08,1.5765373531084e-08
"26296","2020/01/25","JP",126860299,0,0,2,0,2,2,1.5765373531084e-08,0,1.5765373531084e-08,1.5765373531084e-08
"26295","2020/01/26","JP",126860299,1,0,3,0,3,3,2.3648060296626e-08,7.88268676554199e-09,2.3648060296626e-08,2.3648060296626e-08
"26294","2020/01/27","JP",126860299,0,0,3,0,2,3,2.3648060296626e-08,0,1.5765373531084e-08,2.3648060296626e-08
"26293","2020/01/28","JP",126860299,1,0,4,0,3,4,3.1530747062168e-08,7.88268676554199e-09,2.3648060296626e-08,3.1530747062168e-08
"26292","2020/01/29","JP",126860299,3,0,7,0,6,7,5.51788073587939e-08,2.3648060296626e-08,4.7296120593252e-08,5.51788073587939e-08
"26291","2020/01/30","JP",126860299,4,0,11,0,10,11,8.67095544209619e-08,3.1530747062168e-08,7.88268676554199e-08,8.67095544209619e-08
"26290","2020/01/31","JP",126860299,3,0,14,0,13,14,1.10357614717588e-07,2.3648060296626e-08,1.02474927952046e-07,1.10357614717588e-07
"26289","2020/02/01","JP",126860299,1,0,15,0,14,15,1.1824030148313e-07,7.88268676554199e-09,1.10357614717588e-07,1.1824030148313e-07
"26288","2020/02/02","JP",126860299,4,0,19,0,18,18,1.49771048545298e-07,3.1530747062168e-08,1.41888361779756e-07,1.41888361779756e-07
"26287","2020/02/03","JP",126860299,1,0,20,0,19,19,1.5765373531084e-07,7.88268676554199e-09,1.49771048545298e-07,1.49771048545298e-07
"26286","2020/02/04","JP",126860299,0,0,20,0,19,19,1.5765373531084e-07,0,1.49771048545298e-07,1.49771048545298e-07
"26285","2020/02/05","JP",126860299,5,0,25,0,23,24,1.9706716913855e-07,3.941343382771e-08,1.81301795607466e-07,1.89184482373008e-07
"26284","2020/02/06","JP",126860299,0,0,25,0,23,24,1.9706716913855e-07,0,1.81301795607466e-07,1.89184482373008e-07
"26283","2020/02/07","JP",126860299,0,0,25,0,22,24,1.9706716913855e-07,0,1.73419108841924e-07,1.89184482373008e-07
"26282","2020/02/08","JP",126860299,0,0,25,0,22,24,1.9706716913855e-07,0,1.73419108841924e-07,1.89184482373008e-07
"26281","2020/02/09","JP",126860299,0,0,25,0,21,24,1.9706716913855e-07,0,1.65536422076382e-07,1.89184482373008e-07
"26280","2020/02/10","JP",126860299,0,0,25,0,18,24,1.9706716913855e-07,0,1.41888361779756e-07,1.89184482373008e-07
"26279","2020/02/11","JP",126860299,0,0,25,0,14,23,1.9706716913855e-07,0,1.10357614717588e-07,1.81301795607466e-07
"26278","2020/02/12","JP",126860299,0,0,25,0,11,23,1.9706716913855e-07,0,8.67095544209619e-08,1.81301795607466e-07
"26277","2020/02/13","JP",126860299,4,1,29,1,14,26,2.28597916200718e-07,3.1530747062168e-08,1.10357614717588e-07,2.04949855904092e-07
"26276","2020/02/14","JP",126860299,1,0,30,1,11,27,2.3648060296626e-07,7.88268676554199e-09,8.67095544209619e-08,2.12832542669634e-07
"26275","2020/02/15","JP",126860299,8,0,38,1,18,34,2.99542097090596e-07,6.30614941243359e-08,1.41888361779756e-07,2.68011350028428e-07
"26274","2020/02/16","JP",126860299,14,0,52,1,32,45,4.09899711808184e-07,1.10357614717588e-07,2.52245976497344e-07,3.5472090444939e-07
"26273","2020/02/17","JP",126860299,7,0,59,1,34,48,4.65078519166978e-07,5.51788073587939e-08,2.68011350028428e-07,3.78368964746016e-07
"26272","2020/02/18","JP",126860299,0,0,59,1,34,45,4.65078519166978e-07,0,2.68011350028428e-07,3.5472090444939e-07
"26271","2020/02/19","JP",126860299,7,0,66,1,41,51,5.20257326525771e-07,5.51788073587939e-08,3.23190157387222e-07,4.02017025042642e-07
"26270","2020/02/20","JP",126860299,18,0,84,1,59,65,6.62145688305527e-07,1.41888361779756e-07,4.65078519166978e-07,5.1237463976023e-07
"26269","2020/02/21","JP",126860299,9,0,93,1,68,73,7.33089869195405e-07,7.09441808898779e-08,5.36022700056856e-07,5.75436133884565e-07
"26268","2020/02/22","JP",126860299,12,0,105,1,80,85,8.27682110381909e-07,9.45922411865039e-08,6.30614941243359e-07,6.70028375071069e-07
