"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"4495","2020/03/23","KG",6415851,14,0,14,0,14,14,2.18209556300481e-06,2.18209556300481e-06,2.18209556300481e-06,2.18209556300481e-06
"4494","2020/03/30","KG",6415851,70,0,84,0,84,84,1.30925733780289e-05,1.09104778150241e-05,1.30925733780289e-05,1.30925733780289e-05
"4493","2020/04/06","KG",6415851,132,4,216,4,216,216,3.36666172577886e-05,2.05740438797597e-05,3.36666172577886e-05,3.36666172577886e-05
"4492","2020/04/13","KG",6415851,203,1,419,5,419,419,6.53070029213584e-05,3.16403856635698e-05,6.53070029213584e-05,6.53070029213584e-05
"4491","2020/04/20","KG",6415851,149,2,568,7,568,568,8.8530734270481e-05,2.32237313491227e-05,8.8530734270481e-05,8.8530734270481e-05
"4490","2020/04/27","KG",6415851,127,1,695,8,695,695,0.00010832545830631,1.97947240358294e-05,0.00010832545830631,0.00010832545830631
"4489","2020/05/04","KG",6415851,135,2,830,10,830,830,0.000129367094092428,2.10416357861179e-05,0.000129367094092428,0.000129367094092428
"4488","2020/05/11","KG",6415851,186,2,1016,12,1016,1016,0.000158357792286635,2.89906981942068e-05,0.000158357792286635,0.000158357792286635
"4487","2020/05/18","KG",6415851,200,2,1216,14,1216,1216,0.000189530586043847,3.11727937572116e-05,0.000189530586043847,0.000189530586043847
"4486","2020/05/25","KG",6415851,217,2,1433,16,1433,1433,0.000223353067270421,3.38224812265746e-05,0.000223353067270421,0.000223353067270421
"4485","2020/06/01","KG",6415851,384,0,1817,16,1817,1817,0.000283204831284268,5.98517640138463e-05,0.000283204831284268,0.000283204831284268
"4484","2020/06/08","KG",6415851,215,7,2032,23,2032,2032,0.00031671558457327,3.35107532890025e-05,0.00031671558457327,0.00031671558457327
"4483","2020/06/15","KG",6415851,340,4,2372,27,2358,2372,0.00036970933396053,5.29937493872598e-05,0.000367527238397525,0.00036970933396053
"4482","2020/06/22","KG",6415851,984,13,3356,40,3272,3356,0.000523079479246011,0.000153370145285481,0.000509986905867982,0.000523079479246011
"4481","2020/06/29","KG",6415851,1661,10,5017,50,4801,5017,0.000781969531399654,0.000258890052153643,0.000748302914141865,0.000781969531399654
"4480","2020/07/06","KG",6415851,2674,42,7691,92,7272,7691,0.00119874978393357,0.00041678025253392,0.00113344278101221,0.00119874978393357
"4479","2020/07/13","KG",6415851,3426,55,11117,147,10549,11117,0.00173273974099461,0.000533989957061035,0.00164420900672413,0.00173273974099461
"4478","2020/07/20","KG",6415851,16026,890,27143,1037,26448,27143,0.00423061570475998,0.00249787596376537,0.00412229024645367,0.00423061570475998
"4477","2020/07/27","KG",6415851,6153,264,33296,1301,32466,33282,0.00518964670470059,0.000959030999940616,0.00506027961060816,0.00518746460913759
"4476","2020/08/03","KG",6415851,3833,119,37129,1420,36113,37045,0.00578707329705755,0.000597426592356961,0.00562871550477092,0.00577398072367952
"4475","2020/08/10","KG",6415851,3048,54,40177,1474,38961,39961,0.00626214667391746,0.000475073376859905,0.00607261608787361,0.00622848005665967
"4474","2020/08/17","KG",6415851,1814,22,41991,1496,40558,41572,0.00654488391329537,0.00028273723937791,0.00632153084602495,0.00647957691037401
"4473","2020/08/24","KG",6415851,1135,-439,43126,1057,41309,42558,0.00672178951786754,0.000176905604572176,0.00643858468658328,0.00663325878359706
"4472","2020/08/31","KG",6415851,772,1,43898,1058,41866,43203,0.00684211650177038,0.000120326983902837,0.00652540091719711,0.00673379104346407
"4471","2020/09/07","KG",6415851,553,2,44451,1060,42079,43621,0.00692830927650907,8.61927747386902e-05,0.00655859994254854,0.00679894218241664
"4470","2020/09/14","KG",6415851,477,3,44928,1063,41572,43912,0.00700265638962002,7.43471131109497e-05,0.00647957691037401,0.00684429859733339
"4469","2020/09/21","KG",6415851,543,0,45471,1063,40454,44255,0.00708729052467085,8.46341350508296e-05,0.0063053209932712,0.006897759938627
"4468","2020/09/28","KG",6415851,884,1,46355,1064,38664,44922,0.00722507427307773,0.000137783748406875,0.00602632448914415,0.0070017212058073
"4467","2020/10/05","KG",6415851,1280,2,47635,1066,36518,45818,0.00742458015312388,0.000199505880046154,0.00569184041212927,0.00714137532183961
"4466","2020/10/12","KG",6415851,1595,19,49230,1085,22087,47198,0.00767318318333764,0.000248603030213763,0.00344256747857767,0.00735646759876437
"4465","2020/10/19","KG",6415851,3296,26,52526,1111,19230,50154,0.00818691082445649,0.000513727641118848,0.0029972641197559,0.00781720149049596
"4464","2020/10/26","KG",6415851,3644,23,56170,1134,19041,52814,0.00875487912671289,0.000567968302256396,0.00296780582965533,0.00823179964746687
"4463","2020/11/02","KG",6415851,3709,21,59879,1155,19702,54862,0.00933297858694038,0.00057809946022749,0.00307083191302292,0.00855100905554072
"4462","2020/11/09","KG",6415851,3511,27,63390,1182,21399,55699,0.00988021698134823,0.00054723839440785,0.00333533306805286,0.00868146719741465
"4461","2020/11/16","KG",6415851,3593,21,66983,1203,23857,55866,0.0104402362211965,0.000560019239848307,0.00371844670332899,0.00870749648020193
"4460","2020/11/23","KG",6415851,2902,34,69885,1237,25987,42742,0.0108925534586137,0.000452317237417141,0.00405043695684329,0.0066619377538537
"4459","2020/11/30","KG",6415851,2922,34,72807,1271,28356,39511,0.0113479879754065,0.000455434516792862,0.00441967869889746,0.00615834127070594
"4458","2020/12/07","KG",6415851,2588,26,75395,1297,30467,38266,0.0117513639266249,0.000403375951218319,0.00474870753700483,0.0059642906295673
"4457","2020/12/14","KG",6415851,2279,15,77674,1312,32203,37497,0.0121065779114883,0.000355213984863427,0.00501928738681743,0.00584443123757082
