"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"41936","2020/03/26","KN",52834,2,0,2,0,2,2,3.78544119317106e-05,3.78544119317106e-05,3.78544119317106e-05,3.78544119317106e-05
"41935","2020/03/27","KN",52834,0,0,2,0,2,2,3.78544119317106e-05,0,3.78544119317106e-05,3.78544119317106e-05
"41934","2020/03/28","KN",52834,0,0,2,0,2,2,3.78544119317106e-05,0,3.78544119317106e-05,3.78544119317106e-05
"41933","2020/03/29","KN",52834,0,0,2,0,2,2,3.78544119317106e-05,0,3.78544119317106e-05,3.78544119317106e-05
"41932","2020/03/30","KN",52834,5,0,7,0,7,7,0.000132490441760987,9.46360298292766e-05,0.000132490441760987,0.000132490441760987
"41931","2020/03/31","KN",52834,0,0,7,0,7,7,0.000132490441760987,0,0.000132490441760987,0.000132490441760987
"41930","2020/04/01","KN",52834,1,0,8,0,8,8,0.000151417647726843,1.89272059658553e-05,0.000151417647726843,0.000151417647726843
"41929","2020/04/02","KN",52834,0,0,8,0,8,8,0.000151417647726843,0,0.000151417647726843,0.000151417647726843
"41928","2020/04/03","KN",52834,0,0,8,0,8,8,0.000151417647726843,0,0.000151417647726843,0.000151417647726843
"41927","2020/04/04","KN",52834,1,0,9,0,9,9,0.000170344853692698,1.89272059658553e-05,0.000170344853692698,0.000170344853692698
"41926","2020/04/05","KN",52834,1,0,10,0,10,10,0.000189272059658553,1.89272059658553e-05,0.000189272059658553,0.000189272059658553
"41925","2020/04/06","KN",52834,0,0,10,0,10,10,0.000189272059658553,0,0.000189272059658553,0.000189272059658553
"41924","2020/04/07","KN",52834,1,0,11,0,9,11,0.000208199265624409,1.89272059658553e-05,0.000170344853692698,0.000208199265624409
"41923","2020/04/08","KN",52834,0,0,11,0,9,11,0.000208199265624409,0,0.000170344853692698,0.000208199265624409
"41922","2020/04/09","KN",52834,0,0,11,0,9,11,0.000208199265624409,0,0.000170344853692698,0.000208199265624409
"41921","2020/04/10","KN",52834,0,0,11,0,9,11,0.000208199265624409,0,0.000170344853692698,0.000208199265624409
"41920","2020/04/11","KN",52834,1,0,12,0,5,12,0.000227126471590264,1.89272059658553e-05,9.46360298292766e-05,0.000227126471590264
"41919","2020/04/12","KN",52834,0,0,12,0,5,12,0.000227126471590264,0,9.46360298292766e-05,0.000227126471590264
"41918","2020/04/13","KN",52834,0,0,12,0,4,10,0.000227126471590264,0,7.57088238634213e-05,0.000189272059658553
"41917","2020/04/14","KN",52834,0,0,12,0,4,10,0.000227126471590264,0,7.57088238634213e-05,0.000189272059658553
"41916","2020/04/15","KN",52834,2,0,14,0,6,12,0.000264980883521974,3.78544119317106e-05,0.000113563235795132,0.000227126471590264
"41915","2020/04/16","KN",52834,0,0,14,0,5,12,0.000264980883521974,0,9.46360298292766e-05,0.000227126471590264
"41914","2020/04/17","KN",52834,0,0,14,0,4,7,0.000264980883521974,0,7.57088238634213e-05,0.000132490441760987
"41913","2020/04/18","KN",52834,0,0,14,0,4,7,0.000264980883521974,0,7.57088238634213e-05,0.000132490441760987
"41912","2020/04/19","KN",52834,0,0,14,0,3,6,0.000264980883521974,0,5.6781617897566e-05,0.000113563235795132
"41911","2020/04/20","KN",52834,1,0,15,0,4,7,0.00028390808948783,1.89272059658553e-05,7.57088238634213e-05,0.000132490441760987
"41910","2020/04/21","KN",52834,0,0,15,0,4,7,0.00028390808948783,0,7.57088238634213e-05,0.000132490441760987
"41909","2020/04/22","KN",52834,0,0,15,0,4,6,0.00028390808948783,0,7.57088238634213e-05,0.000113563235795132
"41908","2020/04/23","KN",52834,0,0,15,0,3,5,0.00028390808948783,0,5.6781617897566e-05,9.46360298292766e-05
"41907","2020/04/24","KN",52834,0,0,15,0,3,5,0.00028390808948783,0,5.6781617897566e-05,9.46360298292766e-05
"41906","2020/04/25","KN",52834,0,0,15,0,3,4,0.00028390808948783,0,5.6781617897566e-05,7.57088238634213e-05
"41905","2020/04/26","KN",52834,0,0,15,0,3,4,0.00028390808948783,0,5.6781617897566e-05,7.57088238634213e-05
"41904","2020/04/27","KN",52834,0,0,15,0,1,4,0.00028390808948783,0,1.89272059658553e-05,7.57088238634213e-05
"41903","2020/04/28","KN",52834,0,0,15,0,1,4,0.00028390808948783,0,1.89272059658553e-05,7.57088238634213e-05
"41902","2020/04/29","KN",52834,0,0,15,0,1,3,0.00028390808948783,0,1.89272059658553e-05,5.6781617897566e-05
"41901","2020/04/30","KN",52834,0,0,15,0,1,3,0.00028390808948783,0,1.89272059658553e-05,5.6781617897566e-05
"41900","2020/05/01","KN",52834,0,0,15,0,1,3,0.00028390808948783,0,1.89272059658553e-05,5.6781617897566e-05
"41899","2020/05/02","KN",52834,0,0,15,0,0,3,0.00028390808948783,0,0,5.6781617897566e-05
"41898","2020/05/03","KN",52834,0,0,15,0,0,1,0.00028390808948783,0,0,1.89272059658553e-05
"41897","2020/05/04","KN",52834,0,0,15,0,0,1,0.00028390808948783,0,0,1.89272059658553e-05
"41896","2020/05/05","KN",52834,0,0,15,0,0,1,0.00028390808948783,0,0,1.89272059658553e-05
"41895","2020/05/06","KN",52834,0,0,15,0,0,1,0.00028390808948783,0,0,1.89272059658553e-05
"41894","2020/05/07","KN",52834,0,0,15,0,0,1,0.00028390808948783,0,0,1.89272059658553e-05
"41893","2020/05/08","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41892","2020/05/09","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41891","2020/05/10","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41890","2020/05/11","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41889","2020/05/12","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41888","2020/05/13","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41887","2020/05/14","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41886","2020/05/15","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41885","2020/05/16","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41884","2020/05/17","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41883","2020/05/18","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41882","2020/05/19","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41881","2020/05/20","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41880","2020/05/21","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41879","2020/05/22","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41878","2020/05/23","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41877","2020/05/24","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41876","2020/05/25","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41875","2020/05/26","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41874","2020/05/27","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41873","2020/05/28","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41872","2020/05/29","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41871","2020/05/30","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41870","2020/05/31","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41869","2020/06/01","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41868","2020/06/02","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41867","2020/06/03","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41866","2020/06/04","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41865","2020/06/05","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41864","2020/06/06","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41863","2020/06/07","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41862","2020/06/08","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41861","2020/06/09","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41860","2020/06/10","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41859","2020/06/11","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41858","2020/06/12","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41857","2020/06/13","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41856","2020/06/14","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41855","2020/06/15","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41854","2020/06/16","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41853","2020/06/17","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41852","2020/06/18","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41851","2020/06/19","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41850","2020/06/20","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41849","2020/06/21","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41848","2020/06/22","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41847","2020/06/23","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41846","2020/06/24","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
"41845","2020/06/25","KN",52834,0,0,15,0,0,0,0.00028390808948783,0,0,0
