"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"32736","2019/12/31","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32735","2020/01/01","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32734","2020/01/02","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32733","2020/01/03","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32732","2020/01/04","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32731","2020/01/05","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32730","2020/01/06","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32729","2020/01/07","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32728","2020/01/08","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32727","2020/01/09","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32726","2020/01/10","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32725","2020/01/11","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32724","2020/01/12","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32723","2020/01/13","MX",127575529,0,0,0,0,0,0,0,0,0,0
"32722","2020/01/14","MX",127575529,1,0,1,0,1,1,7.83849385409956e-09,7.83849385409956e-09,7.83849385409956e-09,7.83849385409956e-09
"32721","2020/01/15","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32720","2020/01/16","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32719","2020/01/17","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32718","2020/01/18","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32717","2020/01/19","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32716","2020/01/20","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32715","2020/01/21","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32714","2020/01/22","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32713","2020/01/23","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32712","2020/01/24","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32711","2020/01/25","MX",127575529,0,0,1,0,1,1,7.83849385409956e-09,0,7.83849385409956e-09,7.83849385409956e-09
"32710","2020/01/26","MX",127575529,0,0,1,0,0,1,7.83849385409956e-09,0,0,7.83849385409956e-09
"32709","2020/01/27","MX",127575529,0,0,1,0,0,1,7.83849385409956e-09,0,0,7.83849385409956e-09
"32708","2020/01/28","MX",127575529,0,0,1,0,0,1,7.83849385409956e-09,0,0,7.83849385409956e-09
"32707","2020/01/29","MX",127575529,0,0,1,0,0,1,7.83849385409956e-09,0,0,7.83849385409956e-09
"32706","2020/01/30","MX",127575529,1,0,2,0,1,2,1.56769877081991e-08,7.83849385409956e-09,7.83849385409956e-09,1.56769877081991e-08
"32705","2020/01/31","MX",127575529,0,0,2,0,1,2,1.56769877081991e-08,0,7.83849385409956e-09,1.56769877081991e-08
"32704","2020/02/01","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32703","2020/02/02","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32702","2020/02/03","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32701","2020/02/04","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32700","2020/02/05","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32699","2020/02/06","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32698","2020/02/07","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32697","2020/02/08","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32696","2020/02/09","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32695","2020/02/10","MX",127575529,0,0,2,0,1,1,1.56769877081991e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32694","2020/02/11","MX",127575529,1,0,3,0,1,2,2.35154815622987e-08,7.83849385409956e-09,7.83849385409956e-09,1.56769877081991e-08
"32693","2020/02/12","MX",127575529,0,0,3,0,1,2,2.35154815622987e-08,0,7.83849385409956e-09,1.56769877081991e-08
"32692","2020/02/13","MX",127575529,0,0,3,0,1,2,2.35154815622987e-08,0,7.83849385409956e-09,1.56769877081991e-08
"32691","2020/02/14","MX",127575529,0,0,3,0,1,2,2.35154815622987e-08,0,7.83849385409956e-09,1.56769877081991e-08
"32690","2020/02/15","MX",127575529,0,0,3,0,1,2,2.35154815622987e-08,0,7.83849385409956e-09,1.56769877081991e-08
"32689","2020/02/16","MX",127575529,0,0,3,0,1,2,2.35154815622987e-08,0,7.83849385409956e-09,1.56769877081991e-08
"32688","2020/02/17","MX",127575529,0,0,3,0,1,1,2.35154815622987e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32687","2020/02/18","MX",127575529,0,0,3,0,1,1,2.35154815622987e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32686","2020/02/19","MX",127575529,0,0,3,0,1,1,2.35154815622987e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32685","2020/02/20","MX",127575529,0,0,3,0,1,1,2.35154815622987e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32684","2020/02/21","MX",127575529,0,0,3,0,1,1,2.35154815622987e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32683","2020/02/22","MX",127575529,0,0,3,0,1,1,2.35154815622987e-08,0,7.83849385409956e-09,7.83849385409956e-09
"32682","2020/02/23","MX",127575529,1,0,4,0,1,2,3.13539754163982e-08,7.83849385409956e-09,7.83849385409956e-09,1.56769877081991e-08
"32681","2020/02/24","MX",127575529,0,0,4,0,1,2,3.13539754163982e-08,0,7.83849385409956e-09,1.56769877081991e-08
"32680","2020/02/25","MX",127575529,2,0,6,0,3,4,4.70309631245974e-08,1.56769877081991e-08,2.35154815622987e-08,3.13539754163982e-08
"32679","2020/02/26","MX",127575529,0,0,6,0,3,4,4.70309631245974e-08,0,2.35154815622987e-08,3.13539754163982e-08
"32678","2020/02/27","MX",127575529,0,0,6,0,3,4,4.70309631245974e-08,0,2.35154815622987e-08,3.13539754163982e-08
"32677","2020/02/28","MX",127575529,5,0,11,0,8,9,8.62234323950951e-08,3.91924692704978e-08,6.27079508327965e-08,7.0546444686896e-08
"32676","2020/02/29","MX",127575529,3,0,14,0,11,11,1.09738913957394e-07,2.35154815622987e-08,8.62234323950951e-08,8.62234323950951e-08
"32675","2020/03/01","MX",127575529,1,0,15,0,12,12,1.17577407811493e-07,7.83849385409956e-09,9.40619262491947e-08,9.40619262491947e-08
"32674","2020/03/02","MX",127575529,0,0,15,0,12,12,1.17577407811493e-07,0,9.40619262491947e-08,9.40619262491947e-08
"32673","2020/03/03","MX",127575529,1,0,16,0,13,13,1.25415901665593e-07,7.83849385409956e-09,1.01900420103294e-07,1.01900420103294e-07
"32672","2020/03/04","MX",127575529,3,0,19,0,16,16,1.48931383227892e-07,2.35154815622987e-08,1.25415901665593e-07,1.25415901665593e-07
"32671","2020/03/05","MX",127575529,3,0,22,0,19,19,1.7244686479019e-07,2.35154815622987e-08,1.48931383227892e-07,1.48931383227892e-07
"32670","2020/03/06","MX",127575529,2,0,24,0,20,21,1.88123852498389e-07,1.56769877081991e-08,1.56769877081991e-07,1.64608370936091e-07
"32669","2020/03/07","MX",127575529,0,0,24,0,20,21,1.88123852498389e-07,0,1.56769877081991e-07,1.64608370936091e-07
"32668","2020/03/08","MX",127575529,1,0,25,0,19,22,1.95962346352489e-07,7.83849385409956e-09,1.48931383227892e-07,1.7244686479019e-07
"32667","2020/03/09","MX",127575529,4,0,29,0,23,26,2.27316321768887e-07,3.13539754163982e-08,1.8028535864429e-07,2.03800840206589e-07
"32666","2020/03/10","MX",127575529,2,0,31,0,25,28,2.42993309477086e-07,1.56769877081991e-08,1.95962346352489e-07,2.19477827914788e-07
"32665","2020/03/11","MX",127575529,11,0,42,0,31,39,3.29216741872181e-07,8.62234323950951e-08,2.42993309477086e-07,3.05701260309883e-07
"32664","2020/03/12","MX",127575529,28,0,70,0,56,66,5.48694569786969e-07,2.19477827914788e-07,4.38955655829575e-07,5.17340594370571e-07
"32663","2020/03/13","MX",127575529,28,0,98,0,83,94,7.68172397701757e-07,2.19477827914788e-07,6.50594989890263e-07,7.36818422285359e-07
"32662","2020/03/14","MX",127575529,61,0,159,0,144,153,1.24632052280183e-06,4.78148125100073e-07,1.12874311499034e-06,1.19928955967723e-06
"32661","2020/03/15","MX",127575529,50,0,209,0,193,203,1.63824521550681e-06,3.91924692704978e-07,1.51282931384121e-06,1.59121425238221e-06
"32660","2020/03/16","MX",127575529,36,0,245,0,226,239,1.92043099425439e-06,2.82185778747584e-07,1.7714996110265e-06,1.87340003112979e-06
"32659","2020/03/17","MX",127575529,69,0,314,0,292,303,2.46128707018726e-06,5.4085607593287e-07,2.28884020539707e-06,2.37506363779217e-06
"32658","2020/03/18","MX",127575529,97,0,411,0,387,397,3.22162097403492e-06,7.60333903847657e-07,3.03349712153653e-06,3.11188206007752e-06
"32657","2020/03/19","MX",127575529,105,0,516,0,492,501,4.04466282871537e-06,8.23041854680454e-07,3.85653897621698e-06,3.92708542090388e-06
"32656","2020/03/20","MX",127575529,148,0,664,0,639,649,5.20475991912211e-06,1.16009709040673e-06,5.00879757276962e-06,5.08718251131061e-06
"32655","2020/03/21","MX",127575529,118,2,782,2,753,766,6.12970219390585e-06,9.24942274783748e-07,5.90238587213697e-06,6.00428629224026e-06
"32654","2020/03/22","MX",127575529,68,0,850,2,819,831,6.66271977598462e-06,5.3301758207877e-07,6.41972646650754e-06,6.51378839275673e-06
"32653","2020/03/23","MX",127575529,49,0,899,2,857,877,7.0468059748355e-06,3.84086198850878e-07,6.71758923296332e-06,6.87435911004531e-06
"32652","2020/03/24","MX",127575529,135,2,1034,4,964,1010,8.10500264513894e-06,1.05819667030344e-06,7.55630807535197e-06,7.91687879264055e-06
"32651","2020/03/25","MX",127575529,188,1,1222,5,1124,1198,9.57863948970966e-06,1.47363684457072e-06,8.8104670920079e-06,9.39051563721127e-06
"32650","2020/03/26","MX",127575529,155,0,1377,5,1218,1352,1.07936060370951e-05,1.21496654738543e-06,9.54728551429326e-06,1.05976436907426e-05
"32649","2020/03/27","MX",127575529,203,3,1580,8,1371,1551,1.23848202894773e-05,1.59121425238221e-06,1.07465750739705e-05,1.21575039677084e-05
"32648","2020/03/28","MX",127575529,223,4,1803,12,1558,1772,1.41328044189415e-05,1.7479841294642e-06,1.22123734246871e-05,1.38898111094644e-05
"32647","2020/03/29","MX",127575529,171,4,1974,16,1660,1932,1.54731868679925e-05,1.34038244905102e-06,1.30118997978053e-05,1.51439701261203e-05
"32646","2020/03/30","MX",127575529,146,4,2120,20,1709,2050,1.66176069706911e-05,1.14442010269854e-06,1.33959859966561e-05,1.60689124009041e-05
"32645","2020/03/31","MX",127575529,326,8,2446,28,1930,2348,1.91729559671275e-05,2.55534899643646e-06,1.51282931384121e-05,1.84047835694258e-05
"32644","2020/04/01","MX",127575529,286,1,2732,29,2068,2573,2.14147652094e-05,2.24180924227247e-06,1.62100052902779e-05,2.01684446865982e-05
"32643","2020/04/02","MX",127575529,337,8,3069,37,2287,2860,2.40563376382315e-05,2.64157242883155e-06,1.79266354443257e-05,2.24180924227247e-05
"32642","2020/04/03","MX",127575529,321,13,3390,50,2540,3145,2.65724941653975e-05,2.51615652716596e-06,1.99097743894129e-05,2.46520631711431e-05
"32641","2020/04/04","MX",127575529,347,10,3737,60,2838,3423,2.929245153277e-05,2.71995736737255e-06,2.22456455579345e-05,2.68311644625828e-05
"32640","2020/04/05","MX",127575529,229,19,3966,79,2932,3555,3.10874666253589e-05,1.7950150925888e-06,2.29824639802199e-05,2.78658456513239e-05
"32639","2020/04/06","MX",127575529,237,15,4203,94,2981,3687,3.29451896687804e-05,1.8577230434216e-06,2.33665501790708e-05,2.89005268400651e-05
"32638","2020/04/07","MX",127575529,573,31,4776,125,3399,4112,3.74366466471795e-05,4.49145697839905e-06,2.66430406100844e-05,3.22318867280574e-05
"32637","2020/04/08","MX",127575529,473,16,5249,141,3669,4467,4.11442542401686e-05,3.70760759298909e-06,2.87594339506913e-05,3.50145520462627e-05
"32636","2020/04/09","MX",127575529,534,33,5783,174,3980,4933,4.53300099582577e-05,4.18575571808916e-06,3.11972055393162e-05,3.86672901822731e-05
"32635","2020/04/10","MX",127575529,429,20,6212,194,4238,5313,4.86927238216665e-05,3.36271386340871e-06,3.32195369536739e-05,4.1645917846831e-05
"32634","2020/04/11","MX",127575529,514,39,6726,233,4606,5692,5.27217096626736e-05,4.02898584100717e-06,3.61041026919826e-05,4.46167070175347e-05
"32633","2020/04/12","MX",127575529,426,40,7152,273,4706,5930,5.606090804452e-05,3.33919838184641e-06,3.68879520773925e-05,4.64822685548104e-05
"32632","2020/04/13","MX",127575529,437,23,7589,296,4857,6212,5.94863298587615e-05,3.42542181424151e-06,3.80715646493616e-05,4.86927238216665e-05
"32631","2020/04/14","MX",127575529,888,36,8477,332,5408,6897,6.6446912401202e-05,6.96058254244041e-06,4.23905747629704e-05,5.40620921117247e-05
"32630","2020/04/15","MX",127575529,866,74,9343,406,5953,7540,7.32350480788522e-05,6.78813567765022e-06,4.66625539134547e-05,5.91022436599107e-05
"32629","2020/04/16","MX",127575529,912,43,10255,449,6518,8281,8.0383754473791e-05,7.1487063949388e-06,5.10913029410209e-05,6.49105676057984e-05
"32628","2020/04/17","MX",127575529,939,37,11194,486,7228,9074,8.77441002027905e-05,7.36034572899949e-06,5.66566335774316e-05,7.11264932320994e-05
"32627","2020/04/18","MX",127575529,1076,60,12270,546,8067,9824,9.61783195898016e-05,8.43421938701113e-06,6.32331299210211e-05,7.70053636226741e-05
"32626","2020/04/19","MX",127575529,755,104,13025,650,8249,10293,0.000102096382449647,5.91806285984517e-06,6.46597358024673e-05,8.06816172402468e-05
"32625","2020/04/20","MX",127575529,705,36,13730,686,8481,10661,0.000107622520616787,5.52613816714019e-06,6.64782663766184e-05,8.35661829785554e-05
"32624","2020/04/21","MX",127575529,1432,26,15162,712,9379,11772,0.000118847243815858,1.12247231990706e-05,7.35172338575998e-05,9.227474965046e-05
"32623","2020/04/22","MX",127575529,1385,145,16547,857,10335,12810,0.000129703557803785,1.08563139879279e-05,8.10108339821189e-05,0.000100411106271015
"32622","2020/04/23","MX",127575529,1303,113,17850,970,11124,13884,0.000139917115295677,1.02135574918917e-05,8.71954056330035e-05,0.000108829648670318
"32621","2020/04/24","MX",127575529,1391,99,19241,1069,12089,15038,0.00015082046024673,1.09033449510525e-05,9.47595522022096e-05,0.000117875270577949
"32620","2020/04/25","MX",127575529,1597,152,20838,1221,13249,16062,0.000163338534931727,1.2518074684997e-05,0.000103852205072965,0.000125901888284547
"32619","2020/04/26","MX",127575529,1035,84,21873,1305,13396,16624,0.00017145137607072,8.11284113899304e-06,0.000105004463669518,0.000130307121830551
