"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"34790","2020/03/19","NI",6545503,1,0,1,0,1,1,1.52776646806212e-07,1.52776646806212e-07,1.52776646806212e-07,1.52776646806212e-07
"34789","2020/03/20","NI",6545503,0,0,1,0,1,1,1.52776646806212e-07,0,1.52776646806212e-07,1.52776646806212e-07
"34788","2020/03/21","NI",6545503,1,0,2,0,2,2,3.05553293612424e-07,1.52776646806212e-07,3.05553293612424e-07,3.05553293612424e-07
"34787","2020/03/22","NI",6545503,0,0,2,0,2,2,3.05553293612424e-07,0,3.05553293612424e-07,3.05553293612424e-07
"34786","2020/03/23","NI",6545503,0,0,2,0,2,2,3.05553293612424e-07,0,3.05553293612424e-07,3.05553293612424e-07
"34785","2020/03/24","NI",6545503,0,0,2,0,2,2,3.05553293612424e-07,0,3.05553293612424e-07,3.05553293612424e-07
"34784","2020/03/25","NI",6545503,0,0,2,0,2,2,3.05553293612424e-07,0,3.05553293612424e-07,3.05553293612424e-07
"34783","2020/03/26","NI",6545503,0,0,2,0,2,2,3.05553293612424e-07,0,3.05553293612424e-07,3.05553293612424e-07
"34782","2020/03/27","NI",6545503,0,0,2,0,2,2,3.05553293612424e-07,0,3.05553293612424e-07,3.05553293612424e-07
"34781","2020/03/28","NI",6545503,0,1,2,1,2,2,3.05553293612424e-07,0,3.05553293612424e-07,3.05553293612424e-07
"34780","2020/03/29","NI",6545503,2,0,4,1,4,4,6.11106587224847e-07,3.05553293612424e-07,6.11106587224847e-07,6.11106587224847e-07
"34779","2020/03/30","NI",6545503,0,0,4,1,4,4,6.11106587224847e-07,0,6.11106587224847e-07,6.11106587224847e-07
"34778","2020/03/31","NI",6545503,0,0,4,1,3,4,6.11106587224847e-07,0,4.58329940418635e-07,6.11106587224847e-07
"34777","2020/04/01","NI",6545503,0,0,4,1,3,4,6.11106587224847e-07,0,4.58329940418635e-07,6.11106587224847e-07
"34776","2020/04/02","NI",6545503,1,0,5,1,3,5,7.63883234031059e-07,1.52776646806212e-07,4.58329940418635e-07,7.63883234031059e-07
"34775","2020/04/03","NI",6545503,0,0,5,1,3,5,7.63883234031059e-07,0,4.58329940418635e-07,7.63883234031059e-07
"34774","2020/04/04","NI",6545503,0,0,5,1,3,5,7.63883234031059e-07,0,4.58329940418635e-07,7.63883234031059e-07
"34773","2020/04/05","NI",6545503,0,0,5,1,3,5,7.63883234031059e-07,0,4.58329940418635e-07,7.63883234031059e-07
"34772","2020/04/06","NI",6545503,0,0,5,1,3,4,7.63883234031059e-07,0,4.58329940418635e-07,6.11106587224847e-07
"34771","2020/04/07","NI",6545503,1,0,6,1,4,5,9.16659880837271e-07,1.52776646806212e-07,6.11106587224847e-07,7.63883234031059e-07
"34770","2020/04/08","NI",6545503,0,0,6,1,4,4,9.16659880837271e-07,0,6.11106587224847e-07,6.11106587224847e-07
"34769","2020/04/09","NI",6545503,0,0,6,1,4,4,9.16659880837271e-07,0,6.11106587224847e-07,6.11106587224847e-07
"34768","2020/04/10","NI",6545503,0,0,6,1,2,4,9.16659880837271e-07,0,3.05553293612424e-07,6.11106587224847e-07
"34767","2020/04/11","NI",6545503,1,0,7,1,3,5,1.06943652764348e-06,1.52776646806212e-07,4.58329940418635e-07,7.63883234031059e-07
"34766","2020/04/12","NI",6545503,0,0,7,1,3,5,1.06943652764348e-06,0,4.58329940418635e-07,7.63883234031059e-07
"34765","2020/04/13","NI",6545503,2,0,9,1,5,7,1.37498982125591e-06,3.05553293612424e-07,7.63883234031059e-07,1.06943652764348e-06
"34764","2020/04/14","NI",6545503,0,0,9,1,4,7,1.37498982125591e-06,0,6.11106587224847e-07,1.06943652764348e-06
"34763","2020/04/15","NI",6545503,0,0,9,1,4,7,1.37498982125591e-06,0,6.11106587224847e-07,1.06943652764348e-06
"34762","2020/04/16","NI",6545503,0,0,9,1,4,5,1.37498982125591e-06,0,6.11106587224847e-07,7.63883234031059e-07
"34761","2020/04/17","NI",6545503,0,0,9,1,4,5,1.37498982125591e-06,0,6.11106587224847e-07,7.63883234031059e-07
"34760","2020/04/18","NI",6545503,0,0,9,1,4,5,1.37498982125591e-06,0,6.11106587224847e-07,7.63883234031059e-07
"34759","2020/04/19","NI",6545503,0,0,9,1,3,5,1.37498982125591e-06,0,4.58329940418635e-07,7.63883234031059e-07
"34758","2020/04/20","NI",6545503,0,0,9,1,3,4,1.37498982125591e-06,0,4.58329940418635e-07,6.11106587224847e-07
"34757","2020/04/21","NI",6545503,0,1,9,2,3,4,1.37498982125591e-06,0,4.58329940418635e-07,6.11106587224847e-07
"34756","2020/04/22","NI",6545503,1,0,10,2,4,5,1.52776646806212e-06,1.52776646806212e-07,6.11106587224847e-07,7.63883234031059e-07
"34755","2020/04/23","NI",6545503,0,0,10,2,3,5,1.52776646806212e-06,0,4.58329940418635e-07,7.63883234031059e-07
"34754","2020/04/24","NI",6545503,0,0,10,2,3,5,1.52776646806212e-06,0,4.58329940418635e-07,7.63883234031059e-07
"34753","2020/04/25","NI",6545503,1,1,11,3,2,5,1.68054311486833e-06,1.52776646806212e-07,3.05553293612424e-07,7.63883234031059e-07
"34752","2020/04/26","NI",6545503,1,0,12,3,3,6,1.83331976167454e-06,1.52776646806212e-07,4.58329940418635e-07,9.16659880837271e-07
"34751","2020/04/27","NI",6545503,1,0,13,3,4,7,1.98609640848075e-06,1.52776646806212e-07,6.11106587224847e-07,1.06943652764348e-06
"34750","2020/04/28","NI",6545503,0,0,13,3,4,7,1.98609640848075e-06,0,6.11106587224847e-07,1.06943652764348e-06
"34749","2020/04/29","NI",6545503,0,0,13,3,4,6,1.98609640848075e-06,0,6.11106587224847e-07,9.16659880837271e-07
"34748","2020/04/30","NI",6545503,1,1,14,4,5,7,2.13887305528697e-06,1.52776646806212e-07,7.63883234031059e-07,1.06943652764348e-06
"34747","2020/05/01","NI",6545503,0,0,14,4,5,5,2.13887305528697e-06,0,7.63883234031059e-07,7.63883234031059e-07
"34746","2020/05/02","NI",6545503,0,0,14,4,5,5,2.13887305528697e-06,0,7.63883234031059e-07,7.63883234031059e-07
"34745","2020/05/03","NI",6545503,0,0,14,4,5,5,2.13887305528697e-06,0,7.63883234031059e-07,7.63883234031059e-07
"34744","2020/05/04","NI",6545503,0,1,14,5,4,5,2.13887305528697e-06,0,6.11106587224847e-07,7.63883234031059e-07
"34743","2020/05/05","NI",6545503,1,0,15,5,5,6,2.29164970209318e-06,1.52776646806212e-07,7.63883234031059e-07,9.16659880837271e-07
"34742","2020/05/06","NI",6545503,1,0,16,5,6,7,2.44442634889939e-06,1.52776646806212e-07,9.16659880837271e-07,1.06943652764348e-06
"34741","2020/05/07","NI",6545503,0,0,16,5,5,7,2.44442634889939e-06,0,7.63883234031059e-07,1.06943652764348e-06
"34740","2020/05/08","NI",6545503,0,0,16,5,4,7,2.44442634889939e-06,0,6.11106587224847e-07,1.06943652764348e-06
"34739","2020/05/09","NI",6545503,0,0,16,5,3,7,2.44442634889939e-06,0,4.58329940418635e-07,1.06943652764348e-06
"34738","2020/05/10","NI",6545503,0,0,16,5,3,6,2.44442634889939e-06,0,4.58329940418635e-07,9.16659880837271e-07
"34737","2020/05/11","NI",6545503,0,0,16,5,3,6,2.44442634889939e-06,0,4.58329940418635e-07,9.16659880837271e-07
"34736","2020/05/12","NI",6545503,0,0,16,5,2,6,2.44442634889939e-06,0,3.05553293612424e-07,9.16659880837271e-07
"34735","2020/05/13","NI",6545503,9,3,25,8,11,14,3.8194161701553e-06,1.37498982125591e-06,1.68054311486833e-06,2.13887305528697e-06
"34734","2020/05/14","NI",6545503,0,0,25,8,11,13,3.8194161701553e-06,0,1.68054311486833e-06,1.98609640848075e-06
"34733","2020/05/15","NI",6545503,0,0,25,8,11,12,3.8194161701553e-06,0,1.68054311486833e-06,1.83331976167454e-06
"34732","2020/05/16","NI",6545503,0,0,25,8,11,12,3.8194161701553e-06,0,1.68054311486833e-06,1.83331976167454e-06
"34731","2020/05/17","NI",6545503,0,0,25,8,10,12,3.8194161701553e-06,0,1.52776646806212e-06,1.83331976167454e-06
"34730","2020/05/18","NI",6545503,0,0,25,8,9,11,3.8194161701553e-06,0,1.37498982125591e-06,1.68054311486833e-06
"34729","2020/05/19","NI",6545503,0,0,25,8,9,11,3.8194161701553e-06,0,1.37498982125591e-06,1.68054311486833e-06
"34728","2020/05/20","NI",6545503,0,0,25,8,9,11,3.8194161701553e-06,0,1.37498982125591e-06,1.68054311486833e-06
"34727","2020/05/21","NI",6545503,0,0,25,8,9,11,3.8194161701553e-06,0,1.37498982125591e-06,1.68054311486833e-06
"34726","2020/05/22","NI",6545503,0,0,25,8,9,11,3.8194161701553e-06,0,1.37498982125591e-06,1.68054311486833e-06
"34725","2020/05/23","NI",6545503,254,9,279,17,263,264,4.26246844589331e-05,3.88052682887778e-05,4.01802581100337e-05,4.03330347568399e-05
"34724","2020/05/24","NI",6545503,0,0,279,17,263,263,4.26246844589331e-05,0,4.01802581100337e-05,4.01802581100337e-05
"34723","2020/05/25","NI",6545503,0,0,279,17,254,263,4.26246844589331e-05,0,3.88052682887778e-05,4.01802581100337e-05
"34722","2020/05/26","NI",6545503,0,0,279,17,254,263,4.26246844589331e-05,0,3.88052682887778e-05,4.01802581100337e-05
"34721","2020/05/27","NI",6545503,480,18,759,35,734,743,0.000115957474925915,7.33327904669817e-05,0.000112138058755759,0.000113513048577015
"34720","2020/05/28","NI",6545503,0,0,759,35,734,743,0.000115957474925915,0,0.000112138058755759,0.000113513048577015
"34719","2020/05/29","NI",6545503,0,0,759,35,734,743,0.000115957474925915,0,0.000112138058755759,0.000113513048577015
"34718","2020/05/30","NI",6545503,0,0,759,35,734,743,0.000115957474925915,0,0.000112138058755759,0.000113513048577015
"34717","2020/05/31","NI",6545503,0,0,759,35,734,734,0.000115957474925915,0,0.000112138058755759,0.000112138058755759
