"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"18811","2020/03/19","PF",279285,3,0,3,0,3,3,1.07417154519577e-05,1.07417154519577e-05,1.07417154519577e-05,1.07417154519577e-05
"18810","2020/03/20","PF",279285,0,0,3,0,3,3,1.07417154519577e-05,0,1.07417154519577e-05,1.07417154519577e-05
"18809","2020/03/21","PF",279285,12,0,15,0,15,15,5.37085772597884e-05,4.29668618078307e-05,5.37085772597884e-05,5.37085772597884e-05
"18808","2020/03/22","PF",279285,2,0,17,0,17,17,6.08697208944268e-05,7.16114363463845e-06,6.08697208944268e-05,6.08697208944268e-05
"18807","2020/03/23","PF",279285,1,0,18,0,18,18,6.44502927117461e-05,3.58057181731923e-06,6.44502927117461e-05,6.44502927117461e-05
"18806","2020/03/24","PF",279285,5,0,23,0,23,23,8.23531517983422e-05,1.79028590865961e-05,8.23531517983422e-05,8.23531517983422e-05
"18805","2020/03/25","PF",279285,2,0,25,0,25,25,8.95142954329806e-05,7.16114363463845e-06,8.95142954329806e-05,8.95142954329806e-05
"18804","2020/03/26","PF",279285,0,0,25,0,25,25,8.95142954329806e-05,0,8.95142954329806e-05,8.95142954329806e-05
"18803","2020/03/27","PF",279285,5,0,30,0,30,30,0.000107417154519577,1.79028590865961e-05,0.000107417154519577,0.000107417154519577
"18802","2020/03/28","PF",279285,0,0,30,0,30,30,0.000107417154519577,0,0.000107417154519577,0.000107417154519577
"18801","2020/03/29","PF",279285,4,0,34,0,34,34,0.000121739441788854,1.43222872692769e-05,0.000121739441788854,0.000121739441788854
"18800","2020/03/30","PF",279285,1,0,35,0,35,35,0.000125320013606173,3.58057181731923e-06,0.000125320013606173,0.000125320013606173
"18799","2020/03/31","PF",279285,1,0,36,0,33,36,0.000128900585423492,3.58057181731923e-06,0.000118158869971534,0.000128900585423492
"18798","2020/04/01","PF",279285,1,0,37,0,34,37,0.000132481157240811,3.58057181731923e-06,0.000121739441788854,0.000132481157240811
"18797","2020/04/02","PF",279285,0,0,37,0,22,37,0.000132481157240811,0,7.8772579981023e-05,0.000132481157240811
"18796","2020/04/03","PF",279285,0,0,37,0,20,37,0.000132481157240811,0,7.16114363463845e-05,0.000132481157240811
"18795","2020/04/04","PF",279285,2,0,39,0,21,39,0.00013964230087545,7.16114363463845e-06,7.51920081637037e-05,0.00013964230087545
"18794","2020/04/05","PF",279285,1,0,40,0,17,40,0.000143222872692769,3.58057181731923e-06,6.08697208944268e-05,0.000143222872692769
"18793","2020/04/06","PF",279285,1,0,41,0,16,38,0.000146803444510088,3.58057181731923e-06,5.72891490771076e-05,0.000136061729058131
"18792","2020/04/07","PF",279285,0,0,41,0,16,38,0.000146803444510088,0,5.72891490771076e-05,0.000136061729058131
"18791","2020/04/08","PF",279285,6,0,47,0,17,32,0.000168286875414004,2.14834309039154e-05,6.08697208944268e-05,0.000114578298154215
"18790","2020/04/09","PF",279285,4,0,51,0,21,34,0.000182609162683281,1.43222872692769e-05,7.51920081637037e-05,0.000121739441788854
"18789","2020/04/10","PF",279285,0,0,51,0,17,33,0.000182609162683281,0,6.08697208944268e-05,0.000118158869971534
"18788","2020/04/11","PF",279285,0,0,51,0,16,28,0.000182609162683281,0,5.72891490771076e-05,0.000100256010884938
"18787","2020/04/12","PF",279285,0,0,51,0,15,26,0.000182609162683281,0,5.37085772597884e-05,9.30948672502999e-05
"18786","2020/04/13","PF",279285,2,0,53,0,16,28,0.000189770306317919,7.16114363463845e-06,5.72891490771076e-05,0.000100256010884938
"18785","2020/04/14","PF",279285,2,0,55,0,18,25,0.000196931449952557,7.16114363463845e-06,6.44502927117461e-05,8.95142954329806e-05
"18784","2020/04/15","PF",279285,0,0,55,0,18,25,0.000196931449952557,0,6.44502927117461e-05,8.95142954329806e-05
"18783","2020/04/16","PF",279285,0,0,55,0,16,21,0.000196931449952557,0,5.72891490771076e-05,7.51920081637037e-05
"18782","2020/04/17","PF",279285,0,0,55,0,15,20,0.000196931449952557,0,5.37085772597884e-05,7.16114363463845e-05
"18781","2020/04/18","PF",279285,0,0,55,0,14,19,0.000196931449952557,0,5.01280054424692e-05,6.80308645290653e-05
"18780","2020/04/19","PF",279285,0,0,55,0,14,18,0.000196931449952557,0,5.01280054424692e-05,6.44502927117461e-05
"18779","2020/04/20","PF",279285,0,0,55,0,8,18,0.000196931449952557,0,2.86445745385538e-05,6.44502927117461e-05
"18778","2020/04/21","PF",279285,1,0,56,0,5,19,0.000200512021769877,3.58057181731923e-06,1.79028590865961e-05,6.80308645290653e-05
"18777","2020/04/22","PF",279285,1,0,57,0,6,18,0.000204092593587196,3.58057181731923e-06,2.14834309039154e-05,6.44502927117461e-05
"18776","2020/04/23","PF",279285,0,0,57,0,6,17,0.000204092593587196,0,2.14834309039154e-05,6.08697208944268e-05
"18775","2020/04/24","PF",279285,0,0,57,0,6,16,0.000204092593587196,0,2.14834309039154e-05,5.72891490771076e-05
"18774","2020/04/25","PF",279285,0,0,57,0,4,16,0.000204092593587196,0,1.43222872692769e-05,5.72891490771076e-05
"18773","2020/04/26","PF",279285,0,0,57,0,2,10,0.000204092593587196,0,7.16114363463845e-06,3.58057181731923e-05
"18772","2020/04/27","PF",279285,0,0,57,0,2,6,0.000204092593587196,0,7.16114363463845e-06,2.14834309039154e-05
"18771","2020/04/28","PF",279285,1,0,58,0,3,7,0.000207673165404515,3.58057181731923e-06,1.07417154519577e-05,2.50640027212346e-05
"18770","2020/04/29","PF",279285,0,0,58,0,3,7,0.000207673165404515,0,1.07417154519577e-05,2.50640027212346e-05
"18769","2020/04/30","PF",279285,0,0,58,0,3,7,0.000207673165404515,0,1.07417154519577e-05,2.50640027212346e-05
"18768","2020/05/01","PF",279285,0,0,58,0,3,5,0.000207673165404515,0,1.07417154519577e-05,1.79028590865961e-05
"18767","2020/05/02","PF",279285,0,0,58,0,3,3,0.000207673165404515,0,1.07417154519577e-05,1.07417154519577e-05
"18766","2020/05/03","PF",279285,0,0,58,0,2,3,0.000207673165404515,0,7.16114363463845e-06,1.07417154519577e-05
"18765","2020/05/04","PF",279285,0,0,58,0,1,3,0.000207673165404515,0,3.58057181731923e-06,1.07417154519577e-05
"18764","2020/05/05","PF",279285,0,0,58,0,1,3,0.000207673165404515,0,3.58057181731923e-06,1.07417154519577e-05
"18763","2020/05/06","PF",279285,2,0,60,0,3,5,0.000214834309039154,7.16114363463845e-06,1.07417154519577e-05,1.79028590865961e-05
"18762","2020/05/07","PF",279285,0,0,60,0,3,5,0.000214834309039154,0,1.07417154519577e-05,1.79028590865961e-05
"18761","2020/05/08","PF",279285,0,0,60,0,3,5,0.000214834309039154,0,1.07417154519577e-05,1.79028590865961e-05
"18760","2020/05/09","PF",279285,0,0,60,0,3,4,0.000214834309039154,0,1.07417154519577e-05,1.43222872692769e-05
"18759","2020/05/10","PF",279285,0,0,60,0,2,3,0.000214834309039154,0,7.16114363463845e-06,1.07417154519577e-05
"18758","2020/05/11","PF",279285,0,0,60,0,2,3,0.000214834309039154,0,7.16114363463845e-06,1.07417154519577e-05
"18757","2020/05/12","PF",279285,0,0,60,0,2,3,0.000214834309039154,0,7.16114363463845e-06,1.07417154519577e-05
"18756","2020/05/13","PF",279285,0,0,60,0,2,3,0.000214834309039154,0,7.16114363463845e-06,1.07417154519577e-05
"18755","2020/05/14","PF",279285,0,0,60,0,2,3,0.000214834309039154,0,7.16114363463845e-06,1.07417154519577e-05
"18754","2020/05/15","PF",279285,0,0,60,0,2,3,0.000214834309039154,0,7.16114363463845e-06,1.07417154519577e-05
"18753","2020/05/16","PF",279285,0,0,60,0,2,2,0.000214834309039154,0,7.16114363463845e-06,7.16114363463845e-06
"18752","2020/05/17","PF",279285,0,0,60,0,2,2,0.000214834309039154,0,7.16114363463845e-06,7.16114363463845e-06
"18751","2020/05/18","PF",279285,0,0,60,0,0,2,0.000214834309039154,0,0,7.16114363463845e-06
"18750","2020/05/19","PF",279285,0,0,60,0,0,2,0.000214834309039154,0,0,7.16114363463845e-06
"18749","2020/05/20","PF",279285,0,0,60,0,0,2,0.000214834309039154,0,0,7.16114363463845e-06
"18748","2020/05/21","PF",279285,0,0,60,0,0,2,0.000214834309039154,0,0,7.16114363463845e-06
"18747","2020/05/22","PF",279285,0,0,60,0,0,2,0.000214834309039154,0,0,7.16114363463845e-06
"18746","2020/05/23","PF",279285,0,0,60,0,0,2,0.000214834309039154,0,0,7.16114363463845e-06
"18745","2020/05/24","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18744","2020/05/25","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18743","2020/05/26","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18742","2020/05/27","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18741","2020/05/28","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18740","2020/05/29","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18739","2020/05/30","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18738","2020/05/31","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18737","2020/06/01","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18736","2020/06/02","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18735","2020/06/03","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18734","2020/06/04","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18733","2020/06/05","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18732","2020/06/06","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18731","2020/06/07","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18730","2020/06/08","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18729","2020/06/09","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18728","2020/06/10","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18727","2020/06/11","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18726","2020/06/12","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18725","2020/06/13","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18724","2020/06/14","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18723","2020/06/15","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
"18722","2020/06/16","PF",279285,0,0,60,0,0,0,0.000214834309039154,0,0,0
