"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"45118","2020/03/15","SC",97741,2,0,2,0,2,2,2.04622420478612e-05,2.04622420478612e-05,2.04622420478612e-05,2.04622420478612e-05
"45117","2020/03/16","SC",97741,1,0,3,0,3,3,3.06933630717918e-05,1.02311210239306e-05,3.06933630717918e-05,3.06933630717918e-05
"45116","2020/03/17","SC",97741,1,0,4,0,4,4,4.09244840957224e-05,1.02311210239306e-05,4.09244840957224e-05,4.09244840957224e-05
"45115","2020/03/18","SC",97741,0,0,4,0,4,4,4.09244840957224e-05,0,4.09244840957224e-05,4.09244840957224e-05
"45114","2020/03/19","SC",97741,2,0,6,0,6,6,6.13867261435835e-05,2.04622420478612e-05,6.13867261435835e-05,6.13867261435835e-05
"45113","2020/03/20","SC",97741,0,0,6,0,6,6,6.13867261435835e-05,0,6.13867261435835e-05,6.13867261435835e-05
"45112","2020/03/21","SC",97741,1,0,7,0,7,7,7.16178471675141e-05,1.02311210239306e-05,7.16178471675141e-05,7.16178471675141e-05
"45111","2020/03/22","SC",97741,0,0,7,0,7,7,7.16178471675141e-05,0,7.16178471675141e-05,7.16178471675141e-05
"45110","2020/03/23","SC",97741,0,0,7,0,7,7,7.16178471675141e-05,0,7.16178471675141e-05,7.16178471675141e-05
"45109","2020/03/24","SC",97741,0,0,7,0,7,7,7.16178471675141e-05,0,7.16178471675141e-05,7.16178471675141e-05
"45108","2020/03/25","SC",97741,0,0,7,0,7,7,7.16178471675141e-05,0,7.16178471675141e-05,7.16178471675141e-05
"45107","2020/03/26","SC",97741,0,0,7,0,7,7,7.16178471675141e-05,0,7.16178471675141e-05,7.16178471675141e-05
"45106","2020/03/27","SC",97741,0,0,7,0,5,7,7.16178471675141e-05,0,5.1155605119653e-05,7.16178471675141e-05
"45105","2020/03/28","SC",97741,0,0,7,0,4,7,7.16178471675141e-05,0,4.09244840957224e-05,7.16178471675141e-05
"45104","2020/03/29","SC",97741,0,0,7,0,3,7,7.16178471675141e-05,0,3.06933630717918e-05,7.16178471675141e-05
"45103","2020/03/30","SC",97741,1,0,8,0,4,8,8.18489681914447e-05,1.02311210239306e-05,4.09244840957224e-05,8.18489681914447e-05
"45102","2020/03/31","SC",97741,2,0,10,0,4,10,0.000102311210239306,2.04622420478612e-05,4.09244840957224e-05,0.000102311210239306
"45101","2020/04/01","SC",97741,0,0,10,0,4,10,0.000102311210239306,0,4.09244840957224e-05,0.000102311210239306
"45100","2020/04/02","SC",97741,0,0,10,0,3,8,0.000102311210239306,0,3.06933630717918e-05,8.18489681914447e-05
"45099","2020/04/03","SC",97741,0,0,10,0,3,7,0.000102311210239306,0,3.06933630717918e-05,7.16178471675141e-05
"45098","2020/04/04","SC",97741,0,0,10,0,3,6,0.000102311210239306,0,3.06933630717918e-05,6.13867261435835e-05
"45097","2020/04/05","SC",97741,0,0,10,0,3,6,0.000102311210239306,0,3.06933630717918e-05,6.13867261435835e-05
"45096","2020/04/06","SC",97741,0,0,10,0,3,4,0.000102311210239306,0,3.06933630717918e-05,4.09244840957224e-05
"45095","2020/04/07","SC",97741,0,0,10,0,3,4,0.000102311210239306,0,3.06933630717918e-05,4.09244840957224e-05
"45094","2020/04/08","SC",97741,0,0,10,0,3,3,0.000102311210239306,0,3.06933630717918e-05,3.06933630717918e-05
"45093","2020/04/09","SC",97741,0,0,10,0,3,3,0.000102311210239306,0,3.06933630717918e-05,3.06933630717918e-05
"45092","2020/04/10","SC",97741,0,0,10,0,3,3,0.000102311210239306,0,3.06933630717918e-05,3.06933630717918e-05
"45091","2020/04/11","SC",97741,0,0,10,0,2,3,0.000102311210239306,0,2.04622420478612e-05,3.06933630717918e-05
"45090","2020/04/12","SC",97741,0,0,10,0,0,3,0.000102311210239306,0,0,3.06933630717918e-05
"45089","2020/04/13","SC",97741,0,0,10,0,0,3,0.000102311210239306,0,0,3.06933630717918e-05
"45088","2020/04/14","SC",97741,0,0,10,0,0,3,0.000102311210239306,0,0,3.06933630717918e-05
"45087","2020/04/15","SC",97741,1,0,11,0,1,4,0.000112542331263237,1.02311210239306e-05,1.02311210239306e-05,4.09244840957224e-05
"45086","2020/04/16","SC",97741,0,0,11,0,1,4,0.000112542331263237,0,1.02311210239306e-05,4.09244840957224e-05
"45085","2020/04/17","SC",97741,0,0,11,0,1,3,0.000112542331263237,0,1.02311210239306e-05,3.06933630717918e-05
"45084","2020/04/18","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45083","2020/04/19","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45082","2020/04/20","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45081","2020/04/21","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45080","2020/04/22","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45079","2020/04/23","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45078","2020/04/24","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45077","2020/04/25","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
"45076","2020/04/26","SC",97741,0,0,11,0,1,1,0.000112542331263237,0,1.02311210239306e-05,1.02311210239306e-05
