"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"45493","2019/12/31","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45492","2020/01/01","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45491","2020/01/02","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45490","2020/01/03","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45489","2020/01/04","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45488","2020/01/05","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45487","2020/01/06","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45486","2020/01/07","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45485","2020/01/08","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45484","2020/01/09","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45483","2020/01/10","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45482","2020/01/11","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45481","2020/01/12","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45480","2020/01/13","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45479","2020/01/14","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45478","2020/01/15","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45477","2020/01/16","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45476","2020/01/17","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45475","2020/01/18","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45474","2020/01/19","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45473","2020/01/20","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45472","2020/01/21","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45471","2020/01/22","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45470","2020/01/23","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45469","2020/01/24","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45468","2020/01/25","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45467","2020/01/26","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45466","2020/01/27","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45465","2020/01/28","SE",10230185,0,0,0,0,0,0,0,0,0,0
"45464","2020/01/29","SE",10230185,0,0,0,0,0,0,0,0,0,0
