"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2020/03/05",1,0,1,0,1,1,1,4.80559448087085e-07,4.80559448087085e-07,4.80559448087085e-07,4.80559448087085e-07,4.80559448087085e-07,2080908
"2","2020/03/06",5,0,6,0,6,6,6,2.88335668852251e-06,2.40279724043543e-06,2.88335668852251e-06,2.88335668852251e-06,2.88335668852251e-06,2080908
"3","2020/03/07",3,0,9,0,9,9,9,4.32503503278377e-06,1.44167834426126e-06,4.32503503278377e-06,4.32503503278377e-06,4.32503503278377e-06,2080908
"4","2020/03/08",3,0,12,0,12,12,12,5.76671337704502e-06,1.44167834426126e-06,5.76671337704502e-06,5.76671337704502e-06,5.76671337704502e-06,2080908
"5","2020/03/09",4,0,16,0,16,16,16,7.68895116939336e-06,1.92223779234834e-06,7.68895116939336e-06,7.68895116939336e-06,7.68895116939336e-06,2080908
"6","2020/03/11",15,0,31,0,31,31,31,1.48973428906996e-05,7.20839172130628e-06,1.48973428906996e-05,1.48973428906996e-05,1.48973428906996e-05,2080908
"7","2020/03/12",26,0,57,0,57,57,57,2.73918885409638e-05,1.24945456502642e-05,2.73918885409638e-05,2.73918885409638e-05,2.73918885409638e-05,2080908
"8","2020/03/13",39,0,96,0,96,96,96,4.61337070163602e-05,1.87418184753963e-05,4.61337070163602e-05,4.61337070163602e-05,4.61337070163602e-05,2080908
"9","2020/03/14",45,0,141,0,141,141,141,6.7758882180279e-05,2.16251751639188e-05,6.7758882180279e-05,6.7758882180279e-05,6.7758882180279e-05,2080908
"10","2020/03/15",40,0,181,0,181,181,181,8.69812601037624e-05,1.92223779234834e-05,8.69812601037624e-05,8.69812601037624e-05,8.69812601037624e-05,2080908
"11","2020/03/16",38,0,219,0,219,219,219,0.000105242519131072,1.82612590273092e-05,0.000105242519131072,0.000105242519131072,0.000105242519131072,2080908
"12","2020/03/17",34,0,253,0,253,253,253,0.000121581540366033,1.63390212349609e-05,0.000121581540366033,0.000121581540366033,0.000121581540366033,2080908
"13","2020/03/18",22,1,275,1,274,274,275,0.000132153848223948,1.05723078579159e-05,0.000131673288775861,0.000131673288775861,0.000132153848223948,2080908
"14","2020/03/19",11,0,286,1,280,280,286,0.000137440002152906,5.28615392895794e-06,0.000134556645464384,0.000134556645464384,0.000137440002152906,2080908
"15","2020/03/20",33,0,319,1,310,310,319,0.00015329846393978,1.58584617868738e-05,0.000148973428906996,0.000148973428906996,0.00015329846393978,2080908
"16","2020/03/21",22,0,341,1,329,329,341,0.000163870771797696,1.05723078579159e-05,0.000158104058420651,0.000158104058420651,0.000163870771797696,2080908
