"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"45137","2019/12/31","SM",34453,0,0,0,0,0,0,0,0,0,0
"45136","2020/01/01","SM",34453,0,0,0,0,0,0,0,0,0,0
"45135","2020/01/02","SM",34453,0,0,0,0,0,0,0,0,0,0
"45134","2020/01/03","SM",34453,0,0,0,0,0,0,0,0,0,0
"45133","2020/01/04","SM",34453,0,0,0,0,0,0,0,0,0,0
"45132","2020/01/05","SM",34453,0,0,0,0,0,0,0,0,0,0
"45131","2020/01/06","SM",34453,0,0,0,0,0,0,0,0,0,0
"45130","2020/01/07","SM",34453,0,0,0,0,0,0,0,0,0,0
"45129","2020/01/08","SM",34453,0,0,0,0,0,0,0,0,0,0
"45128","2020/01/09","SM",34453,0,0,0,0,0,0,0,0,0,0
"45127","2020/01/10","SM",34453,0,0,0,0,0,0,0,0,0,0
"45126","2020/01/11","SM",34453,0,0,0,0,0,0,0,0,0,0
"45125","2020/01/12","SM",34453,0,0,0,0,0,0,0,0,0,0
"45124","2020/01/13","SM",34453,0,0,0,0,0,0,0,0,0,0
"45123","2020/01/14","SM",34453,0,0,0,0,0,0,0,0,0,0
"45122","2020/01/15","SM",34453,0,0,0,0,0,0,0,0,0,0
"45121","2020/01/16","SM",34453,0,0,0,0,0,0,0,0,0,0
"45120","2020/01/17","SM",34453,0,0,0,0,0,0,0,0,0,0
"45119","2020/01/18","SM",34453,0,0,0,0,0,0,0,0,0,0
"45118","2020/01/19","SM",34453,0,0,0,0,0,0,0,0,0,0
"45117","2020/01/20","SM",34453,0,0,0,0,0,0,0,0,0,0
"45116","2020/01/21","SM",34453,0,0,0,0,0,0,0,0,0,0
"45115","2020/01/22","SM",34453,0,0,0,0,0,0,0,0,0,0
"45114","2020/01/23","SM",34453,0,0,0,0,0,0,0,0,0,0
"45113","2020/01/24","SM",34453,0,0,0,0,0,0,0,0,0,0
"45112","2020/01/25","SM",34453,0,0,0,0,0,0,0,0,0,0
"45111","2020/01/26","SM",34453,0,0,0,0,0,0,0,0,0,0
"45110","2020/01/27","SM",34453,0,0,0,0,0,0,0,0,0,0
"45109","2020/01/28","SM",34453,0,0,0,0,0,0,0,0,0,0
"45108","2020/01/29","SM",34453,0,0,0,0,0,0,0,0,0,0
"45107","2020/01/30","SM",34453,0,0,0,0,0,0,0,0,0,0
"45106","2020/01/31","SM",34453,0,0,0,0,0,0,0,0,0,0
"45105","2020/02/01","SM",34453,0,0,0,0,0,0,0,0,0,0
"45104","2020/02/02","SM",34453,0,0,0,0,0,0,0,0,0,0
"45103","2020/02/03","SM",34453,0,0,0,0,0,0,0,0,0,0
"45102","2020/02/04","SM",34453,0,0,0,0,0,0,0,0,0,0
"45101","2020/02/05","SM",34453,0,0,0,0,0,0,0,0,0,0
"45100","2020/02/06","SM",34453,0,0,0,0,0,0,0,0,0,0
"45099","2020/02/07","SM",34453,0,0,0,0,0,0,0,0,0,0
"45098","2020/02/08","SM",34453,0,0,0,0,0,0,0,0,0,0
"45097","2020/02/09","SM",34453,0,0,0,0,0,0,0,0,0,0
"45096","2020/02/10","SM",34453,0,0,0,0,0,0,0,0,0,0
"45095","2020/02/11","SM",34453,0,0,0,0,0,0,0,0,0,0
"45094","2020/02/12","SM",34453,0,0,0,0,0,0,0,0,0,0
"45093","2020/02/13","SM",34453,0,0,0,0,0,0,0,0,0,0
"45092","2020/02/14","SM",34453,0,0,0,0,0,0,0,0,0,0
"45091","2020/02/15","SM",34453,0,0,0,0,0,0,0,0,0,0
"45090","2020/02/16","SM",34453,0,0,0,0,0,0,0,0,0,0
"45089","2020/02/17","SM",34453,0,0,0,0,0,0,0,0,0,0
"45088","2020/02/18","SM",34453,0,0,0,0,0,0,0,0,0,0
"45087","2020/02/19","SM",34453,0,0,0,0,0,0,0,0,0,0
"45086","2020/02/20","SM",34453,0,0,0,0,0,0,0,0,0,0
"45085","2020/02/21","SM",34453,0,0,0,0,0,0,0,0,0,0
"45084","2020/02/22","SM",34453,0,0,0,0,0,0,0,0,0,0
"45083","2020/02/23","SM",34453,0,0,0,0,0,0,0,0,0,0
"45082","2020/02/24","SM",34453,0,0,0,0,0,0,0,0,0,0
"45081","2020/02/25","SM",34453,0,0,0,0,0,0,0,0,0,0
"45080","2020/02/26","SM",34453,0,0,0,0,0,0,0,0,0,0
"45079","2020/02/27","SM",34453,0,0,0,0,0,0,0,0,0,0
"45078","2020/02/28","SM",34453,1,0,1,0,1,1,2.90250486169564e-05,2.90250486169564e-05,2.90250486169564e-05,2.90250486169564e-05
