"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"7532","2020/03/23","SR",581363,5,0,5,0,5,5,8.60047853062544e-06,8.60047853062544e-06,8.60047853062544e-06,8.60047853062544e-06
"7531","2020/03/30","SR",581363,3,0,8,0,8,8,1.37607656490007e-05,5.16028711837527e-06,1.37607656490007e-05,1.37607656490007e-05
"7530","2020/04/06","SR",581363,2,1,10,1,10,10,1.72009570612509e-05,3.44019141225018e-06,1.72009570612509e-05,1.72009570612509e-05
"7529","2020/04/13","SR",581363,0,0,10,1,10,10,1.72009570612509e-05,0,1.72009570612509e-05,1.72009570612509e-05
"7528","2020/04/20","SR",581363,0,0,10,1,10,10,1.72009570612509e-05,0,1.72009570612509e-05,1.72009570612509e-05
"7527","2020/04/27","SR",581363,0,0,10,1,10,10,1.72009570612509e-05,0,1.72009570612509e-05,1.72009570612509e-05
"7526","2020/05/04","SR",581363,0,0,10,1,10,10,1.72009570612509e-05,0,1.72009570612509e-05,1.72009570612509e-05
"7525","2020/05/11","SR",581363,0,0,10,1,10,10,1.72009570612509e-05,0,1.72009570612509e-05,1.72009570612509e-05
"7524","2020/05/18","SR",581363,0,0,10,1,10,10,1.72009570612509e-05,0,1.72009570612509e-05,1.72009570612509e-05
"7523","2020/05/25","SR",581363,1,0,11,1,11,11,1.8921052767376e-05,1.72009570612509e-06,1.8921052767376e-05,1.8921052767376e-05
"7522","2020/06/01","SR",581363,12,0,23,1,23,23,3.9562201240877e-05,2.06411484735011e-05,3.9562201240877e-05,3.9562201240877e-05
"7521","2020/06/08","SR",581363,99,0,122,1,122,122,0.000209851676147261,0.000170289474906384,0.000209851676147261,0.000209851676147261
"7520","2020/06/15","SR",581363,86,2,208,3,203,208,0.000357779906874018,0.000147928230726758,0.000349179428343393,0.000357779906874018
"7519","2020/06/22","SR",581363,106,5,314,8,306,314,0.000540110051723278,0.000182330144849259,0.000526349286074277,0.000540110051723278
"7518","2020/06/29","SR",581363,176,3,490,11,480,490,0.000842846896001294,0.000302736844278016,0.000825645938940043,0.000842846896001294
"7517","2020/07/06","SR",581363,104,3,594,14,584,594,0.0010217368494383,0.000178889953437009,0.00100453589237705,0.0010217368494383
"7516","2020/07/13","SR",581363,147,4,741,18,731,741,0.00127459091823869,0.000252854068800388,0.00125738996117744,0.00127459091823869
"7515","2020/07/20","SR",581363,288,3,1029,21,1019,1029,0.00176997848160272,0.000495387563364026,0.00175277752454147,0.00176997848160272
"7514","2020/07/27","SR",581363,410,2,1439,23,1429,1434,0.002475217721114,0.000705239239511286,0.00245801676405275,0.00246661724258338
"7513","2020/08/03","SR",581363,410,4,1849,27,1839,1841,0.00318045696062529,0.000705239239511286,0.00316325600356404,0.00316669619497629
"7512","2020/08/10","SR",581363,542,2,2391,29,2381,2381,0.00411274883334509,0.000932291872719798,0.00409554787628384,0.00409554787628384
"7511","2020/08/17","SR",581363,625,18,3016,47,3005,3006,0.00518780864967327,0.00107505981632818,0.00516888759690589,0.00517060769261202
"7510","2020/08/24","SR",581363,591,11,3607,58,3584,3597,0.0062043852119932,0.00101657656231993,0.00616482301075232,0.00618718425493194
"7509","2020/08/31","SR",581363,402,9,4009,67,3887,3999,0.00689586368585548,0.000691478473862286,0.00668601200970822,0.00687866272879423
"7508","2020/09/07","SR",581363,337,18,4346,85,4138,4336,0.00747553593881964,0.000579672252964155,0.00711775603194562,0.00745833498175839
"7507","2020/09/14","SR",581363,236,8,4582,93,4268,4572,0.00788147852546516,0.000405942586645521,0.00734136847374188,0.00786427756840391
"7506","2020/09/21","SR",581363,141,4,4723,97,4233,4713,0.00812401202002879,0.000242533494563638,0.0072811651240275,0.00810681106296754
"7505","2020/09/28","SR",581363,112,5,4835,102,4241,4824,0.0083166627391148,0.00019265071908601,0.0072949258896765,0.00829774168634743
"7504","2020/10/05","SR",581363,106,4,4941,106,4200,4918,0.00849899288396406,0.000182330144849259,0.00722440196572537,0.00845943068272319
"7503","2020/10/12","SR",581363,110,1,5051,107,4022,4929,0.00868820341163782,0.00018921052767376,0.00691822493003511,0.00847835173549056
"7502","2020/10/19","SR",581363,79,2,5130,109,3691,4922,0.00882409097242171,0.000135887560783882,0.0063488732513077,0.00846631106554769
"7501","2020/10/26","SR",581363,40,0,5170,109,3321,4856,0.00889289480066671,6.88038282450036e-05,0.00571243784004142,0.00835278474894343
"7500","2020/11/02","SR",581363,40,2,5210,111,2819,4720,0.00896169862891171,6.88038282450036e-05,0.00484894979556663,0.00811885173291042
"7499","2020/11/09","SR",581363,29,2,5239,113,2223,4645,0.00901158140438934,4.98827754776276e-05,0.00382377275471607,0.00798984455495104
"7498","2020/11/16","SR",581363,35,1,5274,114,1667,4533,0.00907178475410372,6.02033497143781e-05,0.00286739954211052,0.00779719383586503
"7497","2020/11/23","SR",581363,22,2,5296,116,1287,4267,0.00910962685963847,3.7842105534752e-05,0.00221376317378299,0.00733964837803575
"7496","2020/11/30","SR",581363,16,1,5312,117,966,3873,0.00913714839093647,2.75215312980014e-05,0.00166161245211684,0.00666193066982247
"7495","2020/12/07","SR",581363,12,0,5324,117,742,3475,0.00915778953940997,2.06411484735011e-05,0.00127631101394482,0.00597733257878468
"7494","2020/12/14","SR",581363,29,0,5353,117,630,2962,0.0092076723148876,4.98827754776276e-05,0.00108366029485881,0.00509492348154251
