"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2020/05/01",15,0,15,0,15,15,15,1.60926542075907e-06,1.60926542075907e-06,1.60926542075907e-06,1.60926542075907e-06,1.60926542075907e-06,9321023
"2","2020/05/02",0,0,15,0,15,15,15,1.60926542075907e-06,0,1.60926542075907e-06,1.60926542075907e-06,1.60926542075907e-06,9321023
"3","2020/05/03",17,0,32,0,32,32,32,3.43309956428602e-06,1.82383414352695e-06,3.43309956428602e-06,3.43309956428602e-06,3.43309956428602e-06,9321023
"4","2020/05/04",44,2,76,2,76,76,76,8.1536114651793e-06,4.72051190089328e-06,8.1536114651793e-06,8.1536114651793e-06,8.1536114651793e-06,9321023
"5","2020/05/05",154,1,230,3,230,230,230,2.46754031183058e-05,1.65217916531265e-05,2.46754031183058e-05,2.46754031183058e-05,2.46754031183058e-05,9321023
"6","2020/05/06",63,2,293,5,293,293,293,3.14343178854939e-05,6.75891476718811e-06,3.14343178854939e-05,3.14343178854939e-05,3.14343178854939e-05,9321023
"7","2020/05/07",86,3,379,8,379,379,379,4.06607729645126e-05,9.22645507901869e-06,4.06607729645126e-05,4.06607729645126e-05,4.06607729645126e-05,9321023
"8","2020/05/08",82,4,461,12,461,461,461,4.94580905979955e-05,8.79731763348293e-06,4.94580905979955e-05,4.94580905979955e-05,4.94580905979955e-05,9321023
"9","2020/05/09",61,0,522,12,522,522,522,5.60024366424157e-05,6.54434604442023e-06,5.60024366424157e-05,5.60024366424157e-05,5.60024366424157e-05,9321023
"10","2020/05/10",90,8,612,20,612,612,612,6.56580291669702e-05,9.65559252455444e-06,6.56580291669702e-05,6.56580291669702e-05,6.56580291669702e-05,9321023
"11","2020/05/11",0,0,612,20,612,612,612,6.56580291669702e-05,0,6.56580291669702e-05,6.56580291669702e-05,6.56580291669702e-05,9321023
"12","2020/05/12",49,1,661,21,661,661,661,7.09149628747832e-05,5.25693370781297e-06,7.09149628747832e-05,7.09149628747832e-05,7.09149628747832e-05,9321023
"13","2020/05/13",68,2,729,23,714,714,729,7.8210299448891e-05,7.2953365741078e-06,7.66010340281319e-05,7.66010340281319e-05,7.8210299448891e-05,9321023
"14","2020/05/14",72,0,801,23,786,786,801,8.59347734685345e-05,7.72447401964355e-06,8.43255080477754e-05,8.43255080477754e-05,8.59347734685345e-05,9321023
"15","2020/05/15",106,6,907,29,875,875,907,9.7306915775232e-05,1.13721423066975e-05,9.38738162109459e-05,9.38738162109459e-05,9.7306915775232e-05,9321023
"16","2020/05/16",211,4,1118,33,1042,1042,1118,0.000119943916027243,2.2637000252011e-05,0.000111790304562064,0.000111790304562064,0.000119943916027243,9321023
"17","2020/05/17",204,3,1322,36,1092,1092,1322,0.000141829925749566,2.18860097223234e-05,0.000117154522631261,0.000117154522631261,0.000141829925749566,9321023
"18","2020/05/18",202,3,1524,39,1231,1231,1524,0.000163501366749122,2.16714409995555e-05,0.000132067048863628,0.000132067048863628,0.000163501366749122,9321023
"19","2020/05/19",205,2,1729,41,1350,1350,1714,0.000185494660832829,2.19932940837073e-05,0.000144833887868317,0.000144833887868317,0.00018388539541207,9321023
"20","2020/05/20",0,0,1729,41,1268,1268,1714,0.000185494660832829,0,0.000136036570234834,0.000136036570234834,0.00018388539541207,9321023
"21","2020/05/21",207,3,1936,44,1414,1414,1904,0.000207702523639304,2.22078628064752e-05,0.000151700086996889,0.000151700086996889,0.000204269424075018,9321023
"22","2020/05/22",204,0,2140,44,1528,1528,2064,0.000229588533361628,2.18860097223234e-05,0.000163930504194658,0.000163930504194658,0.000221434921896448,9321023
